Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;The Ritz-Carlton, Montreal;4.9;1013.25;10;54.8;1101.8;1119.22;5;3;487.9;60.50;5;4;613.9;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
2;Deluxe Suites Downtown Montreal;5.0;243.25;10;55.0;1120.0;349.22;5;3;497.9;60.50;5;4;622.1;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
3;Hotel Gite du Survenant Montreal;4.7;193.75;10;54.2;1195.1;299.72;5;3;581.8;60.50;5;4;613.3;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biosphere;Walking|Car|Walking|Walking|Walking|Walking
4;Deluxe Suites Downtown Montreal;5.0;243.25;10;56.2;1311.8;308.83;5;3;610.3;7.22;5;4;701.4;58.37;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Pont Jacques-Cartier - Montreal|Place d'Armes;Walking|Car|Walking|Walking|Walking|Walking;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Musée de l'Holocauste Montréal|Mount Royal Park|Kondiaronk Belvedere;Walking|Car|Walking|Walking|Walking|Walking
5;Hotel Nelligan;4.7;486.75;10;55.3;1281.8;542.08;5;4;592.2;33.22;5;5;689.5;22.12;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Place d'Armes;Walking|Car|Walking|Walking|Walking|Walking;Musée de l'Holocauste Montréal|St. Patrick's Basilica|Leonard Cohen Mural|Arsenal Art Contemporain Montréal - Montreal|Maisonneuve Monument - Montreal;Walking|Car|Walking|Walking|Walking|Walking
6;Residence Inn Montreal Airport;4.4;248.75;6;35.8;779.6;354.23;3;2;288.8;48.72;3;2;490.8;56.77;Place d'Armes|Notre-Dame Basilica|Aldred Building - Montreal;Walking|Car|Walking|Car;Mount Royal Park|Belvedere Camillien-Houde - Montreal|Kondiaronk Belvedere;Car|Car|Walking|Car
7;Ramada Plaza by Wyndham Montreal;3.8;244.50;6;34.8;943.8;322.87;3;2;284.4;44.35;3;2;659.4;34.02;Place d'Armes|Notre-Dame Basilica|Aldred Building - Montreal;Walking|Car|Walking|Car;Musée de l'Holocauste Montréal|Saint Joseph's Oratory of Mount Royal|Mount Royal Park;Walking|Car|Walking|Car
8;Days Inn By Wyndham Montreal East;3.0;199.00;6;33.0;790.4;315.23;3;2;291.6;51.53;3;2;498.8;64.70;Place d'Armes|Notre-Dame Basilica|Aldred Building - Montreal;Walking|Car|Walking|Car;Mount Royal Park|Belvedere Camillien-Houde - Montreal|Kondiaronk Belvedere;Car|Car|Walking|Car
9;Auberge du Plateau;4.3;67.25;8;44.5;1284.5;109.02;4;3;593.4;26.25;4;4;691.1;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|Leonard Cohen Mural|Palais des Congres;Walking|Car|Walking|Walking|Walking
10;Auberge L'Apero;4.0;25.25;8;44.3;1286.2;67.02;4;3;587.0;26.25;4;3;699.1;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|St. Patrick's Basilica|Kondiaronk Belvedere;Walking|Car|Walking|Walking|Walking
11;Auberge du Plateau;4.3;67.25;8;44.5;1284.5;109.02;4;3;593.4;26.25;4;4;691.1;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|Leonard Cohen Mural|Palais des Congres;Walking|Car|Walking|Walking|Walking
12;Samesun Montreal Central;4.4;60.00;9;49.2;1255.0;192.29;5;3;626.9;67.00;4;2;628.1;65.29;Musée des beaux-arts de Montréal|Musée Marguerite-Bourgeoys|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Car|Car|Walking|Walking|Car;Mem – Centre Des Mémoires Montréalaises|City Hall|Notre-Dame-de-Bon-Secours Chapel|Phi Centre;Car|Car|Car|Walking|Car
