Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;25;1.55;1;9;5.68;9.8;50.6;32.52;70.4;1163.0;709.95;25.25;335.83;190.34
2;60;3.86;1;10;3.80;12.2;53.9;25.27;66.9;1223.1;457.54;25.25;352.25;97.37
3;60;13.51;1;10;3.77;12.2;54.3;25.41;64.6;1217.2;416.81;25.25;515.25;110.76
4;60;18.77;1;10;3.67;11.4;54.6;25.24;64.6;1031.9;368.20;25.25;498.00;105.18
5;60;45.84;1;12;5.20;11.4;63.4;32.06;64.3;1310.6;496.32;25.25;700.75;123.98
6;60;66.86;1;13;5.47;12.2;67.5;33.20;64.3;1224.5;505.90;25.25;700.75;135.12
7;60;84.72;1;13;5.75;12.2;67.5;34.53;64.3;1338.8;526.88;25.25;700.75;127.09
8;60;87.06;1;13;5.87;12.2;67.5;35.07;64.3;1283.3;534.37;25.25;847.60;139.24
