Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
149;Hotel Nelligan;13;66.9;1027.2;582.07
150;L'Appartement Hotel;10;52.0;782.6;295.73
151;Deluxe Suites Downtown Montreal;13;67.5;1064.2;360.23
152;Auberge L'Apero;14;71.1;1199.5;148.40
153;Alternative Hostel of Old Montreal;10;54.3;876.1;51.75
154;Hotel Faubourg Montreal;11;56.2;812.2;372.40
155;Hotel Nelligan;11;58.6;882.1;578.10
156;Deluxe Suites Downtown Montreal;16;81.2;1373.7;372.98
157;Auberge L'Apero;14;70.0;1256.8;117.87
158;Alternative Hostel of Old Montreal;6;35.2;567.0;51.75
159;Deluxe Suites Downtown Montreal;9;50.5;716.2;289.80
160;Alternative Hostel of Old Montreal;8;45.0;653.2;51.75
161;Auberge L'Apero;15;75.1;1327.9;126.82
162;Alternative Hostel of Old Montreal;13;67.0;1086.2;108.78
163;Auberge L'Apero;10;52.1;802.7;118.52
164;Deluxe Suites Downtown Montreal;15;77.2;1323.9;403.23
165;Auberge L'Apero;8;42.7;805.9;32.17
166;Auberge L'Apero;14;70.3;1258.6;125.32
167;Auberge L'Apero;15;74.7;1227.6;164.85
168;Samesun Montreal Central;15;75.9;1274.5;164.00
169;Alternative Hostel of Old Montreal;11;59.3;1101.5;35.75
170;Hotel Nelligan;3;21.8;252.2;486.75
171;Auberge L'Apero;9;47.9;802.9;44.43
172;Alternative Hostel of Old Montreal;15;75.7;1251.5;156.80
173;Auberge L'Apero;4;24.6;315.8;37.58
174;Auberge L'Apero;10;53.3;1147.4;25.25
175;Deluxe Suites Downtown Montreal;13;68.6;1096.0;349.82
176;Auberge L'Apero;5;29.3;385.1;53.58
177;Deluxe Suites Downtown Montreal;16;81.2;1412.4;359.07
178;Hotel Faubourg Montreal;7;38.3;534.8;297.25
179;Hotel Nelligan;10;53.1;764.2;580.90
180;Auberge L'Apero;14;70.5;1277.6;81.15
181;Auberge L'Apero;7;38.7;595.4;92.50
182;Alternative Hostel of Old Montreal;14;70.6;1312.3;129.12
183;Alternative Hostel of Old Montreal;15;76.5;1358.5;143.12
184;Alternative Hostel of Old Montreal;11;58.1;890.6;96.12
185;Auberge L'Apero;10;53.7;1012.6;40.73
186;Alternative Hostel of Old Montreal;5;30.9;511.9;40.73
187;Samesun Montreal Central;14;71.3;1139.1;157.85
188;Alternative Hostel of Old Montreal;11;58.4;956.4;83.30
189;Auberge L'Apero;12;62.0;1357.0;35.40
190;Alternative Hostel of Old Montreal;14;71.6;1262.2;134.10
191;Deluxe Suites Downtown Montreal;7;40.2;583.3;281.20
192;Auberge L'Apero;4;25.0;333.4;70.70
193;Alternative Hostel of Old Montreal;6;34.4;498.6;51.75
194;Auberge L'Apero;10;52.3;813.9;89.45
195;Deluxe Suites Downtown Montreal;11;58.6;907.5;302.35
196;Deluxe Suites Downtown Montreal;11;59.2;884.4;353.87
197;Hotel Nelligan;16;80.6;1363.7;614.35
198;Auberge L'Apero;4;24.6;315.8;37.58
199;Hotel Nelligan;7;40.1;537.1;516.75
200;Alternative Hostel of Old Montreal;7;40.0;605.4;51.75
