Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;18;1.68;1;8;3.61;12.2;44.3;24.48;72.3;1230.0;535.13;25.25;299.74;155.26
2;60;10.41;1;10;3.10;12.2;53.6;22.44;64.4;1228.3;357.35;25.25;700.75;146.18
3;60;22.87;1;13;4.57;12.2;67.0;28.94;64.3;1343.6;504.27;25.25;700.75;124.73
4;60;36.18;1;13;5.28;12.2;68.9;32.00;64.3;1338.9;543.23;25.25;700.75;112.12
5;60;35.48;1;13;5.58;12.2;68.9;33.38;64.3;1338.9;551.07;25.25;700.75;128.06
6;60;26.12;1;13;6.03;12.0;68.9;35.59;64.3;1370.9;591.35;25.25;700.75;135.17
7;60;36.03;1;13;6.33;12.2;68.9;37.11;64.3;1353.9;621.31;25.25;700.75;137.12
8;60;29.83;1;13;6.40;12.2;68.9;37.42;64.3;1378.9;617.73;25.25;700.75;131.52
9;60;33.71;1;13;6.37;12.2;68.9;37.36;64.3;1378.9;609.37;25.25;700.75;135.11
10;60;41.62;1;14;6.38;12.2;68.9;37.33;64.3;1378.9;595.37;25.25;700.75;131.77
