Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;20;1.12;1;9;3.95;12.0;45.8;25.08;82.6;1320.8;573.22;25.25;461.47;208.66
2;60;3.28;1;9;2.37;12.2;45.9;18.20;66.2;1320.8;273.39;25.25;406.62;90.41
3;60;14.88;1;12;3.17;12.2;61.5;22.38;64.4;1324.0;329.67;25.25;700.75;131.71
4;60;33.33;1;12;4.45;12.2;62.2;28.24;64.3;1344.5;469.58;25.25;700.75;133.04
5;60;39.10;1;12;5.07;12.2;62.2;31.06;64.3;1340.8;502.35;25.25;700.75;137.15
6;60;43.22;1;13;5.03;12.2;66.2;31.04;64.3;1423.1;487.62;25.25;700.75;138.30
7;60;65.11;1;13;5.72;12.2;66.2;34.19;64.3;1423.1;554.90;25.25;700.75;138.52
8;60;97.78;1;13;6.00;12.2;67.2;35.55;64.3;1423.1;557.62;25.25;700.75;161.25
