Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;8;0.30;1;9;2.88;9.8;45.2;18.38;103.4;1182.1;379.98;78.75;268.25;113.34
2;19;0.77;1;9;2.42;10.0;45.2;17.05;64.3;1182.1;303.09;25.25;298.60;123.38
3;46;1.68;1;9;2.43;12.2;45.2;18.38;64.3;1189.1;263.11;25.25;295.00;170.12
4;54;4.73;1;9;3.24;12.2;45.5;22.33;64.3;1254.2;343.41;25.25;493.58;113.90
5;60;7.29;1;12;3.92;12.2;61.0;26.16;64.3;1307.8;414.33;25.25;493.58;122.62
6;60;9.96;1;12;4.35;12.2;61.0;28.25;64.3;1307.8;447.03;25.25;493.58;103.91
7;60;24.26;1;12;4.85;12.2;61.0;30.48;64.3;1380.4;481.73;25.25;493.58;118.14
8;60;21.21;1;12;5.27;12.2;63.5;32.45;64.3;1380.4;518.69;25.25;493.58;104.39
9;60;40.80;1;13;5.63;12.2;68.1;33.97;64.3;1380.4;543.91;25.25;550.35;127.14
10;60;31.85;1;13;5.45;12.0;68.1;33.34;64.3;1311.8;520.17;25.25;700.75;130.61
11;60;55.54;1;13;5.75;12.2;68.1;34.60;64.3;1329.4;544.97;25.25;700.75;142.51
12;60;71.88;1;13;6.15;12.2;68.1;36.45;64.3;1298.2;570.20;25.25;700.75;119.42
