Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge du Plateau;6;34.3;911.2;67.25
2;Auberge du Plateau;12;62.5;1240.8;179.08
3;Novotel Montreal Centre;5;30.7;558.1;351.65
4;Le Square Phillips Hotel & Suites;12;63.3;1408.7;564.23
5;Novotel Montreal Centre;5;31.1;581.1;304.87
6;Auberge du Plateau;9;48.0;927.8;182.25
7;Empire Suites;8;40.4;813.5;252.25
8;David Hotel;9;49.1;922.2;437.00
9;Hotel Nelligan;11;59.4;1106.4;530.75
10;Empire Suites;7;36.2;791.7;242.90
11;Novotel Montreal Centre;6;35.6;648.3;343.57
12;Auberge du Plateau;11;58.6;1272.8;114.00
13;Empire Suites;10;48.5;1035.8;300.14
14;Auberge du Plateau;8;44.1;1202.6;67.25
15;Novotel Montreal Centre;6;35.2;750.8;335.53
16;Novotel Montreal Centre;5;30.7;558.1;351.65
17;Auberge du Plateau;9;49.8;1233.2;90.32
18;Auberge du Plateau;10;54.1;1189.2;107.18
19;Auberge du Plateau;7;38.9;819.0;160.35
20;Hotel Nelligan;9;50.3;1050.0;500.75
21;Hotel Nelligan;8;44.8;822.0;500.75
22;Novotel Montreal Centre;6;35.6;773.7;288.75
23;Auberge du Plateau;12;62.5;1240.8;179.08
24;Auberge du Plateau;8;43.0;819.0;173.90
25;Auberge du Plateau;8;45.0;1059.6;81.25
26;Auberge du Plateau;12;62.2;1199.3;149.18
27;Auberge du Plateau;12;63.0;1373.0;165.63
28;Auberge du Plateau;7;40.1;831.1;125.62
29;Auberge du Plateau;10;53.2;1056.7;97.25
30;Auberge du Plateau;9;49.5;1001.7;134.20
31;Auberge du Plateau;7;38.7;1011.7;67.25
32;Auberge du Plateau;8;44.3;881.4;83.25
33;Novotel Montreal Centre;7;39.8;796.6;318.85
34;Hotel Nelligan;11;59.0;1089.3;547.05
35;Hotel Nelligan;10;55.1;936.5;523.65
36;Auberge du Plateau;9;48.8;939.9;104.43
37;L'Appartement Hotel;11;57.0;1099.3;338.94
38;Auberge du Plateau;12;62.9;1317.9;158.47
39;Empire Suites;7;36.2;791.7;242.90
40;Novotel Montreal Centre;6;35.6;648.3;343.57
