Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;30;2.45;1;10;4.67;10.0;55.6;28.74;66.9;1394.2;534.14;25.25;1119.22;294.98
2;30;14.41;1;12;5.47;12.2;62.0;32.63;64.3;1382.4;583.24;25.25;1082.43;191.48
3;30;304.55;1;13;5.83;12.2;66.0;34.40;64.3;1379.5;598.81;25.25;1034.67;207.30
4;30;144.20;1;13;5.93;12.2;66.7;34.95;64.3;1379.5;562.88;25.25;1034.67;200.45
5;30;87.31;1;14;6.10;12.2;71.4;35.74;64.3;1301.6;560.60;25.25;1034.67;156.54
