Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Deluxe Suites Downtown Montreal;5.0;243.25;8;45.5;1214.1;365.13;4;3;600.7;41.93;4;2;613.5;79.94;Crystal Dreams St Denis - Montreal|Musée Marguerite-Bourgeoys|Aquazilla - Parc Jean-drapeau - Montreal|L'original Art Gallery;Subway|Car|Bus|Bus|Walking;Chateau Dufresne (Dufresne House)|Chateau Ramezay Historic Site and Museum of Montreal|Notre-Dame-de-Bon-Secours Chapel|Phi Centre;Walking|Car|Car|Walking|Car
2;Hotel Faubourg Montreal;3.8;267.25;9;46.9;1257.5;395.23;5;3;623.2;43.28;4;4;634.3;84.69;Bibliotheque et Archives Nationales du Quebec|Notre-Dame-de-Bon-Secours Chapel|Montréal Insectarium|Cathédrale Christ Church Cathedral|L'original Art Gallery;Walking|Car|Walking|Subway|Walking|Walking;Musee D'Art Contemporain De Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Arsenal Art Contemporain Montréal - Montreal|Phi Centre;Bus|Car|Car|Car|Car
3;Doubletree By Hilton Montreal;4.2;357.75;6;33.9;1185.5;488.70;3;3;614.0;52.45;3;3;571.5;78.50;Maison Saint-Gabriel Museum and Historic Site|Aquazilla - Parc Jean-drapeau - Montreal|Arsenal Art Contemporain Montréal - Montreal;Bus|Car|Car|Bus;Musée de l'Holocauste Montréal|Pointe-a-Calliere Montreal Archaeology and History Complex|Musee D'Art Contemporain De Montreal;Subway|Car|Car|Car
4;Ambrose House & Café;3.9;244.25;7;37.8;1212.2;375.31;3;2;651.8;60.84;4;2;560.5;70.22;Pointe-a-Calliere Montreal Archaeology and History Complex|Musee D'Art Contemporain De Montreal|Phi Centre;Walking|Car|Walking|Bus;Chateau Ramezay Historic Site and Museum of Montreal|Musée Marguerite-Bourgeoys|Montréal Insectarium|L'original Art Gallery;Walking|Car|Car|Subway|Bus
