Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;10;1.09;1;11;3.30;12.2;58.1;23.24;90.0;1356.5;381.89;25.25;288.25;124.90
2;60;4.54;1;11;3.58;12.2;58.1;24.46;69.4;1356.5;398.09;25.25;288.25;95.66
3;60;15.33;1;11;4.40;11.4;58.1;27.98;64.6;1356.5;444.18;25.25;458.25;110.54
4;60;37.07;1;12;5.43;12.2;62.2;32.46;64.4;1363.4;526.22;25.25;700.75;143.77
5;60;58.54;1;13;5.82;11.4;66.9;34.27;64.4;1363.4;559.54;25.25;700.75;157.75
6;60;62.99;1;13;5.73;10.0;66.9;33.91;64.3;1395.2;539.10;25.25;700.75;162.70
7;60;42.11;1;13;6.17;12.2;67.5;36.00;64.3;1352.9;574.58;25.25;700.75;143.72
8;60;54.40;1;13;6.25;12.2;68.1;36.59;64.3;1343.6;578.67;25.25;700.75;155.61
