Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Alternative Hostel of Old Montreal;10;53.1;1148.9;35.75
2;Auberge L'Apero;4;25.0;462.3;35.78
3;Alternative Hostel of Old Montreal;12;62.9;1381.7;84.28
4;Alternative Hostel of Old Montreal;14;69.8;1346.8;197.54
5;Hôtel Ac Montréal Centre-ville;14;68.6;1292.1;550.04
6;Hotel Zero 1;11;55.7;1065.8;364.28
7;L'Appartement Hotel;9;47.8;872.3;293.50
8;Auberge L'Apero;5;29.3;641.2;59.18
9;Hôtel Le Germain Montréal;10;53.3;992.5;440.60
10;Hotel Terrasse Royale;8;44.3;852.1;243.75
11;Auberge L'Apero;5;29.3;641.2;59.18
12;Alternative Hostel of Old Montreal;7;38.0;682.0;116.25
13;Alternative Hostel of Old Montreal;9;50.3;1121.1;63.43
14;Alternative Hostel of Old Montreal;13;67.5;1250.7;126.43
15;Auberge L'Apero;6;34.1;560.4;70.97
16;Hotel Terrasse Royale;8;44.3;852.1;243.75
17;Alternative Hostel of Old Montreal;7;38.9;700.2;103.43
18;Hôtel Le Germain Montréal;11;57.8;1018.9;389.83
19;Alternative Hostel of Old Montreal;14;69.8;1349.0;193.60
20;Auberge L'Apero;6;34.1;560.4;70.97
21;Alternative Hostel of Old Montreal;13;66.6;1258.9;116.98
22;Alternative Hostel of Old Montreal;11;58.4;1227.2;51.75
23;Alternative Hostel of Old Montreal;12;63.3;1156.5;142.93
24;Auberge L'Apero;6;33.7;763.7;60.22
25;Alternative Hostel of Old Montreal;12;62.9;1381.7;84.28
26;Alternative Hostel of Old Montreal;10;53.4;1178.1;35.75
27;Hôtel Spa Carré St-louis;9;46.8;906.0;276.38
28;Alternative Hostel of Old Montreal;10;52.3;981.6;93.27
29;Alternative Hostel of Old Montreal;14;69.8;1331.5;200.87
30;Alternative Hostel of Old Montreal;12;61.6;1180.9;92.03
31;Alternative Hostel of Old Montreal;8;43.5;812.0;117.67
32;Alternative Hostel of Old Montreal;8;42.0;744.9;116.25
33;Hôtel Le Germain Montréal;10;53.3;1012.2;439.93
34;Auberge L'Apero;6;33.7;763.7;60.22
35;Alternative Hostel of Old Montreal;11;56.6;1095.2;160.07
36;Alternative Hostel of Old Montreal;7;40.7;843.1;48.63
37;Hôtel Le Germain Montréal;11;58.4;1067.0;383.68
38;Alternative Hostel of Old Montreal;9;49.4;917.7;99.05
39;Auberge L'Apero;9;47.0;930.5;64.90
40;Alternative Hostel of Old Montreal;7;39.4;824.0;77.27
