Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Hyatt Centric Montreal;4.5;529.25;8;44.9;1073.0;687.97;5;4;528.2;54.92;3;3;544.8;103.80;Montréal Insectarium|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural|City Hall;Car|Car|Bus|Walking|Walking|Walking;Chateau Dufresne (Dufresne House)|Pointe-a-Calliere Montreal Archaeology and History Complex|Musée du Montréal juif - Museum of Jewish Montreal;Subway|Car|Car|Car
2;Hôtel Bonaventure Montréal;4.1;307.00;9;48.8;1324.4;468.58;4;4;678.4;101.33;5;3;646.0;60.24;St. Patrick's Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Maison Saint-Gabriel Museum and Historic Site|Planétarium De Montréal;Car|Car|Car|Car|Subway;Chateau Dufresne (Dufresne House)|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|L'original Art Gallery|Phi Centre;Subway|Car|Bus|Walking|Walking|Car
3;Delta Hotels by Marriott Montreal;4.1;316.00;7;39.4;1214.3;429.25;3;3;594.0;53.53;4;4;620.3;59.72;Chateau Dufresne (Dufresne House)|St. Patrick's Basilica|Mem – Centre Des Mémoires Montréalaises;Bus|Car|Car|Car;Musée de l'Holocauste Montréal|Notre-Dame-de-Bon-Secours Chapel|Planétarium De Montréal|Crystal Dreams St Denis - Montreal;Subway|Car|Walking|Subway|Walking
