Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Alternative Hostel of Old Montreal;10;52.9;1258.9;35.75
2;Samesun Montreal Central;6;36.1;614.0;82.78
3;Samesun Montreal Central;13;66.0;1415.5;165.27
4;Le St-Martin Hotel Particulier Montreal;6;35.2;567.4;335.40
5;Warwick Le Crystal - Montréal;13;66.6;1303.1;501.72
6;Hôtel Saint-Sulpice;12;61.8;1208.3;634.00
7;Le St-Martin Hotel Particulier Montreal;7;39.4;743.2;334.15
8;Le St-Martin Hotel Particulier Montreal;8;42.9;867.6;369.57
9;Alternative Hostel of Old Montreal;9;49.0;1166.6;41.78
10;Alternative Hostel of Old Montreal;9;49.1;951.9;56.08
11;Samesun Montreal Central;12;61.5;1210.9;180.17
12;Hôtel De L'ithq;8;44.3;886.2;452.00
13;InterContinental Montreal, an IHG hotel;10;52.7;899.0;459.55
14;Alternative Hostel of Old Montreal;7;40.7;811.3;71.20
15;InterContinental Montreal, an IHG hotel;11;56.7;968.3;460.02
16;Alternative Hostel of Old Montreal;11;58.5;1196.2;61.75
17;Alternative Hostel of Old Montreal;10;54.0;1088.3;75.75
18;L'Appartement Hotel;13;65.3;1388.7;265.82
19;Hotel Omni Mont-Royal;11;57.3;1001.7;369.08
20;Sonder Maisonneuve;12;62.8;1332.6;262.15
21;Le St-Martin Hotel Particulier Montreal;12;60.8;1192.8;397.85
22;Montreal Marriott Chateau Champlain;7;40.1;767.9;440.50
23;Samesun Montreal Central;7;38.7;771.0;145.47
24;Samesun Montreal Central;8;43.8;889.4;108.25
25;Alternative Hostel of Old Montreal;10;53.8;1065.4;80.72
26;InterContinental Montreal, an IHG hotel;11;56.7;968.3;460.02
27;Hotel le Coach;13;65.5;1400.3;300.14
28;Alt Hotel Montreal;11;58.2;1163.9;318.43
29;Deluxe Suites Downtown Montreal;12;63.4;1373.9;273.25
30;Samesun Montreal Central;7;38.7;771.0;145.47
31;Alternative Hostel of Old Montreal;10;53.3;906.4;75.75
32;Alternative Hostel of Old Montreal;12;62.1;1212.2;89.58
33;Alternative Hostel of Old Montreal;10;54.2;1140.9;66.50
34;Hôtel De L'ithq;11;58.4;1121.0;407.05
35;Le St-Martin Hotel Particulier Montreal;12;61.4;1206.0;386.77
36;Deluxe Suites Downtown Montreal;12;63.4;1373.9;273.25
37;Hotel Saint-Laurent Montreal;13;64.8;1298.1;407.08
38;Alternative Hostel of Old Montreal;7;40.7;811.3;71.20
39;Sonder Maisonneuve;12;62.8;1332.6;262.15
40;Alternative Hostel of Old Montreal;12;62.6;1281.2;99.40
