Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;7;39.8;804.6;25.25
2;Auberge L'Apero;13;66.3;1426.8;32.40
3;Alternative Hostel of Old Montreal;16;80.1;1397.1;170.30
4;Le St-Martin Hotel Particulier Montreal;4;26.4;431.2;273.13
5;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;15;76.8;1360.7;689.03
6;Le St-Martin Hotel Particulier Montreal;5;30.9;506.0;306.65
7;Le St-Martin Hotel Particulier Montreal;6;35.6;573.3;289.00
8;Le Petit Hotel Vieux-Montréal | Saint-Paul;9;49.3;760.3;474.52
9;Hotel Kutuma;10;53.7;815.2;414.32
10;Le St-Martin Hotel Particulier Montreal;5;30.9;513.6;294.47
11;Alternative Hostel of Old Montreal;16;80.1;1397.1;170.30
12;Alternative Hostel of Old Montreal;14;72.0;1181.4;175.92
13;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;15;76.8;1360.7;689.03
14;Alternative Hostel of Old Montreal;8;45.2;807.5;52.85
15;Auberge L'Apero;11;56.3;1047.5;41.47
16;Auberge L'Apero;6;34.3;632.0;33.25
17;Le St-Martin Hotel Particulier Montreal;7;40.1;606.1;295.78
18;Alternative Hostel of Old Montreal;8;44.0;655.7;65.97
19;Alternative Hostel of Old Montreal;12;62.0;1161.8;58.97
20;Alternative Hostel of Old Montreal;15;76.5;1401.8;137.53
21;Auberge L'Apero;13;66.3;1426.8;32.40
22;Alternative Hostel of Old Montreal;9;49.2;697.4;98.72
23;Alternative Hostel of Old Montreal;11;58.8;1034.8;58.77
24;Alternative Hostel of Old Montreal;13;67.2;1131.7;114.27
25;Alternative Hostel of Old Montreal;14;72.0;1181.4;175.92
26;Auberge L'Apero;12;62.2;1058.3;94.50
27;Alternative Hostel of Old Montreal;14;71.3;1207.5;119.27
28;Alternative Hostel of Old Montreal;10;53.8;994.1;51.75
29;Hotel Arena Palace Montreal;5;28.1;540.9;117.10
30;Deluxe Suites Downtown Montreal;13;68.4;1116.5;370.40
31;Auberge L'Apero;7;38.7;671.6;45.88
32;Hotel Kutuma;10;54.0;816.4;412.55
33;Auberge L'Apero;6;34.3;632.0;33.25
34;Alternative Hostel of Old Montreal;7;40.5;622.8;51.75
35;Hotel William Gray;12;63.8;1023.9;566.25
36;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;15;76.2;1273.4;650.42
37;Hotel Arena Palace Montreal;5;28.1;540.9;117.10
38;Auberge Du Vieux Port;14;72.2;1194.6;591.80
39;Le Petit Hotel Vieux-Montréal | Saint-Paul;10;53.6;786.8;505.48
40;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;10;54.1;798.8;617.98
41;Deluxe Suites Downtown Montreal;12;63.7;987.3;310.85
42;Days Inn By Wyndham Montreal East;15;73.0;1241.7;341.05
43;Auberge L'Apero;9;47.4;1033.5;32.17
44;Deluxe Suites Downtown Montreal;14;72.3;1238.5;332.58
45;Auberge L'Apero;8;42.9;719.9;41.25
46;Le Petit Hotel Vieux-Montréal | Saint-Paul;10;54.7;838.7;499.50
47;Le Petit Hotel Vieux-Montréal | Saint-Paul;9;50.0;779.7;474.52
48;Auberge L'Apero;14;69.9;1287.2;74.83
49;Le Petit Hotel Vieux-Montréal | Saint-Paul;14;71.8;1173.7;559.77
