Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge L'Apero;4.0;25.25;13;65.6;1388.9;39.25;7;5;668.9;14.00;6;4;720.0;0.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|Palais des Congres|Crystal Dreams St Denis - Montreal|Place d'Armes|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|City Hall|Pont Jacques-Cartier - Montreal|Cathédrale Christ Church Cathedral|L'original Art Gallery|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;67.2;1219.2;75.75;7;5;620.7;0.00;6;4;598.6;40.00;Maisonneuve Monument - Montreal|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame-de-Bon-Secours Chapel|City Hall|Place d'Armes|Pont Jacques-Cartier - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;13;67.8;1286.2;65.75;7;5;614.2;0.00;6;3;672.0;30.00;Aldred Building - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Place d'Armes|Kondiaronk Belvedere|Crystal Dreams St Denis - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Musee Romeo's - Montreal|Notre-Dame Basilica|L'original Art Gallery|Notre-Dame-de-Bon-Secours Chapel|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Auberge L'Apero;4.0;25.25;12;60.5;1263.8;25.25;5;4;597.4;0.00;7;4;666.5;0.00;Kondiaronk Belvedere|Palais des Congres|Maisonneuve Monument - Montreal|Aldred Building - Montreal|Arsenal Art Contemporain Montréal - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|City Hall|L'original Art Gallery|Cathédrale Christ Church Cathedral|Pont Jacques-Cartier - Montreal|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Auberge L'Apero;4.0;25.25;12;61.6;1157.0;39.25;6;4;616.0;14.00;6;5;541.0;0.00;Place d'Armes|Musee Romeo's - Montreal|Crystal Dreams St Denis - Montreal|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|Pont Jacques-Cartier - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|City Hall|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;12;62.7;1187.2;35.75;6;4;643.4;0.00;6;4;543.8;0.00;Kondiaronk Belvedere|La Guilde - Montreal|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Aldred Building - Montreal|Pont Jacques-Cartier - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Palais des Congres|Maisonneuve Monument - Montreal|L'original Art Gallery|Place d'Armes|Cathédrale Christ Church Cathedral|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;12;63.5;1081.9;65.75;7;5;601.6;0.00;5;3;480.3;30.00;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Aldred Building - Montreal|City Hall|Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel;Walking|Walking|Walking|Walking|Walking|Walking
8;Auberge L'Apero;4.0;25.25;11;58.0;1236.2;25.25;6;4;645.1;0.00;5;3;591.1;0.00;Mount Royal Park|La Guilde - Montreal|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Aldred Building - Montreal|Pont Jacques-Cartier - Montreal|Leonard Cohen Mural|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking
9;Auberge L'Apero;4.0;25.25;11;56.7;1018.4;39.25;6;5;581.1;0.00;5;3;437.3;14.00;Maisonneuve Monument - Montreal|Place d'Armes|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Complexe Desjardins|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Bus|Walking|Walking;Cathédrale Christ Church Cathedral|Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|City Hall|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;11;58.6;1050.5;35.75;6;4;559.3;0.00;5;3;491.2;0.00;Maisonneuve Monument - Montreal|Kondiaronk Belvedere|La Guilde - Montreal|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Place d'Armes|St. Patrick's Basilica|Palais des Congres|Cathédrale Christ Church Cathedral|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking
