,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Le Centre Sheraton Montreal Hotel,N,N,36.666666666666664,41.15,26.6,N,N,30.916666666666668,N,N,27.0,35.28333333333333,N,N,31.75,N,33.61666666666667,N,N,28.45,N,N,N,N,28.4,N,N,N,N,N,N,N,N,25.866666666666667,N,16.066666666666666,N,N,N,N,N,N,N,50.233333333333334,N,N,21.7,N,N,32.016666666666666
Ruby Foo's,31.566666666666666,50.21666666666667,56.733333333333334,32.766666666666666,46.666666666666664,34.38333333333333,35.43333333333333,43.53333333333333,28.083333333333332,35.483333333333334,47.06666666666667,55.35,36.55,30.716666666666665,44.36666666666667,37.4,47.233333333333334,35.55,33.65,48.516666666666666,29.433333333333334,33.75,63.0,32.833333333333336,N,30.466666666666665,31.933333333333334,29.816666666666666,32.53333333333333,32.95,41.46666666666667,33.68333333333333,51.25,45.93333333333333,35.483333333333334,32.13333333333333,35.483333333333334,31.7,54.416666666666664,30.366666666666667,N,34.1,33.21666666666667,62.85,N,40.45,35.31666666666667,31.316666666666666,40.083333333333336,45.63333333333333
Hôtel Le Germain Montréal,N,N,34.233333333333334,41.266666666666666,24.166666666666668,N,N,26.033333333333335,19.583333333333332,N,24.566666666666666,32.85,N,N,26.866666666666667,N,N,N,N,26.016666666666666,N,N,N,N,28.516666666666666,N,N,N,N,N,N,N,N,23.433333333333334,N,13.633333333333333,N,N,N,N,N,N,N,45.35,N,N,N,N,N,34.13333333333333
Ramada Plaza by Wyndham Montreal,33.583333333333336,N,58.75,N,48.68333333333333,36.4,37.45,45.55,31.1,37.5,49.083333333333336,57.36666666666667,38.56666666666667,32.733333333333334,46.38333333333333,39.416666666666664,49.25,37.56666666666667,35.666666666666664,50.53333333333333,32.45,35.766666666666666,65.01666666666667,34.85,N,32.483333333333334,34.95,31.833333333333332,34.55,34.96666666666667,43.483333333333334,35.7,53.266666666666666,47.95,38.5,34.15,37.5,33.71666666666667,56.43333333333333,32.38333333333333,N,36.11666666666667,35.233333333333334,64.86666666666666,N,42.46666666666667,37.333333333333336,33.333333333333336,43.1,47.65
Hôtel Ac Montréal Centre-ville,N,N,34.43333333333333,42.233333333333334,24.366666666666667,N,N,26.0,23.55,N,24.766666666666666,33.05,N,N,26.833333333333332,N,N,N,N,26.216666666666665,N,N,N,N,29.483333333333334,N,N,N,N,N,N,N,N,23.633333333333333,N,N,N,N,N,N,N,N,N,45.31666666666667,N,N,N,N,N,28.1
Hotel Le Cantlie Suites,N,N,33.4,40.43333333333333,23.333333333333332,N,N,25.2,18.75,25.066666666666666,23.733333333333334,32.016666666666666,N,N,26.033333333333335,N,N,N,N,25.183333333333334,N,N,N,N,27.683333333333334,N,N,N,22.116666666666667,N,28.133333333333333,N,N,22.6,N,12.8,25.066666666666666,N,31.083333333333332,N,N,N,N,44.516666666666666,N,N,22.983333333333334,N,N,35.0
Humaniti Hotel Montreal Autograph Collection,N,N,37.333333333333336,40.333333333333336,27.266666666666666,N,N,26.1,20.65,N,27.666666666666668,35.95,N,N,26.933333333333334,N,29.8,N,N,29.116666666666667,N,N,N,N,27.583333333333332,N,N,N,N,N,N,N,N,26.533333333333335,N,N,N,N,N,N,N,N,N,45.416666666666664,N,N,17.883333333333333,N,N,28.2
Radisson Hotel Montreal Airport,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hotel Zero 1,N,N,31.983333333333334,42.81666666666667,21.916666666666668,N,N,20.033333333333335,23.333333333333332,N,22.316666666666666,30.6,N,N,20.866666666666667,N,N,N,N,23.766666666666666,N,N,N,N,30.066666666666666,N,N,N,N,N,32.71666666666667,N,N,21.183333333333334,N,N,N,N,N,N,N,N,N,39.35,N,N,N,N,N,N
"Holiday Inn & Suites Montreal Centre-Ville Ouest, an IHG hotel",N,N,41.016666666666666,36.05,30.95,N,N,26.816666666666666,N,17.766666666666666,31.35,39.63333333333333,N,13.0,27.65,N,30.516666666666666,17.833333333333332,N,32.8,N,N,N,N,23.3,N,N,N,14.816666666666666,N,N,N,N,30.216666666666665,N,14.416666666666666,17.766666666666666,N,38.7,N,N,N,N,46.13333333333333,N,N,18.6,N,N,28.916666666666668
