,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Musée Marguerite-Bourgeoys,N,47.71666666666667,63.53333333333333,60.166666666666664,59.05,30.05,N,49.88333333333333,37.28333333333333,N,57.1,57.63333333333333,29.5,N,50.71666666666667,N,27.033333333333335,N,N,60.35,N,24.15,38.75,N,51.55,27.283333333333335,20.4,N,N,19.75,42.88333333333333,N,42.45,52.3,N,N,N,N,N,N,59.0,28.666666666666668,37.85,51.733333333333334,35.083333333333336,N,22.783333333333335,N,N,36.86666666666667
Oasis Immersion - Montreal,N,N,68.65,47.016666666666666,63.53333333333333,N,N,38.36666666666667,22.233333333333334,N,55.15,73.03333333333333,N,N,39.2,N,32.43333333333333,N,N,65.38333333333334,N,N,27.233333333333334,N,49.45,N,N,N,N,N,25.35,N,N,63.88333333333333,N,N,N,N,N,N,57.9,N,18.416666666666668,40.21666666666667,32.983333333333334,N,26.066666666666666,N,N,35.733333333333334
Pont Jacques-Cartier - Montreal,N,59.333333333333336,N,75.26666666666667,50.95,47.7,N,N,57.56666666666667,N,N,52.983333333333334,N,N,N,N,54.21666666666667,N,N,51.75,N,N,N,N,79.63333333333334,43.65,38.21666666666667,N,N,N,64.31666666666666,N,N,43.53333333333333,N,N,N,N,N,N,45.05,46.333333333333336,61.516666666666666,N,55.3,58.516666666666666,N,N,N,54.18333333333333
Maisonneuve Monument - Montreal,N,37.35,64.86666666666666,46.36666666666667,60.61666666666667,22.183333333333334,N,36.0,23.583333333333332,N,64.38333333333334,69.25,N,N,36.833333333333336,N,23.483333333333334,N,N,62.46666666666667,N,N,24.866666666666667,N,46.53333333333333,N,N,N,N,N,24.916666666666668,N,N,60.1,N,16.616666666666667,N,N,N,N,51.71666666666667,21.3,N,37.85,30.066666666666666,N,27.616666666666667,N,N,26.783333333333335
Montreal Street Art,44.1,54.233333333333334,N,61.233333333333334,25.5,56.06666666666667,48.516666666666666,78.5,71.01666666666667,41.25,23.316666666666666,23.85,45.45,43.25,79.33333333333333,49.78333333333333,29.383333333333333,41.93333333333333,39.43333333333333,26.566666666666666,42.38333333333333,48.3,67.36666666666666,45.36666666666667,63.43333333333333,50.03333333333333,43.766666666666666,40.7,38.55,44.43333333333333,77.16666666666667,38.35,53.0,18.516666666666666,48.483333333333334,31.566666666666666,41.25,43.75,46.96666666666667,42.9,N,52.36666666666667,62.96666666666667,80.35,44.833333333333336,64.33333333333333,27.783333333333335,43.85,58.78333333333333,23.433333333333334
La Guilde - Montreal,24.35,N,61.46666666666667,30.783333333333335,57.21666666666667,N,28.266666666666666,41.083333333333336,N,32.75,55.03333333333333,55.56666666666667,N,24.616666666666667,41.916666666666664,31.033333333333335,33.31666666666667,29.966666666666665,N,58.28333333333333,N,N,29.95,25.616666666666667,49.21666666666667,N,N,18.483333333333334,29.066666666666666,N,34.53333333333333,18.4,N,50.233333333333334,21.95,20.45,32.75,22.1,46.18333333333333,21.866666666666667,56.93333333333333,N,N,42.93333333333333,N,N,21.3,24.333333333333332,25.716666666666665,39.11666666666667
Arsenal Art Contemporain Montréal - Montreal,N,37.916666666666664,83.45,47.7,80.13333333333334,N,N,40.95,N,34.11666666666667,75.61666666666666,87.01666666666667,31.05,N,41.78333333333333,28.966666666666665,51.11666666666667,26.0,26.216666666666665,80.93333333333334,20.2,27.25,29.816666666666666,29.083333333333332,42.28333333333333,N,28.983333333333334,21.2,28.583333333333332,31.05,N,31.683333333333334,N,76.53333333333333,23.533333333333335,40.833333333333336,34.11666666666667,19.066666666666666,57.18333333333333,19.15,74.0,N,N,42.8,46.416666666666664,N,42.2,N,N,54.416666666666664
Aquazilla - Parc Jean-drapeau - Montreal,37.55,64.51666666666667,101.81666666666666,72.45,109.5,48.63333333333333,34.483333333333334,N,56.4,45.65,101.78333333333333,106.2,45.25,37.35,N,39.9,65.06666666666666,42.86666666666667,51.45,110.3,37.96666666666667,44.833333333333336,N,38.81666666666667,83.56666666666666,44.916666666666664,36.7,40.016666666666666,47.0,40.2,54.36666666666667,50.21666666666667,64.81666666666666,96.63333333333334,33.35,58.833333333333336,45.65,36.61666666666667,N,36.45,90.71666666666667,47.25,46.56666666666667,N,65.95,40.28333333333333,61.35,36.81666666666667,34.7,68.3
Belvedere Camillien-Houde - Montreal,29.983333333333334,N,51.18333333333333,22.883333333333333,53.86666666666667,N,35.0,63.8,42.05,31.466666666666665,51.81666666666667,52.21666666666667,N,30.516666666666666,64.63333333333334,39.18333333333333,18.133333333333333,35.31666666666667,25.533333333333335,54.93333333333333,25.566666666666666,N,52.666666666666664,32.63333333333333,37.016666666666666,N,30.5,25.433333333333334,27.65,N,54.8,25.166666666666668,N,46.416666666666664,31.683333333333334,24.433333333333334,31.466666666666665,27.866666666666667,59.916666666666664,30.166666666666668,42.0,N,47.016666666666666,65.65,N,49.4,20.366666666666667,31.116666666666667,41.416666666666664,20.033333333333335
Allez Up - Montreal,N,N,86.65,49.53333333333333,81.9,N,N,42.05,N,N,78.81666666666666,82.48333333333333,N,N,42.88333333333333,N,47.166666666666664,N,N,83.75,N,33.766666666666666,N,N,50.766666666666666,N,N,N,N,N,N,32.78333333333333,N,81.88333333333334,N,36.3,N,N,58.28333333333333,N,81.53333333333333,N,N,43.9,34.9,N,44.666666666666664,N,N,50.46666666666667
Crystal Dreams St Denis - Montreal,23.5,31.85,42.5,47.78333333333333,50.56666666666667,26.0,23.966666666666665,51.55,41.916666666666664,14.933333333333334,43.4,55.15,N,21.366666666666667,52.38333333333333,27.366666666666667,16.933333333333334,15.75,15.483333333333333,51.75,18.433333333333334,N,40.416666666666664,24.766666666666666,45.983333333333334,27.95,19.816666666666666,16.75,11.116666666666667,22.266666666666666,48.55,N,26.366666666666667,40.71666666666667,24.533333333333335,N,14.933333333333334,22.583333333333332,N,21.016666666666666,29.583333333333332,24.516666666666666,42.766666666666666,53.4,27.816666666666666,40.333333333333336,N,23.483333333333334,27.883333333333333,14.216666666666667
Aldred Building - Montreal,N,40.53333333333333,63.733333333333334,49.55,59.916666666666664,28.5,N,37.13333333333333,25.133333333333333,N,57.3,57.833333333333336,N,N,37.96666666666667,N,21.6,N,N,61.766666666666666,N,N,26.0,N,45.833333333333336,N,N,N,N,N,26.05,N,38.083333333333336,52.5,N,13.65,N,N,N,N,49.833333333333336,27.116666666666667,N,38.983333333333334,29.366666666666667,N,28.0,N,N,24.9
"Bota Bota, Spa-sur-l'eau - Montreal",N,42.43333333333333,80.06666666666666,53.68333333333333,78.73333333333333,24.766666666666666,N,30.116666666666667,32.13333333333333,N,74.21666666666667,83.06666666666666,24.216666666666665,N,30.95,N,32.3,N,N,79.53333333333333,N,23.533333333333335,18.983333333333334,N,65.56666666666666,27.283333333333335,18.733333333333334,N,N,N,22.216666666666665,N,37.166666666666664,72.86666666666666,N,15.666666666666666,N,N,N,N,60.53333333333333,23.383333333333333,N,31.966666666666665,40.86666666666667,N,40.8,N,N,35.6
Musee Romeo's - Montreal,31.616666666666667,29.716666666666665,47.05,43.916666666666664,56.45,39.0,35.53333333333333,67.48333333333333,53.833333333333336,33.233333333333334,51.416666666666664,52.916666666666664,34.35,31.883333333333333,68.31666666666666,38.3,N,33.916666666666664,26.466666666666665,57.516666666666666,34.733333333333334,34.11666666666667,56.35,32.88333333333333,43.56666666666667,42.016666666666666,35.75,28.35,30.533333333333335,35.083333333333336,66.2,26.8,N,49.166666666666664,35.516666666666666,23.55,33.233333333333334,30.7,59.86666666666667,29.133333333333333,31.45,37.516666666666666,53.88333333333333,69.33333333333333,25.683333333333334,54.266666666666666,19.766666666666666,31.6,42.65,N
