,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Auberge L'Apero,N,N,36.733333333333334,N,26.666666666666668,N,N,27.533333333333335,N,23.933333333333334,26.066666666666666,35.38333333333333,N,N,28.35,N,35.68333333333333,N,N,28.5,N,N,N,N,28.033333333333335,N,N,N,20.983333333333334,N,N,N,N,24.966666666666665,N,15.15,23.933333333333334,N,34.4,N,N,N,N,47.85,N,N,23.75,N,N,33.86666666666667
David Hotel,N,N,42.86666666666667,43.56666666666667,32.8,N,N,33.38333333333333,N,N,32.2,41.516666666666666,N,N,34.2,N,N,N,N,34.63333333333333,N,N,N,N,31.883333333333333,N,N,N,N,N,N,N,N,31.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,31.266666666666666
Hilton Garden Inn Montreal Airport,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Courtyard Montreal Midtown,32.46666666666667,N,57.63333333333333,N,46.56666666666667,35.2,35.333333333333336,48.43333333333333,28.983333333333334,36.38333333333333,45.96666666666667,56.28333333333333,35.45,31.616666666666667,49.25,37.3,48.13333333333333,36.38333333333333,34.55,48.4,31.333333333333332,32.65,66.9,33.7,N,31.366666666666667,33.833333333333336,30.716666666666665,33.43333333333333,31.85,40.4,34.583333333333336,51.1,44.86666666666667,36.35,33.05,36.38333333333333,32.6,55.3,31.266666666666666,N,35.0,34.13333333333333,66.75,N,41.35,36.2,32.21666666666667,40.983333333333334,46.31666666666667
Le Chabrol Hotel & Suites,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Cjour Apartments,29.716666666666665,N,N,54.86666666666667,19.816666666666666,27.083333333333332,33.583333333333336,31.683333333333334,32.233333333333334,N,19.216666666666665,28.533333333333335,26.7,28.866666666666667,32.5,N,N,N,22.633333333333333,21.65,25.783333333333335,21.9,N,30.95,42.18333333333333,27.366666666666667,24.116666666666667,26.966666666666665,N,21.1,41.65,19.483333333333334,41.35,18.116666666666667,34.93333333333333,N,N,29.85,N,27.516666666666666,N,25.783333333333335,38.38333333333333,N,N,43.483333333333334,N,29.466666666666665,N,38.56666666666667
Residence Inn Montreal Midtown,32.583333333333336,N,57.75,N,46.68333333333333,35.31666666666667,35.45,48.55,29.1,36.5,46.083333333333336,56.4,35.56666666666667,31.733333333333334,49.36666666666667,37.416666666666664,48.25,36.5,34.666666666666664,48.516666666666666,31.45,32.766666666666666,67.01666666666667,33.81666666666667,N,31.483333333333334,33.95,30.833333333333332,33.55,31.966666666666665,40.516666666666666,34.7,51.21666666666667,44.983333333333334,36.46666666666667,33.166666666666664,36.5,32.71666666666667,55.416666666666664,31.383333333333333,N,35.11666666666667,34.25,66.86666666666666,N,41.46666666666667,36.31666666666667,32.333333333333336,41.1,46.43333333333333
Hotel De Paris,16.966666666666665,N,37.53333333333333,45.11666666666667,27.466666666666665,N,N,21.35,25.483333333333334,N,26.866666666666667,36.18333333333333,N,16.116666666666667,22.166666666666668,N,N,N,N,29.3,N,N,N,N,32.43333333333333,22.866666666666667,N,14.216666666666667,N,N,39.9,N,N,25.766666666666666,N,N,N,17.1,N,14.766666666666667,N,N,27.633333333333333,N,N,32.85,N,N,N,N
Alternative Hostel of Old Montreal,N,N,45.083333333333336,45.65,35.016666666666666,N,N,35.46666666666667,N,N,34.416666666666664,43.733333333333334,N,N,36.28333333333333,N,N,N,N,36.85,N,N,N,N,33.96666666666667,N,N,N,N,N,N,N,N,33.31666666666667,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,33.35
Hotel Bon Accueil,N,N,31.183333333333334,44.166666666666664,21.116666666666667,20.383333333333333,N,15.0,24.533333333333335,N,20.516666666666666,29.833333333333332,N,N,15.816666666666666,N,N,N,N,22.95,N,N,N,N,31.483333333333334,20.666666666666668,N,N,N,N,34.95,N,N,19.416666666666668,N,N,N,N,N,N,N,19.083333333333332,26.683333333333334,34.31666666666667,N,N,N,N,N,N
Le Sieur De Joliette,28.983333333333334,42.63333333333333,N,54.13333333333333,N,26.35,32.85,30.95,31.5,27.466666666666665,N,N,25.966666666666665,28.133333333333333,31.766666666666666,34.81666666666667,39.65,28.35,21.9,N,25.05,21.166666666666668,47.416666666666664,30.216666666666665,41.45,26.633333333333333,23.383333333333333,26.233333333333334,23.9,20.366666666666667,40.916666666666664,18.75,40.61666666666667,N,34.2,15.566666666666666,27.466666666666665,29.116666666666667,N,26.783333333333335,N,25.05,37.65,47.266666666666666,N,42.75,28.716666666666665,28.733333333333334,40.5,37.833333333333336
