,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Hôtel De L'ithq,7.783333333333333,13.833333333333334,17.65,17.966666666666665,15.1,7.533333333333333,8.65,12.066666666666666,12.65,7.7,13.1,13.183333333333334,9.666666666666666,7.916666666666667,12.533333333333333,7.933333333333334,7.95,7.55,8.5,15.8,7.416666666666667,7.283333333333333,11.8,8.05,16.833333333333332,7.183333333333334,8.316666666666666,7.283333333333333,7.233333333333333,7.15,12.966666666666667,6.25,18.8,12.133333333333333,8.266666666666667,5.85,7.7,9.5,14.25,6.366666666666666,12.283333333333333,7.5,10.733333333333333,17.15,10.85,13.366666666666667,2.95,7.533333333333333,9.95,9.7
Fairmont The Queen Elizabeth,9.0,14.833333333333334,23.116666666666667,16.95,19.083333333333332,7.366666666666666,8.583333333333334,15.3,10.1,9.816666666666666,15.983333333333333,18.65,9.133333333333333,8.083333333333334,15.766666666666667,9.15,13.183333333333334,9.25,9.316666666666666,19.516666666666666,6.25,8.516666666666667,10.116666666666667,9.266666666666667,14.466666666666667,5.066666666666666,N,6.766666666666667,9.083333333333334,6.366666666666666,10.866666666666667,8.15,18.766666666666666,15.8,6.95,9.083333333333334,9.816666666666666,8.333333333333334,17.483333333333334,7.583333333333333,17.75,7.183333333333334,8.083333333333334,16.933333333333334,13.05,10.95,9.766666666666667,8.75,9.233333333333333,15.716666666666667
Hotel Gite du Survenant Montreal,11.883333333333333,19.95,10.183333333333334,23.483333333333334,6.65,13.05,12.483333333333333,12.983333333333333,16.866666666666667,11.0,2.65,6.266666666666667,15.183333333333334,12.016666666666667,13.45,12.033333333333333,13.033333333333333,10.733333333333333,14.016666666666667,7.083333333333333,12.933333333333334,12.8,14.65,12.15,19.85,12.7,13.833333333333334,11.9,10.416666666666666,12.666666666666666,15.916666666666666,11.766666666666667,24.816666666666666,3.6,12.1,11.216666666666667,11.0,13.333333333333334,15.166666666666666,10.2,7.75,13.016666666666667,13.266666666666667,18.066666666666666,16.966666666666665,15.9,9.283333333333333,11.633333333333333,13.766666666666667,14.783333333333333
Griffintown Hotel,6.716666666666667,13.8,20.866666666666667,15.916666666666666,16.933333333333334,6.7,5.216666666666667,12.216666666666667,7.566666666666666,6.6,13.833333333333334,16.4,9.033333333333333,6.85,13.283333333333333,6.133333333333334,12.316666666666666,6.983333333333333,9.233333333333333,17.366666666666667,6.0,7.933333333333334,7.066666666666666,6.65,12.2,4.666666666666667,6.483333333333333,5.233333333333333,6.933333333333334,6.116666666666666,4.65,7.9,18.666666666666668,13.65,3.7666666666666666,7.816666666666666,6.6,6.8,15.333333333333334,5.05,15.233333333333333,6.783333333333333,3.25,13.883333333333333,12.9,3.8833333333333333,7.8,6.466666666666667,4.616666666666666,14.283333333333333
Le Roberval,5.233333333333333,13.95,17.233333333333334,17.35,14.416666666666666,7.083333333333333,5.833333333333333,10.45,10.5,4.233333333333333,11.316666666666666,12.766666666666667,9.216666666666667,5.366666666666666,10.916666666666666,5.383333333333334,8.283333333333333,4.083333333333333,6.566666666666666,14.85,4.633333333333334,6.833333333333333,8.65,5.5,13.85,5.466666666666667,6.5,4.5,3.7666666666666666,5.483333333333333,9.916666666666666,3.9,18.85,11.716666666666667,5.45,3.316666666666667,4.233333333333333,6.683333333333334,12.633333333333333,3.55,11.866666666666667,7.05,7.266666666666667,15.533333333333333,10.966666666666667,9.9,3.0833333333333335,4.983333333333333,7.4,10.033333333333333
Hôtel Spa Carré St-louis,5.583333333333333,11.983333333333333,15.416666666666666,15.766666666666667,12.866666666666667,5.333333333333333,6.45,10.15,10.45,5.783333333333333,10.866666666666667,10.95,7.466666666666667,5.716666666666667,10.616666666666667,5.733333333333333,6.1,5.633333333333334,6.3,13.566666666666666,5.216666666666667,5.083333333333333,9.6,5.85,14.983333333333333,4.983333333333333,6.116666666666666,5.083333333333333,5.316666666666666,4.95,10.766666666666667,4.05,16.95,9.9,6.066666666666666,3.933333333333333,5.783333333333333,7.3,12.333333333333334,4.166666666666667,10.05,5.3,8.95,15.233333333333333,9.0,11.566666666666666,1.3666666666666667,5.333333333333333,7.75,7.85
Quality Hotel & Suites Montreal East,23.233333333333334,27.666666666666668,19.0,25.016666666666666,14.616666666666667,23.4,23.833333333333332,23.333333333333332,28.516666666666666,22.35,15.066666666666666,14.166666666666666,25.533333333333335,23.366666666666667,23.8,23.383333333333333,17.45,22.083333333333332,24.366666666666667,15.316666666666666,23.283333333333335,23.15,25.583333333333332,23.5,20.116666666666667,23.05,24.183333333333334,23.15,21.766666666666666,23.016666666666666,27.266666666666666,22.116666666666667,35.166666666666664,14.1,23.45,21.566666666666666,22.35,24.683333333333334,25.516666666666666,21.55,14.35,23.366666666666667,24.616666666666667,28.416666666666668,24.683333333333334,27.25,19.633333333333333,22.983333333333334,25.116666666666667,19.716666666666665
St Paul Hotel,5.783333333333333,14.916666666666666,21.816666666666666,17.95,18.25,8.15,4.083333333333333,12.333333333333334,10.516666666666667,5.666666666666667,15.15,17.35,10.283333333333333,5.066666666666666,13.4,5.2,11.616666666666667,6.05,8.533333333333333,18.683333333333334,5.55,7.9,7.183333333333334,5.716666666666667,14.6,6.066666666666666,7.1,4.533333333333333,7.166666666666667,6.083333333333333,8.083333333333334,7.3,19.916666666666668,14.966666666666667,2.1666666666666665,8.35,5.666666666666667,5.966666666666667,16.65,4.383333333333334,16.45,8.116666666666667,6.416666666666667,14.0,11.933333333333334,8.766666666666667,8.466666666666667,5.533333333333333,5.133333333333334,14.15
Ambrose House & Café,8.433333333333334,11.733333333333333,20.1,13.85,17.55,3.85,8.6,14.833333333333334,8.966666666666667,9.25,15.55,15.633333333333333,5.883333333333334,8.35,15.3,8.583333333333334,10.166666666666666,8.683333333333334,8.516666666666667,18.25,6.166666666666667,5.5,10.016666666666667,8.7,13.8,3.2333333333333334,5.9,6.666666666666667,9.6,5.366666666666666,10.583333333333334,7.2,15.383333333333333,14.583333333333334,6.95,8.516666666666667,9.25,8.233333333333333,17.016666666666666,7.016666666666667,14.733333333333333,3.816666666666667,7.266666666666667,16.833333333333332,10.8,10.133333333333333,6.75,8.183333333333334,9.133333333333333,12.7
Auberge du Plateau,6.2,12.983333333333333,16.816666666666666,16.383333333333333,14.266666666666667,5.95,7.066666666666666,11.55,11.066666666666666,7.183333333333334,12.266666666666667,12.35,8.083333333333334,6.333333333333333,12.016666666666667,6.35,8.2,6.45,7.05,14.966666666666667,5.833333333333333,5.7,10.216666666666667,6.466666666666667,16.333333333333332,5.6,6.733333333333333,5.7,6.716666666666667,5.566666666666666,11.383333333333333,4.666666666666667,17.716666666666665,11.3,6.683333333333334,5.4,7.183333333333334,7.916666666666667,13.733333333333333,4.783333333333333,11.45,5.916666666666667,9.566666666666666,16.633333333333333,10.0,12.183333333333334,3.466666666666667,5.95,8.366666666666667,9.95
