,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Le Westin Montreal,4.333333333333333,14.783333333333333,18.6,19.866666666666667,16.283333333333335,8.116666666666667,5.116666666666666,13.233333333333333,9.133333333333333,5.033333333333333,13.083333333333334,15.05,10.966666666666667,3.95,12.933333333333334,4.85,8.316666666666666,4.866666666666666,7.783333333333333,16.766666666666666,5.45,7.733333333333333,10.583333333333334,4.866666666666666,14.55,7.016666666666667,7.05,3.4833333333333334,5.383333333333334,6.283333333333333,10.516666666666667,5.483333333333333,19.016666666666666,13.983333333333333,3.65,7.183333333333334,5.033333333333333,6.516666666666667,15.316666666666666,2.6333333333333333,14.183333333333334,8.4,7.383333333333334,15.783333333333333,12.416666666666666,9.916666666666666,6.9,4.083333333333333,6.933333333333334,11.483333333333333
Montreal Marriott Chateau Champlain,6.9,13.783333333333333,20.466666666666665,17.583333333333332,16.9,6.1,7.383333333333334,13.516666666666667,7.866666666666666,6.3,13.7,16.65,8.95,6.516666666666667,14.0,7.416666666666667,9.5,6.916666666666667,7.85,17.383333333333333,5.75,6.433333333333334,8.616666666666667,7.433333333333334,12.266666666666667,5.0,5.166666666666667,5.25,6.65,4.983333333333333,9.183333333333334,6.783333333333333,17.716666666666665,14.9,5.316666666666666,8.516666666666667,6.3,7.266666666666667,16.383333333333333,5.2,15.1,6.383333333333334,5.583333333333333,14.783333333333333,12.366666666666667,8.116666666666667,7.816666666666666,6.65,7.883333333333334,12.666666666666666
Hyatt Centric Montreal,7.016666666666667,17.016666666666666,18.85,22.233333333333334,16.533333333333335,10.816666666666666,5.916666666666667,13.65,11.216666666666667,3.816666666666667,13.333333333333334,15.3,13.666666666666666,6.633333333333334,13.35,5.916666666666667,10.55,5.033333333333333,10.016666666666667,17.016666666666666,7.916666666666667,10.433333333333334,11.4,6.383333333333334,16.016666666666666,9.45,9.75,5.716666666666667,6.483333333333333,8.983333333333333,12.133333333333333,7.716666666666667,21.366666666666667,14.516666666666667,5.4,7.6,3.816666666666667,8.75,14.883333333333333,6.416666666666667,14.45,11.1,10.266666666666667,16.2,14.65,11.766666666666667,7.433333333333334,6.766666666666667,7.75,13.716666666666667
Novotel Montreal Centre,7.583333333333333,12.65,20.916666666666668,16.45,18.75,5.433333333333334,8.416666666666666,14.483333333333333,7.433333333333334,7.7,16.066666666666666,17.1,8.45,7.2,14.183333333333334,8.1,9.95,8.116666666666667,8.033333333333333,18.983333333333334,5.933333333333334,6.883333333333334,9.683333333333334,8.116666666666667,12.3,4.05,6.2,5.433333333333334,7.6,5.433333333333334,9.766666666666667,6.966666666666667,17.25,15.35,6.35,8.7,7.7,7.45,16.566666666666666,5.883333333333334,15.55,5.716666666666667,6.133333333333334,15.85,13.266666666666667,8.383333333333333,8.266666666666667,7.333333333333333,8.95,13.116666666666667
LHotel,4.966666666666667,15.433333333333334,19.233333333333334,19.233333333333334,16.916666666666668,7.483333333333333,4.766666666666667,13.866666666666667,9.516666666666667,5.666666666666667,13.716666666666667,15.683333333333334,10.333333333333334,4.583333333333333,13.566666666666666,5.483333333333333,8.95,5.5,8.416666666666666,17.4,4.816666666666666,7.1,10.166666666666666,5.5,13.916666666666666,6.383333333333334,6.416666666666667,4.116666666666666,6.016666666666667,5.65,10.1,6.116666666666666,18.383333333333333,14.616666666666667,2.7,7.816666666666666,5.666666666666667,6.3,15.95,3.2666666666666666,14.816666666666666,7.766666666666667,6.75,16.333333333333332,13.05,9.733333333333333,7.533333333333333,4.716666666666667,6.516666666666667,12.116666666666667
Courtyard Montreal Downtown,5.5,13.633333333333333,18.816666666666666,18.3,16.65,6.883333333333334,6.333333333333333,12.266666666666667,9.7,5.483333333333333,13.966666666666667,15.0,9.733333333333333,5.116666666666666,11.966666666666667,6.016666666666667,7.583333333333333,6.033333333333333,5.816666666666666,16.883333333333333,3.966666666666667,6.5,8.983333333333333,6.033333333333333,14.1,5.516666666666667,5.816666666666666,3.216666666666667,6.55,5.05,10.233333333333333,4.75,17.783333333333335,13.25,4.266666666666667,6.483333333333333,5.483333333333333,5.166666666666667,14.35,3.8,13.45,7.166666666666667,7.85,15.15,11.266666666666667,10.016666666666667,6.166666666666667,5.25,7.55,10.75
Embassy Suites by Hilton Montreal,6.183333333333334,14.383333333333333,17.716666666666665,19.383333333333333,15.55,7.966666666666667,6.25,11.35,9.3,4.3,12.866666666666667,13.9,10.816666666666666,5.8,11.05,5.983333333333333,7.916666666666667,4.916666666666667,7.166666666666667,15.783333333333333,5.483333333333333,7.583333333333333,9.5,6.05,14.1,6.6,6.9,3.8833333333333333,4.2,6.133333333333334,10.75,5.133333333333334,18.733333333333334,12.15,5.733333333333333,5.05,4.3,6.916666666666667,13.433333333333334,5.583333333333333,12.35,8.25,7.966666666666667,13.9,12.016666666666667,10.383333333333333,4.883333333333334,5.933333333333334,8.083333333333334,11.083333333333334
Fairfield by Marriott Montreal Downtown,6.85,14.933333333333334,17.533333333333335,19.783333333333335,15.366666666666667,8.366666666666667,6.75,11.433333333333334,9.966666666666667,5.216666666666667,12.683333333333334,13.716666666666667,11.216666666666667,6.466666666666667,11.133333333333333,6.65,8.733333333333333,5.616666666666666,7.566666666666666,15.6,5.883333333333334,7.983333333333333,10.166666666666666,6.716666666666667,14.766666666666667,7.0,7.3,4.55,4.866666666666666,6.533333333333333,11.416666666666666,5.533333333333333,19.283333333333335,11.966666666666667,6.233333333333333,4.666666666666667,5.216666666666667,7.4,13.516666666666667,5.833333333333333,12.166666666666666,8.65,8.633333333333333,13.983333333333333,12.566666666666666,11.05,4.5,6.6,8.75,11.5
Hotel Monville,5.116666666666666,14.933333333333334,19.916666666666668,18.733333333333334,17.066666666666666,7.066666666666666,5.95,13.366666666666667,9.316666666666666,5.816666666666666,13.866666666666667,16.1,9.916666666666666,4.733333333333333,13.066666666666666,5.633333333333334,8.683333333333334,5.65,6.65,17.55,3.5166666666666666,6.683333333333334,8.6,5.65,13.716666666666667,5.95,6.0,4.266666666666667,6.166666666666667,5.233333333333333,9.85,5.85,17.966666666666665,14.35,3.8833333333333333,7.583333333333333,5.816666666666666,4.783333333333333,15.45,3.4166666666666665,14.55,7.35,7.466666666666667,14.766666666666667,12.1,9.633333333333333,7.266666666666667,4.866666666666666,7.166666666666667,11.85
Best Western Plus Montreal Downtown-Hotel Europa,6.5,10.666666666666666,18.283333333333335,14.466666666666667,16.116666666666667,2.7333333333333334,7.333333333333333,13.4,6.6,6.616666666666666,13.433333333333334,14.466666666666667,5.75,6.116666666666666,13.1,7.016666666666667,7.316666666666666,7.033333333333333,6.95,16.35,4.85,4.166666666666667,8.6,7.033333333333333,11.466666666666667,1.35,5.116666666666666,4.35,6.516666666666667,3.4833333333333334,8.933333333333334,5.883333333333334,14.55,12.716666666666667,5.266666666666667,7.616666666666666,6.616666666666666,6.366666666666666,15.483333333333333,4.8,12.916666666666666,3.0166666666666666,5.3,14.766666666666667,9.3,7.55,5.633333333333334,6.25,7.866666666666666,10.483333333333333
