Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;9;48.4;1295.2;46.34
2;Samesun Montreal Central;12;63.5;1430.8;107.40
3;Hotel Zero 1;3;21.3;513.0;280.75
4;Hotel Zero 1;3;21.4;370.1;298.75
5;The Ritz-Carlton, Montreal;13;68.8;1399.8;1141.85
6;Renaissance Montreal Downtown Hotel;8;45.7;881.5;761.05
7;The Ritz-Carlton, Montreal;12;63.6;1209.3;1073.48
8;Hôtel Ac Montréal Centre-ville;6;35.3;688.6;423.90
9;Renaissance Montreal Downtown Hotel;7;40.9;720.3;761.05
10;Hotel Zero 1;8;44.7;877.4;338.50
11;Auberge L'Apero;9;48.2;974.9;158.63
12;L'Appartement Hotel;10;51.6;1130.7;271.27
13;Samesun Montreal Central;10;54.7;1168.4;82.00
14;Samesun Montreal Central;11;59.3;1295.0;82.00
15;Renaissance Montreal Downtown Hotel;7;40.9;720.3;761.05
16;Hotel Zero 1;5;30.2;544.7;338.50
17;Hotel Zero 1;4;24.7;511.6;330.92
18;Samesun Montreal Central;9;49.7;1044.7;113.00
19;Hôtel Le Germain Montréal;3;21.9;456.9;371.53
20;Hotel Zero 1;5;30.2;544.7;338.50
21;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;12;63.3;1221.2;579.35
22;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;13;68.2;1344.3;640.67
23;The Ritz-Carlton, Montreal;13;68.8;1399.8;1141.85
24;Samesun Montreal Central;11;58.7;1162.2;138.20
25;Hotel Zero 1;4;25.5;575.5;326.77
26;Hotel Zero 1;4;24.7;514.4;320.50
27;Samesun Montreal Central;12;63.5;1430.8;107.40
28;Hôtel De L'ithq;12;63.1;1295.7;448.68
29;Auberge L'Apero;6;33.7;585.3;84.60
30;Auberge L'Apero;7;38.7;804.2;92.25
31;Doubletree By Hilton Montreal;13;67.2;1386.3;445.60
32;Hotel Zero 1;6;35.1;666.2;337.25
33;Hotel Zero 1;7;38.9;772.0;364.50
34;Hotel Zero 1;7;39.5;815.6;336.75
35;Hotel Zero 1;3;21.4;370.1;298.75
36;Samesun Montreal Central;11;57.4;1332.0;75.62
37;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;12;63.8;1344.1;601.00
38;Hotel Zero 1;12;61.4;1199.7;372.98
39;Hôtel Bonaventure Montréal;12;62.4;1310.1;381.93
40;Samesun Montreal Central;9;49.8;1187.2;65.57
