Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;9;48.4;1120.1;42.77
2;Samesun Montreal Central;12;62.8;1362.9;76.00
3;Hotel Le Saint Andre;3;18.3;522.2;283.50
4;Hôtel Place d'Armes Old Montreal;14;72.6;1252.9;509.77
5;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;12;64.0;1105.5;644.58
6;Hotel Le Saint Andre;6;32.4;634.6;275.75
7;Hotel Le Saint Andre;4;23.4;563.9;273.50
8;Hotel Le Saint Andre;3;18.3;522.2;283.50
9;Hotel Le Saint Andre;9;46.7;868.6;263.75
10;Hotel Le Saint Andre;4;23.4;563.9;273.50
11;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;8;44.7;786.8;577.50
12;Hotel Omni Mont-Royal;7;39.3;776.1;264.75
13;Sonder Maisonneuve;4;25.5;739.9;262.00
14;Hôtel Place d'Armes Old Montreal;13;68.1;1145.8;501.87
15;Hotel Omni Mont-Royal;6;35.1;764.2;270.60
16;Hotel le Coach;12;62.9;1125.0;246.27
17;Hotel Omni Mont-Royal;7;39.3;776.1;264.75
18;Samesun Montreal Central;10;53.2;1035.7;79.35
19;Best Western Plus Hotel Montreal;13;66.5;1212.6;307.88
20;Sonder Maisonneuve;4;25.5;739.9;262.00
21;Hotel Omni Mont-Royal;12;62.0;1123.8;351.65
22;Hôtel Place d'Armes Old Montreal;11;59.3;1032.1;469.82
23;Auberge du Plateau;13;67.9;1290.3;185.99
24;Hotel Omni Mont-Royal;11;58.7;1058.2;321.50
25;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;8;45.2;794.8;561.87
26;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;9;49.7;901.9;561.87
27;Samesun Montreal Central;10;53.8;1066.4;101.80
28;Auberge du Plateau;12;61.8;1075.2;152.13
29;Samesun Montreal Central;12;62.8;1362.9;76.00
30;Auberge du Plateau;8;44.7;810.2;67.25
31;Samesun Montreal Central;11;58.2;1120.8;117.52
32;Doubletree By Hilton Montreal;12;62.6;1105.7;412.37
33;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;10;54.6;970.8;628.05
34;Samesun Montreal Central;10;53.6;941.4;91.43
35;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;11;59.8;1042.5;630.58
36;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;8;45.2;794.8;561.87
37;Hygie Boutique Hotel;12;56.3;1321.1;80.75
38;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;8;44.7;786.8;577.50
39;Le Roberval;6;33.7;789.9;211.00
40;Samesun Montreal Central;12;63.0;1198.7;98.53
41;Hôtel Place d'Armes Old Montreal;11;59.1;996.0;446.05
42;Hôtel Place d'Armes Old Montreal;13;68.1;1145.8;501.87
43;Hôtel Place d'Armes Old Montreal;11;59.1;996.0;446.05
44;Doubletree By Hilton Montreal;12;62.6;1105.7;412.37
45;Samesun Montreal Central;13;67.1;1346.0;123.55
46;Auberge L'Apero;9;48.4;981.1;52.80
47;Auberge du Plateau;11;58.0;1060.9;108.27
48;Samesun Montreal Central;8;45.0;884.7;60.00
49;Le Roberval;6;33.7;789.9;211.00
50;Auberge du Plateau;11;58.6;1158.1;100.97
51;Auberge du Plateau;12;62.4;1257.2;88.40
52;Samesun Montreal Central;9;49.1;962.1;74.00
53;Hotel Omni Mont-Royal;10;54.1;1038.6;327.73
54;Hotel Omni Mont-Royal;6;35.1;764.2;270.60
55;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;12;63.5;1080.3;644.52
56;Hotel Omni Mont-Royal;11;58.2;1072.3;303.28
57;Samesun Montreal Central;13;67.9;1322.6;134.42
58;Best Western Plus Hotel Montreal;13;66.5;1212.6;307.88
59;Auberge du Plateau;13;67.4;1229.7;142.23
60;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;10;54.6;970.8;628.05
