Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;43.2;791.5;25.25
2;Auberge L'Apero;3;21.1;361.4;47.50
3;Auberge L'Apero;16;79.4;1422.4;90.07
4;Auberge L'Apero;16;79.5;1388.3;132.38
5;Hôtel De L'ithq;16;81.0;1383.8;497.18
6;The Ritz-Carlton, Montreal;7;41.0;642.8;1080.37
7;The Ritz-Carlton, Montreal;5;32.0;543.6;1035.73
8;Hotel William Gray;14;72.6;1174.7;646.75
9;Alternative Hostel of Old Montreal;6;35.7;565.8;35.75
10;Auberge L'Apero;3;21.1;361.4;47.50
11;The Ritz-Carlton, Montreal;5;32.0;543.6;1035.73
12;Auberge L'Apero;4;25.6;546.4;31.98
13;Auberge L'Apero;4;25.6;546.4;31.98
14;Le St-Martin Hotel Particulier Montreal;9;49.0;762.0;281.75
15;Hotel Nelligan;11;59.5;910.9;588.70
16;The Ritz-Carlton, Montreal;7;41.0;642.8;1080.37
17;Hôtel De L'ithq;15;77.4;1330.2;460.15
18;Auberge L'Apero;16;79.4;1422.4;90.07
19;Fairfield by Marriott Montreal Downtown;10;53.6;834.0;302.67
20;Hotel Casa Bella;12;59.1;957.9;205.13
21;Hôtel Spa Carré St-louis;13;65.3;1005.9;312.23
22;Warwick Le Crystal - Montréal;9;50.6;774.3;451.07
23;Auberge L'Apero;11;57.6;1061.3;40.73
24;Auberge L'Apero;5;30.6;630.0;31.98
25;Hôtel De L'ithq;8;44.7;665.0;366.32
26;Alternative Hostel of Old Montreal;12;63.1;1097.5;65.75
27;Alternative Hostel of Old Montreal;14;71.6;1122.3;132.05
28;Hôtel De L'ithq;13;67.2;1017.4;412.67
29;Warwick Le Crystal - Montréal;15;76.2;1235.7;481.52
30;Auberge L'Apero;10;52.2;830.2;68.97
31;Hotel Casa Bella;12;59.1;957.9;205.13
32;Auberge L'Apero;7;38.9;621.9;35.90
33;Hotel William Gray;13;68.1;1055.1;633.22
34;Warwick Le Crystal - Montréal;8;45.6;680.4;434.32
35;Auberge L'Apero;9;47.3;734.6;80.27
36;Hotel William Gray;15;76.8;1272.3;620.17
37;Warwick Le Crystal - Montréal;14;72.7;1203.9;499.62
38;Auberge L'Apero;10;51.6;821.0;78.38
39;Le St-Martin Hotel Particulier Montreal;9;49.8;750.8;302.70
40;Alternative Hostel of Old Montreal;15;76.2;1261.4;175.08
41;Le St-Martin Hotel Particulier Montreal;11;58.1;883.2;331.93
42;Auberge L'Apero;8;42.7;649.7;75.78
43;Auberge L'Apero;15;74.6;1247.9;98.68
44;Auberge L'Apero;11;56.3;925.7;53.22
45;Warwick Le Crystal - Montréal;10;54.8;816.2;437.88
46;Alternative Hostel of Old Montreal;16;80.2;1353.6;160.07
47;Warwick Le Crystal - Montréal;7;40.5;603.2;437.57
48;Auberge L'Apero;14;69.9;1290.6;53.61
49;Auberge L'Apero;5;30.6;630.0;31.98
50;Hotel William Gray;11;58.9;860.4;570.10
51;Warwick Le Crystal - Montréal;16;80.8;1368.5;533.62
52;Warwick Le Crystal - Montréal;14;72.3;1135.8;539.43
53;Alternative Hostel of Old Montreal;7;39.9;650.6;35.75
54;Hotel Nelligan;12;63.7;980.4;588.58
55;Warwick Le Crystal - Montréal;15;77.0;1282.7;509.53
56;Le St-Martin Hotel Particulier Montreal;9;49.0;762.0;281.75
57;Auberge L'Apero;12;61.1;1283.3;30.48
58;Alternative Hostel of Old Montreal;14;72.4;1163.5;117.40
59;Hôtel De L'ithq;13;67.8;1071.5;473.68
60;Warwick Le Crystal - Montréal;13;68.0;1078.7;489.20
61;Alternative Hostel of Old Montreal;8;44.3;715.9;35.75
62;Le St-Martin Hotel Particulier Montreal;11;58.5;914.4;311.78
63;Hôtel Spa Carré St-louis;13;65.3;1005.9;312.23
64;Hôtel De L'ithq;8;45.6;705.8;390.97
65;Hôtel De L'ithq;8;44.7;665.0;366.32
66;Auberge L'Apero;13;66.4;1358.7;25.25
67;Hôtel De L'ithq;10;53.5;793.8;423.13
68;Alternative Hostel of Old Montreal;16;80.5;1403.3;164.25
