Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;10;1.07;1;10;3.20;13.0;51.9;22.95;71.5;1172.5;434.70;25.25;395.35;149.69
2;60;2.25;1;11;2.50;12.2;56.4;19.66;67.9;1271.7;313.53;25.25;395.35;86.79
3;60;89.95;1;11;4.05;12.2;59.0;26.50;64.3;1271.7;446.28;25.25;510.50;98.82
4;60;217.40;1;12;5.73;12.2;63.0;34.20;64.3;1396.2;606.69;25.25;513.33;116.90
