Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge St Jacques;3.6;137.25;8;42.2;1245.6;318.34;4;3;670.0;58.28;4;3;575.6;122.82;Phi Centre|Biosphere|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Bus|Car|Walking|Car|Bus;Montréal Insectarium|Notre-Dame Basilica|Cathédrale Christ Church Cathedral|Aquazilla - Parc Jean-drapeau - Montreal;Walking|Car|Car|Car|Car
2;Alternative Hostel of Old Montreal;4.5;35.75;8;41.2;1236.5;155.53;4;3;636.0;72.30;4;4;600.5;47.48;City Hall|Olympic Park (Parc olympique)|Complexe Desjardins|Planétarium De Montréal;Walking|Car|Walking|Car|Car;Biosphere|Arsenal Art Contemporain Montréal - Montreal|St. Patrick's Basilica|Musee D'Art Contemporain De Montreal;Subway|Car|Bus|Walking|Walking
3;Hygie Boutique Hotel;1.8;70.75;8;38.7;1219.2;218.85;4;3;628.1;98.37;4;4;591.1;49.73;La Guilde - Montreal|Olympic Park (Parc olympique)|Musée du Montréal juif - Museum of Jewish Montreal|Planétarium De Montréal;Bus|Car|Subway|Car|Car;Musée de l'Holocauste Montréal|City Hall|Mem – Centre Des Mémoires Montréalaises|Crystal Dreams St Denis - Montreal;Walking|Car|Car|Car|Walking
4;Griffintown Hotel;4.0;257.50;7;39.2;1151.5;375.58;4;4;631.4;79.97;3;3;520.1;38.12;Atwater Market|Biodôme De Montreal|Arsenal Art Contemporain Montréal - Montreal|Crystal Dreams St Denis - Montreal;Car|Car|Car|Car|Bus;Bibliotheque et Archives Nationales du Quebec|Montreal Botanical Garden|Notre-Dame-de-Bon-Secours Chapel;Walking|Car|Walking|Car
