Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;17;1.19;1;9;5.06;8.0;49.4;30.36;71.5;1270.1;662.98;25.25;546.95;275.50
2;46;2.14;1;9;2.67;12.2;49.4;20.23;68.7;1144.0;321.59;25.25;546.95;165.93
3;60;5.18;1;9;2.70;12.2;49.4;20.60;64.3;1158.0;290.25;25.25;827.73;148.19
4;60;13.79;1;11;4.00;12.2;58.1;26.49;64.3;1346.8;438.16;25.25;827.73;160.92
5;60;16.88;1;11;4.60;12.2;58.1;29.17;64.3;1346.8;468.33;25.25;700.75;104.05
6;60;21.79;1;13;4.87;12.2;66.3;30.37;64.3;1281.3;467.76;25.25;700.75;107.07
7;60;47.81;1;13;4.92;12.2;66.3;30.65;64.3;1226.8;447.85;25.25;700.75;140.39
8;60;41.65;1;13;5.72;12.2;66.3;34.28;64.3;1261.6;527.60;25.25;700.75;136.64
9;60;45.32;1;13;6.05;12.2;67.5;35.83;64.3;1370.5;556.38;25.25;700.75;133.21
10;60;35.86;1;13;5.98;12.2;67.5;35.55;64.3;1370.5;544.74;25.25;1041.77;169.76
11;60;37.42;1;13;6.17;12.2;67.7;36.32;64.3;1370.5;554.72;25.25;1041.77;143.16
