Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;17;0.84;1;9;3.65;9.8;48.3;23.94;90.0;1251.2;509.34;25.25;642.26;207.24
2;47;1.53;1;9;2.60;12.2;49.5;19.55;71.1;1284.6;330.91;25.25;615.11;101.76
3;60;4.72;1;9;2.83;12.2;49.5;21.06;64.6;1251.2;340.55;25.25;615.11;106.23
4;60;13.57;1;11;4.67;11.4;57.7;29.07;64.3;1395.9;551.92;25.25;648.01;152.82
5;60;32.31;1;11;5.07;9.8;58.9;31.05;64.3;1433.7;562.40;25.25;700.75;172.96
6;60;18.95;1;11;5.13;12.2;58.9;31.52;64.3;1433.7;543.43;25.25;1013.25;174.61
7;59;23.57;1;12;5.68;12.2;62.6;33.87;64.3;1433.7;594.30;25.25;1013.25;160.48
8;60;25.82;1;12;5.72;12.2;62.6;34.15;64.3;1433.7;577.61;25.25;1013.25;126.86
9;60;41.93;1;12;5.10;12.6;63.0;31.53;64.3;1323.2;491.63;25.25;1013.25;134.71
10;60;35.47;1;12;5.32;12.2;63.0;32.58;64.3;1323.2;509.45;25.25;1013.25;115.47
11;60;59.66;1;13;5.60;12.2;66.8;33.90;64.3;1413.8;537.24;25.25;700.75;122.43
