Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;17;1.56;1;8;2.94;12.1;41.3;21.67;72.3;1369.5;468.16;25.25;422.28;201.90
2;60;4.54;1;10;2.27;12.2;53.1;18.79;64.4;1270.6;242.78;25.25;700.75;149.28
3;60;11.59;1;11;3.53;12.2;58.4;24.35;64.3;1340.0;413.20;25.25;700.75;125.24
4;60;14.85;1;11;4.38;12.2;58.4;28.03;64.3;1340.0;479.86;25.25;700.75;111.40
5;60;28.39;1;14;5.05;12.2;71.6;31.26;64.3;1343.0;541.88;25.25;700.75;107.73
6;60;21.32;1;14;5.08;12.5;71.6;31.41;64.3;1343.0;500.57;25.25;700.75;147.11
7;60;36.17;1;14;6.00;12.5;71.6;35.42;64.3;1349.1;574.70;25.25;700.75;139.16
8;60;50.07;1;14;6.58;12.2;71.6;38.15;64.3;1349.1;628.90;25.25;700.75;145.50
9;60;46.82;1;14;6.22;12.2;71.6;36.58;64.3;1381.1;586.21;25.25;700.75;151.12
10;60;64.95;1;14;6.63;12.2;71.6;38.41;64.3;1381.1;633.35;25.25;700.75;141.97
