Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Warwick Le Crystal - Montréal;4.8;401.50;7;40.0;1174.5;495.15;3;2;601.0;37.97;4;3;573.4;55.68;Olympic Park (Parc olympique)|Bibliotheque et Archives Nationales du Quebec|Planétarium De Montréal;Walking|Car|Bus|Subway;Chateau Dufresne (Dufresne House)|Musée de l'Holocauste Montréal|City Hall|L'original Art Gallery;Subway|Car|Subway|Car|Car
2;Alternative Hostel of Old Montreal;4.5;35.75;7;38.4;1202.0;154.79;4;4;640.8;77.24;3;3;561.1;41.80;Montréal Insectarium|Biodôme De Montreal|Complexe Desjardins|Phi Centre;Subway|Car|Walking|Car|Walking;Chateau Ramezay Historic Site and Museum of Montreal|Atwater Market|Arsenal Art Contemporain Montréal - Montreal;Car|Car|Car|Car
3;InterContinental Montreal, an IHG hotel;4.1;352.25;9;48.8;1200.1;484.93;5;3;582.3;86.19;4;4;617.8;46.48;Montréal Insectarium|Complexe Desjardins|Notre-Dame Basilica|Phi Centre|L'original Art Gallery;Subway|Car|Walking|Car|Car|Car;Chateau Ramezay Historic Site and Museum of Montreal|Musée de l'Holocauste Montréal|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal;Car|Car|Subway|Car|Walking
