Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;30;11.02;1;11;5.60;7.8;56.5;33.12;67.8;1286.2;651.91;25.25;1119.22;199.32
2;30;120.96;1;12;5.73;12.2;60.9;34.48;64.3;1405.3;655.00;25.25;1020.80;169.80
3;30;446.02;1;13;5.53;12.2;67.0;33.46;64.3;1404.1;571.67;25.25;1020.80;168.56
4;30;453.67;1;14;5.93;7.8;72.3;35.08;64.3;1422.5;572.40;25.25;1020.80;167.73
5;30;224.86;1;14;5.97;10.0;72.4;35.27;64.3;1384.2;564.24;25.25;1020.80;171.24
6;30;198.76;1;14;6.17;12.2;72.4;36.25;64.3;1384.2;581.06;25.25;1020.80;193.97
7;30;84.95;1;14;6.17;12.2;72.4;36.34;64.3;1384.2;584.07;25.25;1020.80;194.63
8;30;138.45;1;14;5.87;12.2;72.4;34.99;64.3;1384.2;546.97;25.25;1020.80;204.34
9;30;69.82;1;14;6.07;10.0;72.4;35.72;64.3;1384.2;556.18;25.25;1020.80;177.44
10;30;74.63;1;14;6.23;12.2;72.4;36.41;64.3;1384.2;593.25;25.25;1020.80;190.47
11;30;182.11;1;14;6.53;12.2;72.6;38.11;64.3;1402.8;634.39;25.25;1020.80;225.88
12;30;110.64;1;14;6.77;12.2;72.6;39.15;64.3;1383.6;637.59;25.25;1020.80;139.30
13;30;171.22;1;14;6.70;12.2;72.6;38.95;64.3;1334.8;630.18;25.25;1020.80;150.73
14;30;335.75;1;14;6.30;12.2;72.6;37.14;64.3;1384.9;601.09;25.25;1020.80;203.70
15;30;683.45;1;14;6.47;12.2;72.6;37.95;64.3;1419.9;611.88;25.25;1044.25;192.51
16;30;473.91;1;14;6.50;12.2;72.6;37.83;64.3;1419.9;626.47;25.25;1058.90;187.73
17;30;377.26;1;14;6.53;12.2;72.7;37.90;64.3;1383.9;629.92;25.25;1027.90;185.38
18;30;279.82;1;14;6.20;12.2;72.7;36.56;64.3;1400.5;598.10;25.25;1027.90;155.59
19;30;243.96;1;14;6.67;12.2;72.7;38.39;64.3;1400.5;628.80;25.25;1041.77;176.37
20;30;226.00;1;14;6.27;12.2;72.7;36.55;64.3;1400.5;596.40;25.25;1041.77;207.02
21;30;141.57;1;14;6.43;12.2;72.7;37.51;64.3;1389.6;610.34;25.25;1041.77;191.48
22;30;446.76;1;14;5.80;11.4;72.7;34.69;64.3;1390.6;572.70;25.25;1041.77;186.26
23;30;333.54;1;14;6.10;12.2;72.7;36.03;64.3;1390.6;618.67;25.25;1041.77;196.37
24;30;205.98;1;14;6.27;12.2;72.7;36.64;64.3;1415.4;612.10;25.25;1041.77;180.89
25;30;312.51;1;14;6.63;12.2;72.7;38.27;64.3;1415.4;643.25;25.25;1041.77;179.86
26;30;237.50;1;14;6.23;12.2;72.7;36.51;64.3;1414.5;595.31;25.25;1041.77;179.98
27;30;279.06;1;15;6.47;7.8;76.3;37.59;64.3;1414.5;630.02;25.25;1041.77;146.48
28;30;183.64;1;15;6.63;12.2;76.3;38.56;64.3;1405.0;672.41;25.25;1041.77;201.22
29;30;202.31;1;15;6.70;12.2;76.3;38.86;64.3;1400.6;675.80;25.25;1041.77;199.59
30;30;202.45;1;15;6.57;12.2;76.3;38.33;64.3;1425.1;637.55;25.25;1041.77;218.61
31;30;180.13;1;15;6.67;12.2;76.3;38.77;64.3;1425.1;630.38;25.25;1041.77;221.41
32;30;727.94;1;15;6.63;12.2;76.3;38.60;64.3;1425.1;665.31;25.25;1041.77;166.26
33;30;313.31;1;15;7.10;12.2;76.3;40.24;64.3;1425.1;691.49;25.25;1041.77;148.57
34;30;185.77;1;15;6.67;12.2;76.8;38.75;64.3;1425.1;643.25;25.25;1041.77;150.79
35;30;2723.33;1;15;6.60;12.2;76.8;38.55;64.3;1425.1;668.64;25.25;1041.77;171.85
36;30;616.83;1;15;6.33;12.2;77.3;37.41;64.3;1425.2;616.58;25.25;1041.77;190.40
37;30;301.49;1;15;5.93;7.8;77.3;35.38;64.3;1413.3;556.67;25.25;1041.77;203.61
38;30;352.77;1;15;6.53;12.2;77.3;38.33;64.3;1413.3;618.03;25.25;1041.77;206.52
39;30;379.60;1;15;7.03;12.2;77.3;40.56;64.3;1413.3;659.00;25.25;1041.77;205.32
40;30;146.60;1;15;6.27;12.2;77.3;37.08;64.3;1414.7;599.94;25.25;1041.77;195.45
41;30;128.83;1;15;6.67;12.2;77.3;38.86;64.3;1414.7;626.41;25.25;1041.77;190.82
42;30;146.17;1;15;6.53;12.2;77.3;38.35;64.3;1414.7;609.54;25.25;1041.77;185.59
43;30;400.28;1;15;6.50;12.0;77.3;37.92;64.3;1414.7;631.21;25.25;1041.77;193.17
44;30;217.16;1;15;7.10;12.2;77.5;40.60;64.3;1414.7;662.12;25.25;1041.77;194.14
45;30;1202.52;1;15;6.83;12.2;77.5;39.44;64.3;1426.2;667.97;25.25;1041.77;206.68
46;30;573.24;1;15;6.70;12.2;77.5;38.97;64.3;1426.2;633.73;25.25;1041.77;199.07
47;30;291.36;1;15;6.80;12.2;77.5;39.43;64.3;1426.2;640.08;25.25;1041.77;149.27
48;30;671.52;1;15;5.77;12.2;77.5;34.94;64.3;1394.9;585.40;25.25;1041.77;192.99
49;30;311.76;1;15;6.97;12.2;77.7;40.14;64.3;1410.9;681.81;25.25;1041.77;180.25
50;30;224.21;1;15;6.87;12.2;77.7;39.66;64.3;1410.9;648.33;25.25;1041.77;198.74
51;30;760.71;1;15;6.67;12.2;77.7;38.92;64.3;1410.9;649.62;25.25;1041.77;217.41
52;30;318.00;1;15;6.83;12.2;77.7;39.58;64.3;1400.2;671.75;25.25;1041.77;200.62
53;30;635.96;1;15;6.67;12.2;77.7;38.77;64.3;1405.2;651.31;25.25;1041.77;210.44
54;30;397.57;1;15;6.87;12.2;77.7;39.73;64.3;1405.2;700.39;25.25;1041.77;189.71
55;30;228.49;1;15;6.53;12.2;77.7;38.41;64.3;1410.5;626.11;25.25;1041.77;174.71
56;30;107.64;1;15;7.13;12.2;77.7;40.94;64.3;1410.5;672.12;25.25;1041.77;173.41
57;30;208.65;1;15;6.63;12.2;77.7;38.88;64.3;1410.5;623.91;25.25;1041.77;234.85
58;30;104.77;1;15;7.00;12.2;77.7;40.41;64.3;1410.5;657.56;25.25;1041.77;199.23
59;30;113.10;1;15;7.07;12.2;77.7;40.64;64.3;1410.5;650.40;25.25;1041.77;160.72
60;30;137.13;1;15;7.33;12.2;77.7;41.82;64.3;1410.5;696.75;25.25;1041.77;181.33
61;30;283.95;1;15;7.53;12.2;77.7;42.82;64.3;1410.5;700.47;25.25;1041.77;196.87
62;30;266.60;1;15;7.43;12.2;77.7;42.45;64.3;1410.5;706.75;25.25;1041.77;210.26
