Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;The Ritz-Carlton, Montreal;4.9;1013.25;10;54.8;1101.8;1119.22;5;3;487.9;60.50;5;4;613.9;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biodôme De Montreal;Walking|Car|Walking|Walking|Walking|Walking
2;Hotel Gite du Survenant Montreal;4.7;193.75;10;54.2;1195.1;299.72;5;3;581.8;60.50;5;4;613.3;45.47;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Car|Walking|Walking|Walking|Walking;City Hall|Cathédrale Christ Church Cathedral|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Biosphere;Walking|Car|Walking|Walking|Walking|Walking
3;The Ritz-Carlton, Montreal;4.9;1013.25;10;56.4;1356.4;1078.83;5;4;684.7;7.22;5;4;671.7;58.37;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Mount Royal Park|Kondiaronk Belvedere;Walking|Car|Walking|Walking|Walking|Walking;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Musée de l'Holocauste Montréal|Aldred Building - Montreal|Place d'Armes;Walking|Car|Walking|Walking|Walking|Walking
4;Hotel William Gray;4.8;498.00;10;55.3;1424.1;573.58;5;4;715.9;7.22;5;5;708.2;68.37;L'original Art Gallery|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Saint Joseph's Oratory of Mount Royal|Place d'Armes;Walking|Car|Walking|Walking|Walking|Walking;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Musée de l'Holocauste Montréal|Musee D'Art Contemporain De Montreal|Aldred Building - Montreal;Walking|Car|Walking|Walking|Walking|Walking
5;Residence Inn Montreal Downtown;4.2;351.25;6;33.8;1055.6;441.47;3;1;558.0;42.40;3;2;497.7;47.82;Musee Redpath|McCord Stewart Museum|Cathédrale Christ Church Cathedral;Walking|Car|Walking|Car;Musée des beaux-arts de Montréal|Leonard Cohen Mural|Musee D'Art Contemporain De Montreal;Walking|Car|Walking|Car
6;Le Sieur De Joliette;3.6;227.25;6;33.5;863.2;297.15;3;2;282.9;42.78;3;2;580.4;27.12;Place d'Armes|Notre-Dame Basilica|Aldred Building - Montreal;Walking|Car|Walking|Car;Olympic Park (Parc olympique)|Chateau Dufresne (Dufresne House)|Montreal Street Art;Walking|Car|Walking|Car
7;Auberge L'Apero;4.0;25.25;8;44.3;1286.2;67.02;4;3;587.0;26.25;4;3;699.1;15.52;Mount Royal Park|Montreal Botanical Garden|Place d'Armes|L'original Art Gallery;Walking|Car|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Atwater Market|St. Patrick's Basilica|Kondiaronk Belvedere;Walking|Car|Walking|Walking|Walking
8;Le Petit Hotel Vieux-Montréal | Saint-Paul;4.7;426.75;8;44.2;1147.3;508.78;5;3;572.3;31.12;3;2;575.0;50.92;Arsenal Art Contemporain Montréal - Montreal|Musée Marguerite-Bourgeoys|La Guilde - Montreal|City Hall|Cathédrale Christ Church Cathedral;Walking|Car|Car|Walking|Walking|Walking;McCord Stewart Museum|Mem – Centre Des Mémoires Montréalaises|Crystal Dreams St Denis - Montreal;Walking|Car|Walking|Car
