Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;L'Appartement Hotel;4.1;220.25;12;61.0;1247.1;288.00;6;2;548.2;30.00;6;5;698.8;37.75;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Place d'Armes|Pont Jacques-Cartier - Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Musée Marguerite-Bourgeoys|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Biodôme De Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;12;62.9;1305.6;35.75;6;5;663.7;0.00;6;5;641.9;0.00;Belvedere Camillien-Houde - Montreal|Kondiaronk Belvedere|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|L'original Art Gallery|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Subway|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Palais des Congres|Crystal Dreams St Denis - Montreal|Place d'Armes|St. Patrick's Basilica|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;11;57.6;1179.6;35.75;5;4;591.5;0.00;6;3;588.1;0.00;Kondiaronk Belvedere|Place d'Armes|Atwater Market|L'original Art Gallery|Crystal Dreams St Denis - Montreal;Bus|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|Aldred Building - Montreal|City Hall|Leonard Cohen Mural|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Auberge L'Apero;4.0;25.25;11;55.6;1083.9;25.25;7;5;651.4;0.00;4;4;432.5;0.00;Place d'Armes|Pont Jacques-Cartier - Montreal|L'original Art Gallery|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|St. Patrick's Basilica|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Palais des Congres|Complexe Desjardins|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
5;Hotel Arena Palace Montreal;2.9;78.75;10;49.8;1069.4;158.75;5;3;556.4;56.00;5;4;513.0;24.00;Cathédrale Christ Church Cathedral|La Guilde - Montreal|Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|Musée du Montréal juif - Museum of Jewish Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Musee D'Art Contemporain De Montreal|City Hall;Walking|Walking|Walking|Walking|Walking|Walking
6;Samesun Montreal Central;4.4;60.00;9;48.5;858.9;60.00;5;3;446.7;0.00;4;3;412.3;0.00;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking;Pont Jacques-Cartier - Montreal|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|City Hall;Walking|Walking|Walking|Walking|Walking
7;Samesun Montreal Central;4.4;60.00;8;45.2;757.4;137.28;5;2;475.2;64.90;3;3;282.2;12.38;Allez Up - Montreal|L'original Art Gallery|Place d'Armes|Notre-Dame Basilica|Musée Marguerite-Bourgeoys;Walking|Car|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Aldred Building - Montreal|Crystal Dreams St Denis - Montreal;Car|Walking|Car|Walking
8;Auberge L'Apero;4.0;25.25;8;43.7;980.9;25.25;4;2;348.9;0.00;4;3;632.0;0.00;Place d'Armes|Cathédrale Christ Church Cathedral|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Complexe Desjardins|St. Patrick's Basilica|Kondiaronk Belvedere;Walking|Subway|Walking|Walking|Walking
9;Le Centre Sheraton Montreal Hotel;4.0;431.75;7;40.0;630.9;483.28;4;2;330.6;37.53;3;2;300.3;14.00;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Car|Walking;City Hall|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;7;40.4;707.2;35.75;4;3;377.0;0.00;3;3;330.1;0.00;Kondiaronk Belvedere|Place d'Armes|L'original Art Gallery|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking;City Hall|Leonard Cohen Mural|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking
11;Auberge L'Apero;4.0;25.25;7;39.1;882.8;25.25;4;2;369.8;0.00;3;2;513.0;0.00;Place d'Armes|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking;Saint Joseph's Oratory of Mount Royal|Complexe Desjardins|Kondiaronk Belvedere;Bus|Walking|Walking|Walking
12;Alternative Hostel of Old Montreal;4.5;35.75;6;36.5;554.6;51.75;5;3;421.4;16.00;1;1;133.2;0.00;Place d'Armes|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|L'original Art Gallery|Notre-Dame Basilica;Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal;Walking|Walking
13;Samesun Montreal Central;4.4;60.00;5;32.2;465.1;76.00;5;4;465.1;16.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|Notre-Dame Basilica|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Bibliotheque et Archives Nationales du Quebec;Walking|Walking|Walking|Walking|Walking|Walking;;
