Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;6;34.7;883.0;39.61
2;Le St-Martin Hotel Particulier Montreal;3;22.5;523.0;265.75
3;Hotel le Coach;13;66.6;1434.1;332.50
4;Hotel Universel Montreal;13;65.1;1348.5;436.40
5;Hotel Gault;11;58.2;1006.6;633.55
6;Le St-Martin Hotel Particulier Montreal;4;27.2;556.4;291.75
7;Hôtel De L'ithq;12;62.4;1095.1;462.56
8;Auberge St Jacques;4;25.6;575.7;163.25
9;Auberge L'Apero;10;50.7;1239.4;97.14
10;Auberge L'Apero;7;39.4;804.4;53.47
11;St Paul Hotel;13;65.9;1404.4;505.97
12;Auberge L'Apero;5;30.6;601.9;63.58
13;Delta Hotels by Marriott Montreal;9;47.1;937.0;404.05
14;Hygie Boutique Hotel;8;39.3;893.1;145.58
15;Hotel Gault;10;54.0;1030.1;593.87
16;Delta Hotels by Marriott Montreal;9;48.0;966.4;397.39
17;Auberge L'Apero;11;55.9;1088.6;167.67
18;Deluxe Suites Downtown Montreal;8;46.1;760.7;339.03
19;Hotel Gault;10;54.0;980.0;616.95
20;Auberge L'Apero;11;57.1;1236.3;125.42
21;Deluxe Suites Downtown Montreal;5;31.8;576.7;316.18
22;Hotel Casa Bella;12;59.4;1189.6;267.62
23;Hotel Gite du Survenant Montreal;5;32.1;720.3;241.29
24;Le St-Martin Hotel Particulier Montreal;7;40.5;675.1;350.81
25;Auberge L'Apero;7;39.5;943.9;76.58
26;Residence Inn Montreal Downtown;10;52.9;945.7;494.93
27;Hotel Gite du Survenant Montreal;8;45.1;1025.5;257.50
28;Delta Hotels by Marriott Montreal;12;60.1;1264.2;430.11
29;Hotel Casa Bella;8;41.5;920.7;198.57
30;Auberge St Jacques;12;60.2;1325.6;286.42
31;Hotel Faubourg Montreal;11;55.1;1064.3;393.41
32;Auberge St Jacques;7;39.2;776.7;199.05
33;Hotel Gault;11;58.2;1036.5;625.52
34;Delta Hotels by Marriott Montreal;11;56.0;1134.7;431.56
35;Auberge L'Apero;6;34.7;883.0;39.61
36;Deluxe Suites Downtown Montreal;6;36.7;743.6;284.03
37;Alt Hotel Montreal;5;31.9;669.7;305.25
38;Auberge L'Apero;5;30.6;601.9;63.58
39;Hotel Casa Bella;13;63.7;1421.8;279.25
40;Hotel Casa Bella;11;54.5;1075.5;226.27
