Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;11;0.62;1;8;3.36;7.8;44.9;20.65;79.9;1271.1;527.45;60.00;673.03;188.42
2;29;1.39;1;8;3.03;11.4;44.9;21.12;67.5;1234.2;457.01;25.25;673.03;132.31
3;60;3.55;1;10;2.67;11.4;53.0;19.52;64.6;1359.8;344.31;25.25;673.03;106.90
4;60;9.82;1;10;2.72;11.4;53.3;20.79;64.3;1359.8;302.51;25.25;498.00;96.62
5;60;74.19;1;11;4.17;11.4;58.2;27.24;64.3;1324.5;431.42;25.25;541.50;124.28
6;60;19.17;1;11;4.45;11.4;58.8;28.49;64.3;1347.5;445.20;25.25;541.50;129.93
7;60;16.74;1;12;4.28;11.4;62.3;27.67;64.3;1191.7;397.29;25.25;700.75;130.45
8;60;21.49;1;13;5.23;11.4;67.3;32.09;64.3;1289.7;483.12;25.25;700.75;95.83
9;60;39.99;1;13;5.87;11.4;67.3;34.95;64.3;1352.6;544.29;25.25;700.75;97.12
10;60;37.17;1;13;5.63;11.4;67.3;33.92;64.3;1291.3;516.03;25.25;700.75;111.06
11;60;99.03;1;13;5.87;11.4;67.8;35.12;64.3;1295.8;543.48;25.25;700.75;116.73
