Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge L'Apero;4.0;25.25;13;67.0;1291.3;41.25;7;4;691.6;0.00;6;4;599.6;16.00;Musee Romeo's - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|L'original Art Gallery|Leonard Cohen Mural|Kondiaronk Belvedere|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Aldred Building - Montreal|City Hall|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;67.8;1295.8;77.75;7;5;693.9;0.00;6;5;601.9;42.00;Kondiaronk Belvedere|Crystal Dreams St Denis - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|L'original Art Gallery|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Pont Jacques-Cartier - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame Basilica|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Auberge L'Apero;4.0;25.25;12;62.3;1191.7;25.25;6;4;596.7;0.00;6;4;595.0;0.00;Musee Romeo's - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Aldred Building - Montreal|L'original Art Gallery|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Bus|Bus
4;Sonder Maisonneuve;4.7;228.25;12;63.7;1193.2;228.25;6;4;596.7;0.00;6;4;596.5;0.00;Musee Romeo's - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Aldred Building - Montreal|L'original Art Gallery|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal;Bus|Walking|Walking|Walking|Walking|Walking|Walking
5;Empire Suites;2.2;190.50;12;58.7;1153.0;190.50;6;4;580.3;0.00;6;4;572.7;0.00;Musee Romeo's - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Aldred Building - Montreal|L'original Art Gallery|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Sonder Maisonneuve;4.7;228.25;12;63.8;1271.0;242.61;6;4;674.4;14.36;6;4;596.5;0.00;Kondiaronk Belvedere|La Guilde - Montreal|Phi Centre|Leonard Cohen Mural|Musee Romeo's - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Aldred Building - Montreal|L'original Art Gallery|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal;Bus|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;12;62.9;1279.4;49.75;6;4;601.2;0.00;6;5;678.2;14.00;La Guilde - Montreal|Maisonneuve Monument - Montreal|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Cathédrale Christ Church Cathedral|Aldred Building - Montreal|Musée Marguerite-Bourgeoys|Pont Jacques-Cartier - Montreal|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking
8;Alternative Hostel of Old Montreal;4.5;35.75;11;58.8;1019.5;51.75;6;5;539.2;0.00;5;4;480.2;16.00;Aldred Building - Montreal|Place d'Armes|Crystal Dreams St Denis - Montreal|Kondiaronk Belvedere|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Bus|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Leonard Cohen Mural|Arsenal Art Contemporain Montréal - Montreal|Notre-Dame Basilica;Walking|Walking|Walking|Walking|Walking|Walking
9;Auberge L'Apero;4.0;25.25;11;56.9;1123.6;25.25;6;4;545.3;0.00;5;4;578.2;0.00;Place d'Armes|Maisonneuve Monument - Montreal|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Arsenal Art Contemporain Montréal - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|St. Patrick's Basilica|Palais des Congres|L'original Art Gallery|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;11;59.2;1113.8;75.50;5;4;417.9;0.00;6;5;695.9;39.75;Maisonneuve Monument - Montreal|La Guilde - Montreal|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Subway|Bus|Walking;Palais des Congres|Cathédrale Christ Church Cathedral|Aldred Building - Montreal|Notre-Dame Basilica|St. Patrick's Basilica|Allez Up - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
