Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
14;Alternative Hostel of Old Montreal;4.5;35.75;10;54.2;841.5;93.73;5;2;455.6;44.36;5;4;385.9;13.62;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Musée Marguerite-Bourgeoys|Notre-Dame Basilica|Phi Centre;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Car|Car|Walking
15;Auberge L'Apero;4.0;25.25;10;53.0;865.9;25.25;5;3;371.1;0.00;5;4;494.8;0.00;Maisonneuve Monument - Montreal|City Hall|Place d'Armes|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Bibliotheque et Archives Nationales du Quebec|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking
16;Alternative Hostel of Old Montreal;4.5;35.75;10;53.4;899.1;50.11;5;3;437.8;0.00;5;3;461.3;14.36;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Place d'Armes|Crystal Dreams St Denis - Montreal|City Hall;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|L'original Art Gallery|Phi Centre;Walking|Walking|Walking|Walking|Walking|Walking
17;Auberge L'Apero;4.0;25.25;9;48.4;746.4;25.25;5;3;395.7;0.00;4;3;350.7;0.00;Maisonneuve Monument - Montreal|City Hall|L'original Art Gallery|Place d'Armes|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
18;Alternative Hostel of Old Montreal;4.5;35.75;9;50.7;756.4;127.58;4;3;370.5;78.22;5;4;385.9;13.62;Musee Romeo's - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame Basilica|Musée Marguerite-Bourgeoys;Car|Walking|Walking|Car|Car;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Car|Car|Walking
19;Alternative Hostel of Old Montreal;4.5;35.75;9;50.9;805.4;105.37;4;3;419.5;56.00;5;4;385.9;13.62;Musee Romeo's - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Car|Car|Walking
20;Alternative Hostel of Old Montreal;4.5;35.75;9;49.2;831.5;59.50;5;3;396.4;0.00;4;3;435.2;23.75;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Allez Up - Montreal|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
21;Alternative Hostel of Old Montreal;4.5;35.75;8;44.6;668.9;35.75;5;3;396.4;0.00;3;2;272.5;0.00;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking
22;Auberge L'Apero;4.0;25.25;8;43.5;638.4;25.25;5;3;395.7;0.00;3;2;242.6;0.00;Maisonneuve Monument - Montreal|City Hall|L'original Art Gallery|Place d'Armes|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
23;Alternative Hostel of Old Montreal;4.5;35.75;8;46.2;746.0;51.75;3;3;309.8;16.00;5;4;436.2;0.00;Aldred Building - Montreal|La Guilde - Montreal|Notre-Dame Basilica;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking
