Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;42.9;976.9;37.58
2;Hotel Omni Mont-Royal;4;26.1;676.4;304.90
3;Best Western Plus Hotel Montreal;13;66.4;1266.6;337.28
4;Courtyard Montreal Downtown;5;31.1;548.1;405.68
5;Hôtel Place d'Armes Old Montreal;13;67.7;1397.6;455.42
6;Renaissance Montreal Downtown Hotel;7;39.5;864.9;774.55
7;Sofitel Montreal Golden Mile;7;40.8;893.2;584.50
8;Hygie Boutique Hotel;12;57.3;1309.7;123.82
9;Renaissance Montreal Downtown Hotel;7;40.4;875.0;761.90
10;Auberge L'Apero;9;46.9;1151.3;55.73
11;Best Western Plus Hotel Montreal;8;44.0;977.2;309.65
12;Hotel Montreal Metropolitain, BW Premier Collection;6;31.8;822.5;205.40
13;Hotel Chrome Montreal;12;58.7;1369.7;277.43
14;Hôtel Place d'Armes Old Montreal;9;49.2;918.1;442.63
15;Hotel Chez Swann;6;35.2;637.1;438.40
16;Hotel Casa Bella;7;35.6;898.1;181.09
17;Hôtel Place d'Armes Old Montreal;10;54.3;1101.8;490.88
18;Delta Hotels by Marriott Montreal;5;30.5;559.3;360.48
19;Quality Hotel Dorval Aeroport;5;27.6;775.9;226.47
20;Empire Suites;13;62.6;1276.2;279.75
21;Auberge L'Apero;11;56.6;1251.0;63.22
22;Hôtel Place d'Armes Old Montreal;10;53.9;1120.0;427.25
23;Hotel Omni Mont-Royal;9;50.5;1036.3;290.75
24;Hotel Omni Mont-Royal;11;59.0;1220.3;300.72
25;Hotel Omni Mont-Royal;4;26.1;676.4;304.90
26;Empire Suites;11;54.8;1183.0;243.30
27;Courtyard Montreal Downtown;5;31.1;550.5;401.25
28;Griffintown Hotel;12;61.1;1221.5;342.63
29;Hôtel Place d'Armes Old Montreal;10;54.3;1103.9;490.30
30;Hotel Kutuma;9;49.8;966.7;394.62
31;Hotel Kutuma;13;67.4;1270.3;431.93
32;Auberge L'Apero;10;53.1;1144.8;85.98
33;Hotel Bon Accueil;5;27.7;698.1;243.74
34;Quality Inn Centre-Ville;5;29.9;688.0;243.78
35;Hygie Boutique Hotel;9;43.5;1017.4;98.92
36;Le Petit Hotel Vieux-Montréal | Saint-Paul;9;50.4;1013.4;468.73
37;Delta Hotels by Marriott Montreal;6;34.2;786.4;329.25
38;Hotel Chez Swann;7;39.4;808.5;423.78
39;Hotel Casa Bella;7;35.6;898.1;181.09
40;Hotel Chrome Montreal;12;58.1;1395.5;274.82
