Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;14;0.82;1;10;4.64;12.2;52.2;28.56;76.7;1300.9;668.40;25.25;603.13;287.51
2;60;2.90;1;13;2.43;12.2;65.9;19.01;66.9;1306.8;277.14;25.25;603.13;106.48
3;60;10.28;1;13;3.92;12.2;65.9;25.87;64.3;1306.8;450.42;25.25;589.47;132.62
4;60;24.59;1;13;4.38;7.8;65.9;27.95;64.3;1306.8;450.54;25.25;700.75;120.82
5;60;35.50;1;13;5.22;10.0;65.9;31.83;64.3;1306.8;515.83;25.25;700.75;118.69
6;60;38.28;1;13;5.45;12.2;65.9;32.86;64.3;1347.2;508.95;25.25;700.75;124.00
7;60;31.34;1;13;5.65;12.2;65.9;33.85;64.3;1347.2;518.94;25.25;700.75;127.53
8;60;41.76;1;13;6.18;12.2;67.1;36.21;64.3;1414.1;573.12;25.25;700.75;133.35
9;60;42.68;1;13;6.02;11.4;67.1;35.46;64.3;1414.1;548.11;25.25;700.75;146.69
10;60;35.63;1;13;6.13;9.8;67.1;35.97;64.3;1414.1;554.02;25.25;700.75;161.70
