Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;20;1.40;1;7;2.05;9.8;39.4;16.57;90.0;1207.5;299.49;25.25;469.75;150.83
2;60;2.95;1;7;1.73;12.2;39.4;15.81;69.4;1001.4;206.70;25.25;426.75;64.30
3;60;9.26;1;14;2.60;12.2;71.5;20.04;64.4;1379.0;290.16;25.25;700.75;67.60
4;60;43.92;1;14;4.52;12.2;71.5;28.78;64.4;1379.0;489.27;25.25;700.75;107.65
5;60;25.36;1;14;5.22;12.2;71.5;31.83;64.3;1381.7;523.30;25.25;700.75;122.24
6;60;202.55;1;14;5.50;7.8;71.5;32.98;64.3;1381.7;536.71;25.25;700.75;124.21
