Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Alternative Hostel of Old Montreal;6;35.2;742.0;35.75
2;Alternative Hostel of Old Montreal;5;30.7;649.3;91.37
3;Alternative Hostel of Old Montreal;15;75.9;1292.8;167.05
4;Alternative Hostel of Old Montreal;15;75.9;1381.6;168.02
5;Auberge Du Vieux Port;6;35.2;608.4;476.07
6;Hotel William Gray;15;76.5;1306.9;629.35
7;Hotel Monville;11;57.8;962.1;320.70
8;Hotel William Gray;14;71.9;1263.1;562.25
9;Courtyard Montreal Downtown;10;52.2;843.0;442.68
10;Alternative Hostel of Old Montreal;7;40.1;846.2;35.75
11;Alternative Hostel of Old Montreal;9;49.8;1072.5;55.13
12;Alternative Hostel of Old Montreal;5;31.0;666.6;53.02
13;Auberge Du Vieux Port;6;35.2;608.4;476.07
14;Alternative Hostel of Old Montreal;12;61.4;1028.2;124.78
15;Hotel Monville;13;66.5;1129.7;405.97
16;Alternative Hostel of Old Montreal;13;67.9;1255.2;98.27
17;Alternative Hostel of Old Montreal;14;71.3;1160.4;147.98
18;Alternative Hostel of Old Montreal;9;49.8;1091.9;35.75
19;Alternative Hostel of Old Montreal;8;45.0;1027.5;35.75
20;Alternative Hostel of Old Montreal;10;54.2;968.0;81.77
21;Alternative Hostel of Old Montreal;11;58.2;1001.7;56.12
22;Alternative Hostel of Old Montreal;7;40.3;771.9;59.05
23;Hotel William Gray;8;45.3;764.5;569.53
24;Alternative Hostel of Old Montreal;8;44.2;777.8;48.63
25;Alternative Hostel of Old Montreal;14;72.3;1324.4;139.78
26;Novotel Montreal Centre;6;33.5;627.7;333.90
27;Alternative Hostel of Old Montreal;12;61.4;1028.2;124.78
28;Alternative Hostel of Old Montreal;7;40.5;685.4;75.93
29;Alternative Hostel of Old Montreal;13;68.2;1337.4;105.00
30;Novotel Montreal Centre;11;56.4;925.1;372.87
31;Alternative Hostel of Old Montreal;12;63.5;1238.2;55.98
32;Alternative Hostel of Old Montreal;15;75.9;1295.0;163.12
33;Alternative Hostel of Old Montreal;14;71.3;1169.4;143.87
34;Hotel Monville;11;56.7;907.5;389.12
35;Alternative Hostel of Old Montreal;6;35.0;741.1;53.02
36;Hotel William Gray;14;71.9;1223.7;619.55
37;Hotel Monville;13;66.0;1062.8;410.62
38;Hotel William Gray;8;45.3;764.5;569.53
39;Hotel William Gray;11;58.3;944.2;585.18
40;Alternative Hostel of Old Montreal;7;40.8;962.8;35.75
41;Hotel Monville;13;66.0;1062.8;410.62
42;Courtyard Montreal Downtown;10;52.2;843.0;442.68
43;Alternative Hostel of Old Montreal;11;59.0;1172.6;69.58
44;Lelux Hotel;10;48.0;846.8;323.08
45;Alternative Hostel of Old Montreal;10;52.9;876.2;95.65
46;Hotel Monville;12;62.4;1090.0;335.28
47;Hotel Monville;9;48.7;796.3;348.25
48;Alternative Hostel of Old Montreal;11;58.4;1114.2;80.15
49;Alternative Hostel of Old Montreal;8;45.0;860.7;41.98
50;Hotel Monville;12;62.6;1104.3;320.70
51;Alternative Hostel of Old Montreal;13;67.2;1146.6;117.67
52;Alternative Hostel of Old Montreal;8;44.7;751.6;74.88
53;Alternative Hostel of Old Montreal;14;71.6;1346.0;114.67
54;Hotel William Gray;14;71.9;1238.0;579.15
55;Alternative Hostel of Old Montreal;11;58.3;982.6;64.63
56;Alternative Hostel of Old Montreal;13;66.6;1199.9;68.80
57;Alternative Hostel of Old Montreal;9;48.7;800.9;88.95
58;Alternative Hostel of Old Montreal;11;57.4;930.5;137.82
59;Alternative Hostel of Old Montreal;10;54.7;1190.6;49.75
60;Hotel Monville;9;48.7;796.3;348.25
61;Alternative Hostel of Old Montreal;10;53.4;889.8;87.68
62;Novotel Montreal Centre;6;34.3;640.4;329.92
63;Alternative Hostel of Old Montreal;11;57.9;1215.7;49.75
64;Alternative Hostel of Old Montreal;11;57.1;940.4;118.17
65;Alternative Hostel of Old Montreal;13;66.6;1270.5;63.75
66;Alternative Hostel of Old Montreal;9;49.1;824.3;107.00
67;Alternative Hostel of Old Montreal;9;49.1;824.3;107.00
68;Alternative Hostel of Old Montreal;13;67.6;1370.8;72.18
69;Alternative Hostel of Old Montreal;10;53.9;1178.8;49.75
70;Alternative Hostel of Old Montreal;14;71.4;1314.5;131.02
71;Alternative Hostel of Old Montreal;15;75.9;1292.8;167.05
72;Alternative Hostel of Old Montreal;12;62.1;1045.0;127.80
73;Alternative Hostel of Old Montreal;5;31.0;666.6;53.02
74;Alternative Hostel of Old Montreal;13;67.1;1296.0;62.63
75;Novotel Montreal Centre;6;34.3;640.4;329.92
76;Alternative Hostel of Old Montreal;10;52.9;855.4;96.92
77;Hotel Monville;12;61.5;959.9;378.92
78;Alternative Hostel of Old Montreal;11;58.9;1188.2;56.77
79;Hotel Monville;12;61.5;959.9;378.92
80;Alternative Hostel of Old Montreal;5;30.7;649.3;91.37
