Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;19;1.74;1;8;4.68;12.2;44.0;28.88;76.5;1279.9;675.74;25.25;391.94;228.13
2;53;8.72;1;9;3.49;12.2;48.3;23.64;68.7;1274.7;404.70;25.25;486.75;129.24
3;60;11.42;1;10;3.68;12.2;54.3;24.76;64.3;1319.3;396.25;25.25;498.00;98.69
4;60;20.75;1;10;4.38;12.2;54.3;28.06;64.3;1289.7;449.31;25.25;1013.25;113.68
5;60;46.86;1;12;5.32;12.2;61.0;32.20;64.3;1366.3;551.92;25.25;512.00;113.74
6;60;115.00;1;13;5.95;12.2;67.0;34.93;64.3;1366.3;582.87;25.25;1027.90;120.75
7;60;51.21;1;13;6.22;12.2;67.0;36.38;64.3;1429.6;606.94;25.25;1027.90;98.37
