Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;13;0.67;1;9;3.69;7.8;44.7;23.53;73.8;1212.5;504.88;25.25;370.93;187.65
2;32;1.88;1;9;3.38;7.8;44.7;22.52;68.5;1211.4;463.04;25.25;402.68;179.31
3;60;4.80;1;9;3.55;7.8;45.1;23.53;68.5;1226.8;475.60;25.25;429.86;158.07
4;60;9.29;1;9;3.82;12.2;45.1;25.06;66.9;1226.8;442.53;25.25;458.25;113.15
5;60;17.28;1;10;3.62;12.2;53.1;24.61;64.3;1130.2;373.05;25.25;1027.12;122.57
6;60;19.54;1;12;4.28;12.2;61.9;27.80;64.3;1261.6;428.43;25.25;1027.12;136.96
7;60;27.62;1;12;4.60;12.2;61.9;29.21;64.3;1261.6;445.81;25.25;1027.12;126.54
