Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;43.5;1177.3;25.25
2;Auberge L'Apero;3;21.4;569.3;57.74
3;Auberge L'Apero;13;64.2;1171.8;151.08
4;Sonder Maisonneuve;13;67.8;1420.4;284.25
5;Sonder Maisonneuve;13;68.5;1398.2;332.18
6;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;10;54.6;933.7;639.93
7;Auberge L'Apero;6;33.2;621.4;61.70
8;Auberge L'Apero;4;25.9;818.5;52.23
9;Auberge L'Apero;6;33.2;621.4;61.70
10;Hotel Nelligan;10;54.1;956.2;567.58
11;Hotel Nelligan;11;58.8;1083.8;569.42
12;Auberge L'Apero;4;25.9;818.5;52.23
13;Auberge du Plateau;12;61.7;1153.5;206.52
14;Auberge du Plateau;12;61.7;1153.5;206.52
15;Auberge L'Apero;7;37.7;736.8;76.92
16;Auberge L'Apero;9;46.6;967.5;102.36
17;Sonder Maisonneuve;13;67.8;1420.4;284.25
18;Sonder Maisonneuve;10;54.6;1068.3;296.55
19;Auberge L'Apero;9;46.8;849.8;120.68
20;Auberge L'Apero;7;37.4;711.5;56.15
21;Hotel William Gray;11;59.1;1102.2;589.37
22;Hotel le Coach;8;43.0;792.0;289.95
23;Hotel Saint-Laurent Montreal;9;47.3;831.4;390.38
24;Hotel Saint-Laurent Montreal;11;56.6;1056.5;425.98
25;St Paul Hotel;10;53.6;944.5;490.43
26;Auberge du Plateau;12;62.5;1156.2;161.80
27;Auberge du Plateau;9;49.1;857.1;126.08
28;Auberge L'Apero;11;56.3;1106.0;102.81
29;Auberge L'Apero;7;39.5;990.8;51.25
30;Comfort Suites Downtown;11;56.4;1031.2;338.47
31;Auberge L'Apero;7;39.2;913.9;45.03
32;Auberge L'Apero;8;44.5;1028.5;51.25
33;Sonder Maisonneuve;13;67.2;1415.7;298.51
34;Auberge L'Apero;7;37.4;659.3;98.47
35;Hotel le Coach;7;38.4;657.3;251.47
36;Auberge L'Apero;13;66.0;1367.2;141.43
37;Auberge L'Apero;12;61.0;1238.0;130.28
38;Vogue Hotel Montreal Downtown, Curio Collection by Hilton;10;54.6;960.0;633.93
39;Auberge du Plateau;12;62.8;1261.0;148.83
40;Hotel Saint-Laurent Montreal;8;43.1;799.9;396.95
41;Auberge L'Apero;8;41.9;759.0;97.55
42;Auberge L'Apero;12;61.4;1346.9;105.15
43;Auberge L'Apero;11;57.6;1315.0;66.37
44;Auberge L'Apero;12;59.6;1178.7;114.41
45;Le Petit Hotel Vieux-Montréal | Saint-Paul;8;43.6;813.9;523.62
46;St Paul Hotel;10;53.6;944.5;490.43
47;Hotel le Coach;7;38.4;657.3;251.47
48;Hotel Saint-Laurent Montreal;11;56.6;1056.5;425.98
49;Auberge du Plateau;7;38.0;650.1;142.92
50;Auberge L'Apero;10;52.7;1206.8;87.72
51;Auberge L'Apero;7;37.4;699.3;56.15
52;Le Petit Hotel Vieux-Montréal | Saint-Paul;8;43.6;813.9;523.62
53;Auberge L'Apero;13;67.1;1372.1;140.60
54;Auberge du Plateau;10;53.3;983.4;140.58
55;Auberge L'Apero;9;48.0;1257.9;40.47
56;Auberge L'Apero;9;48.1;1220.6;46.48
57;Auberge L'Apero;10;51.4;1039.4;106.12
58;Auberge L'Apero;12;60.3;1311.2;101.25
59;Auberge L'Apero;8;43.7;924.9;71.03
60;Auberge L'Apero;9;48.7;1120.6;76.98
