Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;18;1.31;1;9;3.06;7.6;49.9;21.34;85.6;1227.5;396.51;25.25;663.00;223.39
2;60;1.91;1;9;2.53;12.2;49.9;19.64;64.3;1268.1;310.39;25.25;401.25;114.94
3;60;6.50;1;12;3.15;12.0;61.7;22.33;64.3;1268.1;357.30;25.25;346.00;110.81
4;60;24.19;1;12;4.60;11.4;61.7;29.10;64.3;1243.5;493.46;25.25;493.58;106.90
5;60;25.34;1;12;4.42;11.4;61.7;28.36;64.3;1243.5;441.26;25.25;498.00;119.31
6;60;34.32;1;13;5.15;12.2;66.1;31.67;64.3;1303.0;501.79;25.25;541.50;122.49
7;60;33.85;1;13;5.32;12.2;66.4;32.67;64.3;1315.2;500.17;25.25;1027.90;141.84
8;60;34.56;1;13;5.95;12.2;67.0;35.44;64.3;1303.0;547.73;25.25;1027.90;120.69
9;60;59.68;1;13;6.17;10.0;67.1;36.48;64.3;1392.6;560.57;25.25;1027.12;129.15
10;60;144.51;1;13;6.22;12.2;67.9;36.82;64.3;1392.6;581.44;25.25;1027.12;150.38
11;60;53.74;1;13;6.22;12.2;67.9;36.87;64.3;1392.6;573.31;25.25;1027.12;138.65
12;60;38.60;1;13;6.57;12.2;67.9;38.38;64.3;1392.6;597.02;25.25;1027.12;116.17
