Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
15;Auberge L'Apero;4.0;25.25;10;52.0;896.7;55.25;5;3;422.8;16.00;5;4;473.9;14.00;Place d'Armes|Aldred Building - Montreal|L'original Art Gallery|Notre-Dame Basilica|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Notre-Dame-de-Bon-Secours Chapel|City Hall|Complexe Desjardins|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
16;Auberge L'Apero;4.0;25.25;10;52.5;995.5;25.25;5;4;530.8;0.00;5;4;464.7;0.00;Kondiaronk Belvedere|Arsenal Art Contemporain Montréal - Montreal|Cathédrale Christ Church Cathedral|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Palais des Congres|Crystal Dreams St Denis - Montreal|Place d'Armes|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
17;Alternative Hostel of Old Montreal;4.5;35.75;9;50.1;855.8;75.75;5;3;469.8;14.00;4;3;386.0;26.00;Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery|Maisonneuve Monument - Montreal|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Musée du Montréal juif - Museum of Jewish Montreal|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
18;Auberge L'Apero;4.0;25.25;9;47.9;762.8;55.25;5;3;422.8;16.00;4;3;340.0;14.00;Place d'Armes|Aldred Building - Montreal|L'original Art Gallery|Notre-Dame Basilica|Leonard Cohen Mural;Walking|Bus|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Notre-Dame-de-Bon-Secours Chapel|City Hall|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking
19;Alternative Hostel of Old Montreal;4.5;35.75;9;49.2;786.9;49.75;4;2;336.1;14.00;5;4;450.8;0.00;Aldred Building - Montreal|Musée Marguerite-Bourgeoys|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking;Place d'Armes|Kondiaronk Belvedere|Leonard Cohen Mural|City Hall|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
20;Alternative Hostel of Old Montreal;4.5;35.75;9;49.5;870.0;51.75;5;3;396.8;16.00;4;4;473.2;0.00;Maisonneuve Monument - Montreal|City Hall|Crystal Dreams St Denis - Montreal|Notre-Dame Basilica|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Musee Romeo's - Montreal|Place d'Armes|Leonard Cohen Mural|Complexe Desjardins;Walking|Walking|Walking|Walking|Walking
21;Alternative Hostel of Old Montreal;4.5;35.75;8;44.5;690.5;35.75;3;2;257.5;0.00;5;4;433.0;0.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|City Hall|Crystal Dreams St Denis - Montreal|Place d'Armes|Kondiaronk Belvedere;Walking|Bus|Walking|Walking|Walking|Walking
22;Auberge L'Apero;4.0;25.25;8;42.7;763.3;25.25;5;4;486.0;0.00;3;3;277.2;0.00;Pont Jacques-Cartier - Montreal|Place d'Armes|L'original Art Gallery|Maisonneuve Monument - Montreal|Complexe Desjardins;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|City Hall|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
23;Alternative Hostel of Old Montreal;4.5;35.75;8;45.4;738.5;73.02;4;2;330.2;30.00;4;3;408.3;7.27;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Aldred Building - Montreal|Musée Marguerite-Bourgeoys;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Car|Walking
24;Alternative Hostel of Old Montreal;4.5;35.75;8;45.4;750.4;65.75;3;2;255.6;16.00;5;3;494.7;14.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|Notre-Dame Basilica;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Musée Marguerite-Bourgeoys|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking
25;Auberge L'Apero;4.0;25.25;7;39.2;595.8;25.25;3;2;258.9;0.00;4;3;336.9;0.00;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|La Guilde - Montreal;Walking|Walking|Walking|Walking;Place d'Armes|City Hall|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
26;Alternative Hostel of Old Montreal;4.5;35.75;7;40.9;618.2;73.02;3;2;209.9;30.00;4;3;408.3;7.27;Maisonneuve Monument - Montreal|Notre-Dame Basilica|Musée Marguerite-Bourgeoys;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Car|Walking
27;Alternative Hostel of Old Montreal;4.5;35.75;7;40.6;611.0;35.75;3;3;275.4;0.00;4;3;335.6;0.00;Maisonneuve Monument - Montreal|Kondiaronk Belvedere|Leonard Cohen Mural;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
28;Alternative Hostel of Old Montreal;4.5;35.75;6;36.4;556.8;35.75;3;3;278.9;0.00;3;3;277.9;0.00;Kondiaronk Belvedere|La Guilde - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|City Hall|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
29;Auberge L'Apero;4.0;25.25;6;34.1;476.1;25.25;0;0;0.0;0.00;6;4;476.1;0.00;;;Cathédrale Christ Church Cathedral|City Hall|L'original Art Gallery|Maisonneuve Monument - Montreal|Place d'Armes|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking
30;Alternative Hostel of Old Montreal;4.5;35.75;6;36.5;591.2;51.75;3;2;255.6;16.00;3;3;335.6;0.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|Notre-Dame Basilica;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
31;Hôtel Le Germain Montréal;4.6;326.25;6;36.2;509.6;326.25;6;4;509.6;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|Aldred Building - Montreal|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Place d'Armes|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking;;
32;Alternative Hostel of Old Montreal;4.5;35.75;6;36.1;516.4;35.75;1;1;72.3;0.00;5;3;444.1;0.00;Maisonneuve Monument - Montreal;Walking|Walking;Cathédrale Christ Church Cathedral|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
33;Alternative Hostel of Old Montreal;4.5;35.75;5;32.0;468.8;51.75;1;1;133.2;0.00;4;2;335.6;16.00;Aldred Building - Montreal;Walking|Walking;Cathédrale Christ Church Cathedral|Notre-Dame Basilica|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
34;Auberge L'Apero;4.0;25.25;5;29.6;394.2;25.25;0;0;0.0;0.00;5;3;394.2;0.00;;;Cathédrale Christ Church Cathedral|City Hall|L'original Art Gallery|Maisonneuve Monument - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking
35;Alternative Hostel of Old Montreal;4.5;35.75;5;31.2;424.5;35.75;1;1;90.0;0.00;4;3;334.5;0.00;Place d'Armes;Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Leonard Cohen Mural|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
36;Alternative Hostel of Old Montreal;4.5;35.75;4;26.6;310.3;35.75;0;0;0.0;0.00;4;3;310.3;0.00;;;Place d'Armes|Cathédrale Christ Church Cathedral|L'original Art Gallery|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking
37;Auberge L'Apero;4.0;25.25;4;26.1;352.2;25.25;0;0;0.0;0.00;4;3;352.2;0.00;;;Cathédrale Christ Church Cathedral|City Hall|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Bus
38;Alternative Hostel of Old Montreal;4.5;35.75;4;27.3;335.6;35.75;0;0;0.0;0.00;4;3;335.6;0.00;;;Cathédrale Christ Church Cathedral|Place d'Armes|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking
39;Alternative Hostel of Old Montreal;4.5;35.75;3;22.4;246.4;35.75;0;0;0.0;0.00;3;2;246.4;0.00;;;Cathédrale Christ Church Cathedral|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking
40;Hotel Nelligan;4.7;486.75;3;22.8;242.1;486.75;0;0;0.0;0.00;3;2;242.1;0.00;;;Cathédrale Christ Church Cathedral|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking
41;Deluxe Suites Downtown Montreal;5.0;243.25;3;23.4;264.2;243.25;0;0;0.0;0.00;3;2;264.2;0.00;;;Cathédrale Christ Church Cathedral|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking
42;Auberge L'Apero;4.0;25.25;3;21.4;269.9;25.25;0;0;0.0;0.00;3;3;269.9;0.00;;;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking
43;Alternative Hostel of Old Montreal;4.5;35.75;3;22.4;246.4;35.75;0;0;0.0;0.00;3;3;246.4;0.00;;;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|L'original Art Gallery;Walking|Walking|Walking|Walking
44;Alternative Hostel of Old Montreal;4.5;35.75;2;18.2;200.8;65.75;2;1;200.8;30.00;0;0;0.0;0.00;Notre-Dame Basilica|Notre-Dame-de-Bon-Secours Chapel;Walking|Walking|Walking;;
45;Sonder Maisonneuve;4.7;228.25;2;18.7;185.5;228.25;2;2;185.5;0.00;0;0;0.0;0.00;Kondiaronk Belvedere|La Guilde - Montreal;Walking|Walking|Walking;;
46;Auberge L'Apero;4.0;25.25;2;16.4;149.0;40.80;1;1;71.0;11.00;1;1;78.0;4.55;Maisonneuve Monument - Montreal;Car|Car;Cathédrale Christ Church Cathedral;Car|Walking
47;Alternative Hostel of Old Montreal;4.5;35.75;2;17.4;156.2;35.75;2;2;156.2;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal|Place d'Armes;Walking|Walking|Walking;;
48;Alternative Hostel of Old Montreal;4.5;35.75;1;13.7;125.8;51.75;0;0;0.0;0.00;1;1;125.8;16.00;;;Notre-Dame Basilica;Walking|Walking
49;Auberge L'Apero;4.0;25.25;1;12.6;157.1;25.25;0;0;0.0;0.00;1;1;157.1;0.00;;;St. Patrick's Basilica;Walking|Walking
50;Renaissance Montreal Downtown Hotel;4.4;700.75;1;13.0;64.4;700.75;0;0;0.0;0.00;1;1;64.4;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
51;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;1;1;64.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
52;The Ritz-Carlton, Montreal;4.9;1013.25;1;14.3;88.5;1041.77;0;0;0.0;0.00;1;1;88.5;28.52;;;Kondiaronk Belvedere;Car|Car
53;The Ritz-Carlton, Montreal;4.9;1013.25;1;14.3;94.2;1027.12;1;1;94.2;13.87;0;0;0.0;0.00;Kondiaronk Belvedere;Car|Walking;;
54;Renaissance Montreal Downtown Hotel;4.4;700.75;1;13.0;64.4;700.75;0;0;0.0;0.00;1;1;64.4;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
55;Auberge L'Apero;4.0;25.25;1;12.2;69.4;34.65;0;0;0.0;0.00;1;1;69.4;9.40;;;Cathédrale Christ Church Cathedral;Car|Car
56;Hôtel Saint-Sulpice;4.6;510.50;1;13.9;120.9;526.50;0;0;0.0;0.00;1;1;120.9;16.00;;;Notre-Dame Basilica;Walking|Walking
57;Deluxe Suites Downtown Montreal;5.0;243.25;1;14.7;143.0;259.25;0;0;0.0;0.00;1;1;143.0;16.00;;;Notre-Dame Basilica;Walking|Walking
58;LHotel;4.5;346.00;1;13.2;64.6;346.00;1;1;64.6;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
59;Hotel Nelligan;4.7;486.75;1;13.6;68.7;486.75;0;0;0.0;0.00;1;1;68.7;0.00;;;Maisonneuve Monument - Montreal;Walking|Walking
60;Alternative Hostel of Old Montreal;4.5;35.75;1;13.2;72.3;35.75;1;1;72.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
