Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;16;0.71;1;8;5.25;12.4;45.3;30.62;66.9;1250.2;782.10;35.75;618.94;272.38
2;56;2.92;1;9;2.32;12.2;48.9;18.53;66.9;1249.2;266.16;25.25;510.50;101.16
3;59;10.96;1;10;3.29;12.2;53.7;23.19;64.3;1283.8;390.94;25.25;510.50;121.84
4;60;50.95;1;13;4.75;12.2;65.0;29.82;64.3;1252.5;496.80;25.25;498.00;102.58
