Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Hygie Boutique Hotel;1.8;70.75;8;38.8;1227.7;214.42;4;4;624.4;46.98;4;3;603.3;96.68;Bibliotheque et Archives Nationales du Quebec|Musee D'Art Contemporain De Montreal|Montréal Insectarium|L'original Art Gallery;Walking|Car|Walking|Subway|Car;Aquazilla - Parc Jean-drapeau - Montreal|Notre-Dame-de-Bon-Secours Chapel|Musée des beaux-arts de Montréal|Crystal Dreams St Denis - Montreal;Bus|Car|Car|Walking|Car
2;Warwick Le Crystal - Montréal;4.8;401.50;8;45.2;1336.9;535.58;3;2;706.2;87.41;5;5;630.6;46.67;Pointe-a-Calliere Montreal Archaeology and History Complex|Phi Centre|Planétarium De Montréal;Walking|Car|Walking|Car;Olympic Park (Parc olympique)|Bibliotheque et Archives Nationales du Quebec|Musée du Montréal juif - Museum of Jewish Montreal|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Subway|Car|Subway|Car|Walking|Bus
3;Hôtel Saint-Sulpice;4.6;510.50;8;44.6;1189.5;618.94;3;2;554.2;35.92;5;3;635.2;72.53;Leonard Cohen Mural|La Guilde - Montreal|Planétarium De Montréal;Car|Car|Walking|Subway;Olympic Park (Parc olympique)|Musée du Montréal juif - Museum of Jewish Montreal|L'original Art Gallery|Musée Marguerite-Bourgeoys|Phi Centre;Walking|Car|Walking|Walking|Walking|Car
4;Hotel le Coach;4.5;195.50;8;41.8;1250.2;388.09;5;4;647.2;121.68;3;3;603.0;70.92;Montréal Insectarium|Aquazilla - Parc Jean-drapeau - Montreal|Cathédrale Christ Church Cathedral|Musée du Montréal juif - Museum of Jewish Montreal|Phi Centre;Bus|Car|Bus|Bus|Car|Car;McCord Stewart Museum|Planétarium De Montréal|Musee D'Art Contemporain De Montreal;Subway|Car|Subway|Bus
