Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;43.7;971.9;46.17
2;Auberge L'Apero;7;39.7;791.8;53.77
3;Auberge L'Apero;7;38.9;693.2;62.50
4;Auberge du Plateau;13;67.2;1386.7;117.35
5;David Hotel;14;71.6;1324.4;516.57
6;Hotel William Gray;14;72.4;1378.2;592.43
7;Hotel William Gray;13;68.3;1131.3;608.52
8;Auberge L'Apero;9;47.8;868.9;61.57
9;David Hotel;9;48.9;732.3;502.60
10;Auberge L'Apero;12;61.2;1008.8;91.65
11;Best Western Plus Hotel Montreal;12;61.3;1049.4;337.13
12;David Hotel;11;57.9;977.5;483.55
13;Ambrose House & Café;11;56.7;997.5;348.50
14;David Hotel;8;44.5;768.1;444.02
15;Auberge L'Apero;7;39.7;791.8;53.77
16;Auberge L'Apero;10;52.3;833.5;121.48
17;Auberge L'Apero;13;65.9;1190.6;131.75
18;Alternative Hostel of Old Montreal;10;54.0;1188.1;68.75
19;Doubletree By Hilton Montreal;8;43.3;748.6;408.88
20;Auberge L'Apero;10;52.8;954.1;51.58
21;David Hotel;14;71.6;1324.4;516.57
22;Auberge du Plateau;13;67.2;1386.7;117.35
23;Auberge L'Apero;8;43.8;787.1;61.57
24;Hotel Casa Bella;13;63.4;1125.4;246.95
25;Doubletree By Hilton Montreal;7;39.9;696.8;378.77
26;Hotel Saint-Laurent Montreal;14;69.6;1242.5;430.38
27;Deluxe Suites Downtown Montreal;12;64.0;1105.2;327.97
28;Hôtel Saint-Sulpice;7;40.5;729.0;540.20
29;Fairfield by Marriott Montreal Downtown;10;52.8;951.5;302.93
30;Hotel William Gray;12;63.6;1100.1;566.88
31;Hotel Saint-Laurent Montreal;13;65.7;1161.9;400.55
32;Alternative Hostel of Old Montreal;13;67.3;1265.1;179.25
33;Auberge du Plateau;12;63.1;1078.4;201.67
34;Alternative Hostel of Old Montreal;11;58.7;1221.5;77.33
35;Hôtel Saint-Sulpice;7;40.5;729.0;540.20
36;Auberge du Plateau;13;67.7;1248.9;222.17
37;Auberge L'Apero;12;61.7;1166.5;115.27
38;Auberge Du Vieux Port;10;53.9;918.0;514.50
39;Hotel Casa Bella;14;68.1;1213.7;242.17
40;Hotel Arena Palace Montreal;11;54.6;978.2;194.95
41;Alternative Hostel of Old Montreal;12;63.0;1227.8;98.73
42;Hotel De Paris;11;55.8;953.0;337.48
43;Fairfield by Marriott Montreal Downtown;11;57.6;935.5;361.57
44;Auberge L'Apero;10;52.5;852.6;83.25
45;Quality Inn Centre-Ville;14;70.4;1295.5;305.52
46;Quality Inn Centre-Ville;14;70.4;1295.5;305.52
47;Doubletree By Hilton Montreal;10;53.8;928.4;436.85
48;Auberge L'Apero;13;66.7;1219.6;105.30
49;Auberge du Plateau;14;71.4;1348.7;190.42
50;Auberge du Plateau;13;66.8;1367.4;140.03
51;Le Petit Hotel Vieux-Montréal | Saint-Paul;11;58.6;939.1;513.80
52;Alternative Hostel of Old Montreal;10;53.2;992.7;86.08
53;Hotel William Gray;12;64.0;1100.7;585.57
54;Samesun Montreal Central;11;58.0;1006.8;167.95
55;Auberge du Plateau;14;71.0;1308.6;215.65
56;Hygie Boutique Hotel;13;61.6;1162.2;141.62
57;Alternative Hostel of Old Montreal;8;44.4;756.6;89.72
58;Alternative Hostel of Old Montreal;12;63.3;1141.0;133.88
59;Auberge du Plateau;14;71.8;1352.0;164.15
60;Auberge du Plateau;14;71.8;1352.0;164.15
