Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;7;39.4;820.5;25.25
2;Alternative Hostel of Old Montreal;16;80.2;1411.2;110.70
3;Alternative Hostel of Old Montreal;16;80.7;1392.2;153.90
4;InterContinental Montreal, an IHG hotel;7;39.7;578.3;382.37
5;Le Petit Hotel Vieux-Montréal | Saint-Paul;12;62.9;937.2;515.88
6;Deluxe Suites Downtown Montreal;8;45.7;679.1;275.28
7;Alternative Hostel of Old Montreal;15;76.6;1305.2;165.25
8;Deluxe Suites Downtown Montreal;15;77.6;1357.4;358.50
9;Deluxe Suites Downtown Montreal;7;42.1;626.5;289.88
10;Deluxe Suites Downtown Montreal;10;55.1;854.7;309.53
11;Auberge L'Apero;9;47.4;705.3;123.78
12;Alternative Hostel of Old Montreal;14;72.0;1195.4;82.10
13;Deluxe Suites Downtown Montreal;13;68.3;1084.2;311.92
14;Auberge L'Apero;9;47.7;868.8;32.12
15;Deluxe Suites Downtown Montreal;15;77.4;1344.2;314.00
16;Deluxe Suites Downtown Montreal;13;68.5;1092.4;301.17
17;Auberge L'Apero;14;70.5;1189.8;104.52
18;Alternative Hostel of Old Montreal;12;62.6;1037.0;79.75
19;Auberge L'Apero;10;53.1;909.9;47.98
20;Auberge L'Apero;11;56.8;1047.6;44.67
21;Deluxe Suites Downtown Montreal;11;59.4;921.9;287.17
22;Hôtel De L'ithq;10;53.6;791.0;418.93
23;Alternative Hostel of Old Montreal;8;45.1;697.4;51.75
24;Alternative Hostel of Old Montreal;7;41.1;624.1;51.75
25;Hotel Monville;15;75.6;1244.3;398.22
26;Le Petit Hotel Vieux-Montréal | Saint-Paul;9;49.6;740.1;463.72
27;InterContinental Montreal, an IHG hotel;7;39.7;578.3;382.37
28;Deluxe Suites Downtown Montreal;12;64.7;1028.0;338.12
29;Le Petit Hotel Vieux-Montréal | Saint-Paul;10;53.5;784.8;492.35
30;Le Petit Hotel Vieux-Montréal | Saint-Paul;9;49.6;740.1;463.72
31;Auberge L'Apero;8;43.6;739.3;30.67
32;Deluxe Suites Downtown Montreal;8;45.7;653.8;282.83
33;Auberge L'Apero;15;75.1;1247.9;140.32
34;Deluxe Suites Downtown Montreal;13;69.0;1142.6;326.00
35;Deluxe Suites Downtown Montreal;11;59.4;921.9;287.17
36;Deluxe Suites Downtown Montreal;15;77.6;1326.9;417.97
37;Auberge L'Apero;7;40.1;667.2;47.98
38;Auberge L'Apero;12;61.3;1062.2;61.98
39;Griffintown Hotel;10;52.1;804.8;342.40
40;Auberge L'Apero;13;66.1;1136.8;61.98
41;Auberge L'Apero;11;56.8;1047.6;44.67
42;Deluxe Suites Downtown Montreal;14;73.5;1234.7;350.15
43;Auberge L'Apero;8;44.4;750.2;30.67
44;Le Petit Hotel Vieux-Montréal | Saint-Paul;12;62.8;956.2;503.47
45;Auberge L'Apero;14;70.2;1223.8;81.37
46;Auberge L'Apero;9;48.5;896.1;32.12
47;Deluxe Suites Downtown Montreal;8;45.7;653.2;290.38
48;Auberge L'Apero;12;61.9;1226.9;25.25
49;Deluxe Suites Downtown Montreal;8;45.7;679.1;275.28
50;Deluxe Suites Downtown Montreal;9;50.9;797.2;336.62
51;Alternative Hostel of Old Montreal;14;72.6;1269.2;107.97
52;Alternative Hostel of Old Montreal;9;49.2;726.2;65.75
53;Auberge L'Apero;8;43.6;846.1;25.25
54;Deluxe Suites Downtown Montreal;14;72.3;1217.7;334.57
55;Deluxe Suites Downtown Montreal;14;73.1;1171.9;362.23
56;Quality Inn Centre-Ville;14;70.9;1126.5;328.48
57;Deluxe Suites Downtown Montreal;11;58.5;892.5;355.67
58;Auberge L'Apero;11;57.1;930.2;75.98
59;Alternative Hostel of Old Montreal;13;66.5;1106.8;79.08
60;Auberge L'Apero;12;61.4;1120.2;39.25
61;Deluxe Suites Downtown Montreal;7;42.1;626.5;289.88
62;Deluxe Suites Downtown Montreal;10;54.3;813.6;342.83
63;Deluxe Suites Downtown Montreal;12;64.1;1031.9;322.85
64;Le Petit Hotel Vieux-Montréal | Saint-Paul;10;53.5;784.8;492.35
65;Alternative Hostel of Old Montreal;12;63.3;1005.3;131.82
66;Alternative Hostel of Old Montreal;12;63.0;1047.9;91.75
67;Auberge L'Apero;11;57.4;945.4;60.67
68;Alternative Hostel of Old Montreal;15;76.2;1291.3;156.22
69;Deluxe Suites Downtown Montreal;11;59.4;908.1;333.07
70;Alternative Hostel of Old Montreal;12;63.1;1073.0;86.53
71;Alternative Hostel of Old Montreal;13;67.2;1098.7;85.78
72;Alternative Hostel of Old Montreal;14;71.5;1182.2;109.25
73;Alternative Hostel of Old Montreal;13;67.0;1066.0;120.08
74;Deluxe Suites Downtown Montreal;12;63.8;1021.9;285.98
75;Deluxe Suites Downtown Montreal;9;50.2;746.4;294.42
76;Alternative Hostel of Old Montreal;15;76.7;1343.9;135.92
77;Alternative Hostel of Old Montreal;10;54.0;859.6;65.75
78;Deluxe Suites Downtown Montreal;15;77.1;1247.0;364.90
79;Le Petit Hotel Vieux-Montréal | Saint-Paul;12;62.8;956.2;503.47
80;Deluxe Suites Downtown Montreal;11;58.8;880.2;363.38
81;Alternative Hostel of Old Montreal;13;67.8;1110.2;107.97
82;Auberge L'Apero;10;53.1;1017.6;32.17
83;Deluxe Suites Downtown Montreal;14;72.9;1209.1;360.65
84;Alternative Hostel of Old Montreal;14;71.6;1194.3;101.65
85;Deluxe Suites Downtown Montreal;14;73.5;1234.7;350.15
86;Alternative Hostel of Old Montreal;8;45.6;700.7;65.75
87;Deluxe Suites Downtown Montreal;9;50.6;767.6;305.20
88;Auberge L'Apero;12;62.3;1124.2;44.83
89;Alternative Hostel of Old Montreal;14;72.8;1292.9;79.75
90;Alternative Hostel of Old Montreal;12;61.9;973.0;116.77
91;Alternative Hostel of Old Montreal;9;49.4;776.0;63.75
92;Alternative Hostel of Old Montreal;8;45.1;697.4;51.75
93;Auberge L'Apero;12;61.6;1206.8;44.67
94;Alternative Hostel of Old Montreal;13;67.5;1044.8;129.35
95;Deluxe Suites Downtown Montreal;15;77.5;1303.1;376.18
96;Alternative Hostel of Old Montreal;14;70.8;1167.1;135.12
97;Deluxe Suites Downtown Montreal;12;63.5;982.1;345.90
98;Alternative Hostel of Old Montreal;8;44.6;697.8;35.75
99;Alternative Hostel of Old Montreal;15;76.1;1345.7;130.08
100;Alternative Hostel of Old Montreal;11;57.8;978.6;54.87
101;Auberge L'Apero;9;47.4;715.9;120.93
102;Deluxe Suites Downtown Montreal;12;63.7;971.8;347.07
103;Deluxe Suites Downtown Montreal;12;62.8;966.9;371.73
104;Deluxe Suites Downtown Montreal;13;68.1;1056.2;369.70
105;Alternative Hostel of Old Montreal;9;49.4;839.1;35.75
106;Alternative Hostel of Old Montreal;13;68.0;1188.2;51.75
107;Auberge L'Apero;10;52.5;963.8;25.25
108;Alternative Hostel of Old Montreal;14;72.1;1161.9;140.48
109;Auberge L'Apero;9;48.3;789.5;46.67
110;Alternative Hostel of Old Montreal;8;44.9;714.6;49.75
111;Deluxe Suites Downtown Montreal;9;50.3;798.0;281.02
112;Alternative Hostel of Old Montreal;11;58.9;928.9;98.12
113;Deluxe Suites Downtown Montreal;10;54.2;822.8;318.32
114;Deluxe Suites Downtown Montreal;9;50.3;761.8;291.20
115;Alternative Hostel of Old Montreal;10;54.4;877.6;67.02
116;Deluxe Suites Downtown Montreal;10;54.4;831.2;324.27
117;Auberge L'Apero;10;52.8;876.5;60.67
118;Deluxe Suites Downtown Montreal;15;77.1;1316.5;352.13
119;Alternative Hostel of Old Montreal;11;57.7;871.3;97.30
120;Auberge L'Apero;9;49.1;821.3;47.98
121;Alternative Hostel of Old Montreal;11;58.3;1081.6;42.65
122;Le Petit Hotel Vieux-Montréal | Saint-Paul;11;59.0;870.3;511.72
123;Alternative Hostel of Old Montreal;15;76.0;1257.0;140.28
124;Alternative Hostel of Old Montreal;13;66.2;1054.1;100.90
125;Deluxe Suites Downtown Montreal;9;50.9;797.2;336.62
126;Alternative Hostel of Old Montreal;9;49.3;759.0;51.75
127;Alternative Hostel of Old Montreal;14;72.5;1260.8;65.75
128;Alternative Hostel of Old Montreal;9;50.5;829.0;57.78
129;Alternative Hostel of Old Montreal;15;75.9;1322.2;135.52
130;Deluxe Suites Downtown Montreal;13;68.8;1108.5;332.02
131;Alternative Hostel of Old Montreal;10;55.0;910.9;72.90
132;Alternative Hostel of Old Montreal;11;58.1;919.2;79.75
133;Alternative Hostel of Old Montreal;15;76.6;1305.2;165.25
134;Deluxe Suites Downtown Montreal;12;64.0;993.2;295.02
135;Deluxe Suites Downtown Montreal;13;68.7;1104.2;357.27
136;Deluxe Suites Downtown Montreal;15;77.5;1303.1;376.18
137;Deluxe Suites Downtown Montreal;12;63.5;990.2;341.25
138;Deluxe Suites Downtown Montreal;14;73.0;1236.7;319.63
139;Deluxe Suites Downtown Montreal;10;54.8;854.9;305.20
140;Alternative Hostel of Old Montreal;12;62.6;940.0;149.58
141;Deluxe Suites Downtown Montreal;12;64.0;1007.7;287.98
142;Deluxe Suites Downtown Montreal;13;68.5;1134.3;293.48
143;Deluxe Suites Downtown Montreal;15;77.5;1314.8;363.72
144;Alternative Hostel of Old Montreal;11;57.8;1059.5;35.75
145;Alternative Hostel of Old Montreal;11;58.5;1012.7;49.75
146;Alternative Hostel of Old Montreal;13;67.6;1041.9;156.22
147;Auberge L'Apero;9;47.4;705.3;123.78
148;Auberge L'Apero;12;61.4;1078.8;46.52
149;Deluxe Suites Downtown Montreal;10;54.6;850.2;296.85
150;Alternative Hostel of Old Montreal;11;58.0;912.2;140.88
151;Alternative Hostel of Old Montreal;9;49.8;779.9;71.65
152;Deluxe Suites Downtown Montreal;9;50.3;768.1;283.35
153;Alternative Hostel of Old Montreal;15;76.0;1253.3;141.40
154;Alternative Hostel of Old Montreal;9;49.8;779.9;71.65
155;Deluxe Suites Downtown Montreal;8;45.7;669.6;282.28
156;Auberge L'Apero;13;66.2;1259.8;45.98
157;Alternative Hostel of Old Montreal;12;63.2;972.8;126.42
158;Alternative Hostel of Old Montreal;15;76.3;1318.6;161.17
159;Alternative Hostel of Old Montreal;13;67.7;1151.5;65.75
160;Alternative Hostel of Old Montreal;15;76.2;1291.3;156.22
161;Alternative Hostel of Old Montreal;11;57.9;986.9;49.75
162;Auberge L'Apero;11;57.3;1095.0;25.25
163;Alternative Hostel of Old Montreal;15;76.3;1335.9;141.33
164;Alternative Hostel of Old Montreal;12;63.2;1063.2;95.02
165;Alternative Hostel of Old Montreal;11;58.4;973.1;71.78
166;Auberge L'Apero;10;52.4;929.8;46.67
167;Deluxe Suites Downtown Montreal;11;59.1;910.3;310.85
168;Deluxe Suites Downtown Montreal;10;54.6;850.2;296.85
169;Alternative Hostel of Old Montreal;14;72.5;1252.4;105.75
170;Alternative Hostel of Old Montreal;13;67.6;1069.1;108.78
171;Deluxe Suites Downtown Montreal;13;68.7;1126.5;307.18
172;Alternative Hostel of Old Montreal;13;68.1;1240.5;79.75
173;Alternative Hostel of Old Montreal;13;67.7;1151.5;65.75
174;Auberge L'Apero;9;48.3;802.8;47.98
175;Alternative Hostel of Old Montreal;13;67.0;1128.2;81.97
176;Alternative Hostel of Old Montreal;15;77.1;1339.9;145.30
177;Alternative Hostel of Old Montreal;12;62.5;990.0;101.35
178;Alternative Hostel of Old Montreal;10;54.7;941.4;56.67
179;Alternative Hostel of Old Montreal;15;76.3;1318.6;161.17
180;Alternative Hostel of Old Montreal;15;77.1;1339.9;145.30
181;Alternative Hostel of Old Montreal;15;75.9;1330.6;135.38
182;Alternative Hostel of Old Montreal;13;67.1;1092.8;96.38
183;Alternative Hostel of Old Montreal;15;76.1;1335.1;149.17
184;Alternative Hostel of Old Montreal;14;71.5;1182.2;109.25
185;Alternative Hostel of Old Montreal;8;45.2;767.8;35.75
186;Alternative Hostel of Old Montreal;14;72.6;1269.2;107.97
187;Alternative Hostel of Old Montreal;11;58.7;997.1;51.75
188;Alternative Hostel of Old Montreal;12;63.2;1091.9;65.75
189;Alternative Hostel of Old Montreal;10;53.3;920.1;51.65
190;Alternative Hostel of Old Montreal;8;45.0;767.8;41.78
191;Alternative Hostel of Old Montreal;14;72.2;1237.4;105.75
192;Auberge L'Apero;14;70.5;1167.5;121.08
193;Le Petit Hotel Vieux-Montréal | Saint-Paul;11;59.0;870.3;511.72
194;Auberge L'Apero;9;47.7;870.2;31.98
195;Alternative Hostel of Old Montreal;9;49.7;827.7;51.75
196;Alternative Hostel of Old Montreal;14;72.1;1169.8;121.97
197;Auberge L'Apero;14;70.2;1223.8;81.37
198;Auberge L'Apero;12;61.7;996.8;82.85
