Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;7;40.1;772.1;25.25
2;Auberge L'Apero;12;61.4;1414.3;60.38
3;Hotel Zero 1;6;34.2;706.3;317.52
4;Auberge Du Vieux Port;7;40.9;675.3;465.75
5;Auberge Du Vieux Port;14;71.7;1275.7;522.63
6;Auberge Du Vieux Port;14;71.8;1366.2;552.52
7;Deluxe Suites Downtown Montreal;10;54.3;954.7;273.15
8;Deluxe Suites Downtown Montreal;12;64.3;1120.9;363.05
9;Auberge L'Apero;14;70.6;1323.4;143.80
10;Auberge L'Apero;8;44.2;918.6;30.67
11;Deluxe Suites Downtown Montreal;9;50.6;798.4;276.98
12;Courtyard Montreal Downtown;13;66.9;1214.6;426.13
13;Auberge Du Vieux Port;7;40.9;675.3;465.75
14;Courtyard Montreal Downtown;13;66.9;1214.6;426.13
15;Auberge L'Apero;14;69.8;1403.0;115.42
16;Auberge L'Apero;7;40.1;724.8;32.17
17;Deluxe Suites Downtown Montreal;11;59.4;1028.9;298.35
18;Deluxe Suites Downtown Montreal;10;54.7;944.2;275.58
19;Auberge L'Apero;6;34.4;708.4;44.82
20;Auberge L'Apero;9;49.1;970.1;53.82
21;Auberge Du Vieux Port;8;45.8;754.6;465.75
22;Auberge L'Apero;11;57.1;1053.4;65.48
23;Hotel Zero 1;6;34.2;706.3;317.52
24;Sonder Maisonneuve;13;67.9;1290.4;296.43
25;Auberge L'Apero;12;61.2;1347.4;53.42
26;Auberge Du Vieux Port;8;45.4;737.0;467.67
27;Auberge Du Vieux Port;10;54.1;877.5;493.33
28;Auberge L'Apero;10;52.7;990.9;41.17
29;Deluxe Suites Downtown Montreal;12;63.3;1145.1;285.80
30;Deluxe Suites Downtown Montreal;12;64.0;1171.6;327.88
31;Auberge L'Apero;13;65.0;1208.9;142.17
32;Auberge L'Apero;9;48.2;834.0;44.67
33;Deluxe Suites Downtown Montreal;11;60.1;1011.3;331.98
34;Auberge Du Vieux Port;11;58.7;980.0;530.02
35;Deluxe Suites Downtown Montreal;10;55.0;879.9;311.03
36;Auberge L'Apero;11;57.7;1061.6;101.47
37;Auberge Du Vieux Port;8;45.8;754.6;465.75
38;Auberge L'Apero;9;48.2;850.1;51.57
39;Auberge L'Apero;12;62.3;1162.4;110.32
40;Hotel Zero 1;13;66.3;1238.7;351.63
41;Deluxe Suites Downtown Montreal;10;55.7;928.8;341.03
42;Auberge L'Apero;12;61.5;1083.9;105.18
43;Auberge L'Apero;11;57.4;961.8;85.07
44;Auberge L'Apero;10;53.4;910.0;80.37
45;Auberge L'Apero;10;53.6;1010.7;70.38
46;Auberge L'Apero;14;70.6;1323.4;143.80
47;Auberge L'Apero;13;66.5;1262.8;80.47
48;Auberge L'Apero;13;66.6;1283.0;137.58
49;Auberge L'Apero;12;61.2;1347.4;53.42
50;Auberge Du Vieux Port;14;71.8;1381.5;525.95
51;Auberge du Plateau;11;58.0;1055.9;123.17
52;Deluxe Suites Downtown Montreal;11;58.8;1044.3;278.12
53;Hotel Zero 1;13;65.9;1237.5;359.35
54;Auberge L'Apero;11;58.2;1126.7;49.08
55;Deluxe Suites Downtown Montreal;12;64.4;1159.9;340.65
56;Auberge Du Vieux Port;13;67.2;1229.0;507.67
57;Auberge Du Vieux Port;14;71.8;1366.2;552.52
58;Deluxe Suites Downtown Montreal;11;59.5;1049.1;305.47
59;Auberge Du Vieux Port;13;67.2;1229.0;507.67
60;Auberge L'Apero;14;69.8;1403.0;115.42
