Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
20;Alternative Hostel of Old Montreal;4.5;35.75;8;45.2;766.8;35.75;3;3;233.1;0.00;5;5;533.7;0.00;Maisonneuve Monument - Montreal|Place d'Armes|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking;St. Patrick's Basilica|Aldred Building - Montreal|L'original Art Gallery|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking
21;Alternative Hostel of Old Montreal;4.5;35.75;7;38.3;646.2;35.75;7;4;646.2;0.00;0;0;0.0;0.00;Palais des Congres|Cathédrale Christ Church Cathedral|Place d'Armes|Pont Jacques-Cartier - Montreal|City Hall|Maisonneuve Monument - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;;
22;Auberge L'Apero;4.0;25.25;7;39.5;735.9;29.98;3;3;391.5;4.73;4;3;344.4;0.00;Aldred Building - Montreal|Crystal Dreams St Denis - Montreal|St. Patrick's Basilica;Walking|Walking|Walking|Car;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking
23;Samesun Montreal Central;4.4;60.00;7;40.7;717.9;60.00;3;3;351.5;0.00;4;3;366.4;0.00;Aldred Building - Montreal|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking
24;Alternative Hostel of Old Montreal;4.5;35.75;7;39.8;606.8;63.75;4;2;331.7;28.00;3;3;275.1;0.00;Aldred Building - Montreal|Notre-Dame-de-Bon-Secours Chapel|Musée Marguerite-Bourgeoys|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking;Place d'Armes|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking
25;Alternative Hostel of Old Montreal;4.5;35.75;6;36.6;592.6;57.08;3;2;328.8;0.00;3;2;263.8;21.33;Aldred Building - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking;St. Patrick's Basilica|Notre-Dame Basilica|L'original Art Gallery;Car|Walking|Walking|Walking
26;Auberge L'Apero;4.0;25.25;6;34.6;551.8;25.25;3;3;309.6;0.00;3;2;242.2;0.00;Place d'Armes|Aldred Building - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Subway|Subway;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
27;Alternative Hostel of Old Montreal;4.5;35.75;6;35.0;544.6;35.75;4;3;338.1;0.00;2;2;206.5;0.00;Palais des Congres|Maisonneuve Monument - Montreal|City Hall|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere;Walking|Walking|Walking
28;Auberge L'Apero;4.0;25.25;5;29.8;427.9;25.25;2;2;185.7;0.00;3;3;242.2;0.00;Place d'Armes|La Guilde - Montreal;Walking|Walking|Walking;Maisonneuve Monument - Montreal|City Hall|Leonard Cohen Mural;Walking|Walking|Subway|Walking
29;Alternative Hostel of Old Montreal;4.5;35.75;5;31.8;521.4;35.75;3;3;275.1;0.00;2;2;246.4;0.00;Place d'Armes|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking;Aldred Building - Montreal|L'original Art Gallery;Walking|Walking|Walking
