Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge L'Apero;4.0;25.25;13;66.9;1414.7;67.25;7;4;719.7;0.00;6;5;695.1;42.00;City Hall|Crystal Dreams St Denis - Montreal|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Aldred Building - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Kondiaronk Belvedere|Notre-Dame Basilica|Mount Royal Park;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Best Western Plus Hotel Montreal;4.1;249.75;13;67.1;1405.7;291.75;7;4;719.7;0.00;6;5;686.0;42.00;City Hall|Crystal Dreams St Denis - Montreal|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Aldred Building - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Musée du Montréal juif - Museum of Jewish Montreal|Notre-Dame Basilica|Kondiaronk Belvedere|Mount Royal Park;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Hotel Chrome Montreal;2.9;184.75;13;63.6;1264.1;200.75;7;5;706.1;16.00;6;5;558.1;0.00;Notre-Dame Basilica|Aldred Building - Montreal|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Kondiaronk Belvedere|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Complexe Desjardins|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;12;61.9;1129.6;65.75;6;2;557.1;16.00;6;5;572.5;14.00;Notre-Dame Basilica|City Hall|L'original Art Gallery|Place d'Armes|Pont Jacques-Cartier - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Palais des Congres|Musée Marguerite-Bourgeoys|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|St. Patrick's Basilica;Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Sonder Maisonneuve;4.7;228.25;11;58.6;1043.0;253.02;5;3;485.0;16.00;6;5;558.1;8.77;Notre-Dame Basilica|Kondiaronk Belvedere|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Complexe Desjardins|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Place d'Armes;Walking|Car|Walking|Walking|Walking|Walking|Walking
6;Samesun Montreal Central;4.4;60.00;11;58.0;1058.0;76.00;5;2;443.0;16.00;6;6;614.9;0.00;Pont Jacques-Cartier - Montreal|City Hall|Notre-Dame Basilica|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Arsenal Art Contemporain Montréal - Montreal|Kondiaronk Belvedere|Crystal Dreams St Denis - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Samesun Montreal Central;4.4;60.00;10;54.1;991.7;76.00;6;4;673.9;16.00;4;4;317.9;0.00;Palais des Congres|Notre-Dame Basilica|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural|Montreal Street Art;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Place d'Armes|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking
8;Samesun Montreal Central;4.4;60.00;10;53.6;860.8;90.00;5;3;452.2;16.00;5;4;408.6;14.00;Palais des Congres|Notre-Dame Basilica|L'original Art Gallery|La Guilde - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal|Musée Marguerite-Bourgeoys|City Hall;Walking|Walking|Walking|Walking|Walking|Walking
9;Auberge L'Apero;4.0;25.25;9;47.8;903.5;39.25;5;2;404.5;14.00;4;3;499.1;0.00;Place d'Armes|Musée Marguerite-Bourgeoys|City Hall|L'original Art Gallery|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking|Walking;Aldred Building - Montreal|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Musee Romeo's - Montreal;Walking|Walking|Walking|Walking|Walking
10;Samesun Montreal Central;4.4;60.00;9;49.7;1011.4;60.00;4;4;449.8;0.00;5;3;561.6;0.00;Palais des Congres|Aldred Building - Montreal|L'original Art Gallery|La Guilde - Montreal;Walking|Walking|Walking|Walking|Walking;Montreal Street Art|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
11;Sonder Maisonneuve;4.7;228.25;8;45.6;808.5;272.61;4;1;470.3;44.36;4;3;338.2;0.00;Notre-Dame Basilica|Phi Centre|Musée Marguerite-Bourgeoys|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
12;Sonder Maisonneuve;4.7;228.25;8;45.5;756.0;272.75;4;1;417.7;44.50;4;3;338.2;0.00;Notre-Dame Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery|Chateau Ramezay Historic Site and Museum of Montreal;Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal|Leonard Cohen Mural;Walking|Walking|Walking|Walking|Walking
13;Auberge du Plateau;4.3;67.25;7;40.5;614.5;100.72;3;1;276.4;30.00;4;3;338.1;3.47;Notre-Dame Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Car
14;Sonder Maisonneuve;4.7;228.25;6;36.7;533.7;264.28;3;1;287.7;30.00;3;3;246.0;6.03;Notre-Dame Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery;Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Car
15;Hotel Casa Bella;2.8;140.25;6;32.6;531.6;170.25;3;1;273.5;30.00;3;2;258.1;0.00;Notre-Dame Basilica|Musée Marguerite-Bourgeoys|L'original Art Gallery;Walking|Walking|Walking|Walking;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|Leonard Cohen Mural;Walking|Walking|Walking|Walking
16;Alternative Hostel of Old Montreal;4.5;35.75;6;35.2;864.7;35.75;2;2;326.5;0.00;4;3;538.1;0.00;Place d'Armes|Parc Jean-Drapeau;Walking|Walking|Walking;Aldred Building - Montreal|Bibliotheque et Archives Nationales du Quebec|St. Patrick's Basilica|Palais des Congres;Walking|Walking|Walking|Walking|Walking
17;Sonder Maisonneuve;4.7;228.25;5;32.1;419.2;244.25;0;0;0.0;0.00;5;3;419.2;16.00;;;Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal|Leonard Cohen Mural|L'original Art Gallery|Notre-Dame Basilica;Walking|Walking|Walking|Walking|Walking|Walking
18;Alternative Hostel of Old Montreal;4.5;35.75;5;31.0;612.6;49.75;2;1;264.0;0.00;3;3;348.6;14.00;Palais des Congres|St. Patrick's Basilica;Walking|Walking|Walking;Kondiaronk Belvedere|Musée Marguerite-Bourgeoys|Aldred Building - Montreal;Walking|Walking|Walking|Walking
19;Alternative Hostel of Old Montreal;4.5;35.75;4;27.1;372.1;51.75;1;1;125.8;16.00;3;3;246.4;0.00;Notre-Dame Basilica;Walking|Walking;Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral|L'original Art Gallery;Walking|Walking|Walking|Walking
20;Auberge L'Apero;4.0;25.25;4;26.7;595.5;25.25;1;1;277.2;0.00;3;2;318.3;0.00;Crystal Dreams St Denis - Montreal;Walking|Walking;St. Patrick's Basilica|Place d'Armes|L'original Art Gallery;Walking|Walking|Walking|Walking
21;L'Appartement Hotel;4.1;220.25;3;20.8;230.3;220.25;3;3;230.3;0.00;0;0;0.0;0.00;Place d'Armes|Maisonneuve Monument - Montreal|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking;;
22;LHotel;4.5;346.00;3;22.5;246.6;368.63;0;0;0.0;0.00;3;2;246.6;22.63;;;Cathédrale Christ Church Cathedral|Notre-Dame Basilica|Leonard Cohen Mural;Walking|Walking|Walking|Car
23;Auberge L'Apero;4.0;25.25;3;21.8;330.0;25.25;0;0;0.0;0.00;3;2;330.0;0.00;;;St. Patrick's Basilica|L'original Art Gallery|Place d'Armes;Walking|Walking|Walking|Walking
24;David Hotel;4.4;423.00;2;17.7;133.4;439.00;0;0;0.0;0.00;2;2;133.4;16.00;;;Maisonneuve Monument - Montreal|Notre-Dame Basilica;Walking|Walking|Walking
25;Le Westin Montreal;4.2;295.00;2;17.2;195.2;299.67;1;1;64.3;0.00;1;1;130.9;4.67;Maisonneuve Monument - Montreal;Walking|Walking;St. Patrick's Basilica;Walking|Car
26;Le Westin Montreal;4.2;295.00;1;12.6;64.3;295.00;1;1;64.3;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
27;Auberge L'Apero;4.0;25.25;1;12.2;86.8;25.25;0;0;0.0;0.00;1;1;86.8;0.00;;;Cathédrale Christ Church Cathedral;Walking|Walking
28;Le Petit Hotel Vieux-Montréal | Saint-Paul;4.7;426.75;1;13.6;69.1;426.75;1;1;69.1;0.00;0;0;0.0;0.00;Maisonneuve Monument - Montreal;Walking|Walking;;
29;Cjour Apartments;4.0;109.00;1;12.6;207.3;109.00;0;0;0.0;0.00;1;1;207.3;0.00;;;Bibliotheque et Archives Nationales du Quebec;Walking|Walking
30;Hotel Gite du Survenant Montreal;4.7;193.75;1;13.6;90.0;193.75;1;1;90.0;0.00;0;0;0.0;0.00;Place d'Armes;Walking|Walking;;
