Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;8;45.0;1101.1;25.25
2;Auberge L'Apero;5;30.8;711.3;37.57
3;Alternative Hostel of Old Montreal;12;63.1;1379.8;112.87
4;Deluxe Suites Downtown Montreal;5;32.2;621.6;256.58
5;Warwick Le Crystal - Montréal;14;71.4;1364.8;518.02
6;Sofitel Montreal Golden Mile;14;70.4;1357.0;671.98
7;Auberge L'Apero;14;69.8;1364.8;158.30
8;Hôtel De L'ithq;12;63.6;1193.3;436.03
9;Samesun Montreal Central;8;45.8;875.6;69.17
10;Deluxe Suites Downtown Montreal;7;41.5;693.9;278.88
11;Deluxe Suites Downtown Montreal;7;40.8;668.6;278.88
12;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;9;49.8;800.9;572.17
13;Hôtel De L'ithq;10;55.2;1046.1;384.25
14;Alternative Hostel of Old Montreal;10;54.4;1082.3;91.52
15;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;13;68.3;1343.8;652.43
16;Delta Hotels by Marriott Montreal;11;58.0;1018.2;396.48
17;Auberge L'Apero;6;35.6;796.7;37.57
18;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;9;49.8;810.6;568.10
19;Auberge L'Apero;13;66.4;1312.1;132.86
20;Auberge L'Apero;6;34.4;714.3;37.57
21;Deluxe Suites Downtown Montreal;9;50.8;917.7;302.80
22;Auberge L'Apero;11;58.3;1228.7;37.83
23;Hôtel De L'ithq;8;46.1;738.9;384.87
24;Best Western Ville-Marie Montreal Hotel & Suites;10;53.3;898.7;330.07
25;Auberge L'Apero;7;39.7;751.7;42.82
26;Auberge L'Apero;9;48.1;946.1;37.83
27;Auberge L'Apero;6;35.6;796.7;37.57
28;Auberge L'Apero;11;56.6;1068.1;131.40
29;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;13;68.0;1233.9;610.37
30;Auberge L'Apero;8;43.9;1004.1;35.90
31;Hyatt Centric Montreal;13;66.6;1195.9;622.47
32;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;9;49.8;810.6;568.10
33;Deluxe Suites Downtown Montreal;5;32.2;621.6;256.58
34;Le Square Phillips Hotel & Suites;12;63.4;1133.1;545.05
35;Auberge L'Apero;10;53.0;994.2;73.07
36;Le Westin Montreal;13;67.2;1347.3;355.40
37;Hôtel De L'ithq;10;55.2;1011.6;401.00
38;Le St-Martin Hotel Particulier Montreal;12;62.8;1141.9;351.93
39;Auberge L'Apero;12;62.1;1168.5;125.42
40;Auberge L'Apero;12;61.3;1116.7;72.82
41;Quality Inn Centre-Ville;13;65.9;1280.6;280.03
42;Alt Hotel Montreal;13;67.8;1242.7;377.92
43;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;13;68.1;1297.4;665.27
44;Le Westin Montreal;14;69.8;1357.0;427.63
45;Hôtel De L'ithq;11;59.0;1018.2;434.12
46;Auberge L'Apero;12;62.5;1207.8;148.38
47;Auberge L'Apero;7;40.0;656.4;98.50
48;Auberge L'Apero;13;65.4;1225.7;138.07
49;W Montreal;8;44.3;698.9;549.15
50;Deluxe Suites Downtown Montreal;10;55.2;1062.6;303.78
51;Auberge L'Apero;10;53.3;972.4;75.28
52;Auberge L'Apero;6;34.8;644.0;43.07
53;Auberge L'Apero;7;40.2;940.3;30.83
54;Auberge L'Apero;7;39.7;751.7;42.82
55;Auberge L'Apero;12;61.8;1173.8;81.22
56;Auberge L'Apero;10;53.6;1021.4;39.87
57;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;13;68.3;1343.8;652.43
58;Auberge L'Apero;6;34.4;714.3;37.57
59;Auberge L'Apero;11;58.8;1187.1;53.03
60;Quality Inn Centre-Ville;13;65.9;1260.8;291.98
