Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;19;1.46;1;11;2.79;10.0;59.5;21.30;64.3;1303.8;423.08;30.67;515.25;157.93
2;60;3.57;1;11;2.33;7.8;59.5;19.21;64.3;1303.8;256.48;25.25;510.50;122.94
3;60;8.91;1;11;3.50;12.2;59.5;24.58;64.3;1303.8;378.63;25.25;533.87;128.82
4;60;32.77;1;13;5.35;12.2;65.9;32.92;64.3;1379.1;559.86;25.25;552.93;134.11
5;60;47.75;1;13;5.82;12.2;66.5;35.06;64.3;1348.0;586.39;25.25;532.78;111.66
6;60;73.47;1;13;5.92;12.2;68.0;35.54;64.3;1391.9;575.76;25.25;486.75;116.33
7;60;72.69;1;13;5.90;11.4;68.0;35.55;64.3;1391.9;560.65;25.25;486.75;114.24
