Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;11;1.20;1;8;3.36;13.0;44.3;23.80;88.2;1159.3;455.48;35.75;631.82;141.54
2;53;1.67;1;9;2.17;12.2;49.0;18.63;67.9;1247.0;280.59;25.25;631.82;83.35
3;60;8.96;1;9;3.70;11.4;49.0;25.13;64.3;1247.0;483.40;25.25;657.70;135.71
4;60;15.34;1;11;3.28;11.4;55.7;23.24;64.3;1269.4;394.62;25.25;657.70;129.27
5;60;74.26;1;11;4.10;11.4;58.4;26.84;64.3;1429.5;417.27;25.25;1027.90;116.15
6;60;58.32;1;12;5.33;11.4;62.3;32.23;64.3;1313.4;507.07;25.25;1027.90;121.50
7;60;88.85;1;13;5.75;12.2;66.2;34.18;64.3;1313.4;533.90;25.25;1027.90;122.26
