Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Auberge Manoir Ville-Marie;3.6;155.00;8;43.0;1118.8;272.93;5;5;492.7;70.45;3;3;626.1;47.48;Notre-Dame Basilica|Musée du Montréal juif - Museum of Jewish Montreal|Crystal Dreams St Denis - Montreal|Cathédrale Christ Church Cathedral|St. Patrick's Basilica;Car|Car|Walking|Bus|Walking|Car;Chateau Ramezay Historic Site and Museum of Montreal|Arsenal Art Contemporain Montréal - Montreal|Mem – Centre Des Mémoires Montréalaises;Car|Car|Walking|Bus
2;Alt Hotel Montreal;4.5;279.25;8;44.0;1110.0;417.22;4;2;576.0;73.87;4;4;534.0;64.10;Musée des beaux-arts de Montréal|Bibliotheque et Archives Nationales du Quebec|Musée Marguerite-Bourgeoys|L'original Art Gallery;Car|Car|Walking|Car|Car;Musee D'Art Contemporain De Montreal|Cathédrale Christ Church Cathedral|Musée du Montréal juif - Museum of Jewish Montreal|City Hall;Car|Car|Car|Bus|Car
3;Humaniti Hotel Montreal Autograph Collection;4.4;451.75;9;49.0;1226.5;579.13;4;4;596.2;54.57;5;3;630.3;72.81;La Guilde - Montreal|Olympic Park (Parc olympique)|Musée du Montréal juif - Museum of Jewish Montreal|Crystal Dreams St Denis - Montreal;Car|Car|Walking|Walking|Car;Montréal Insectarium|Musée Marguerite-Bourgeoys|Arsenal Art Contemporain Montréal - Montreal|Phi Centre|L'original Art Gallery;Bus|Car|Walking|Bus|Car|Walking
