Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;17;1.37;1;9;2.71;10.0;48.8;20.10;71.2;1157.2;393.36;25.25;446.88;200.04
2;59;2.31;1;10;1.59;12.2;52.2;15.92;67.9;1299.7;187.45;25.25;384.00;87.70
3;60;5.45;1;10;2.55;12.2;52.2;20.00;67.2;1299.7;271.38;25.25;1013.25;96.30
4;60;13.82;1;10;3.53;9.8;54.4;24.34;64.3;1250.0;341.92;25.25;486.75;101.08
5;60;20.63;1;11;4.15;9.8;57.4;27.02;64.3;1206.3;399.96;25.25;518.15;115.44
6;60;61.09;1;12;4.80;11.4;61.6;30.11;64.3;1285.1;455.14;25.25;700.75;128.46
7;60;30.10;1;12;5.17;12.2;62.8;31.64;64.3;1293.9;488.02;25.25;734.08;121.35
8;60;38.13;1;13;5.77;12.2;65.1;34.12;64.3;1329.8;542.63;25.25;700.75;109.00
9;60;32.63;1;13;6.27;12.2;65.2;36.54;64.3;1385.3;585.69;25.25;700.75;124.13
10;60;56.86;1;14;5.95;11.0;71.4;35.38;64.3;1412.9;545.44;25.25;700.75;147.70
11;60;38.95;1;14;6.03;9.8;71.4;35.64;64.3;1412.9;542.47;25.25;700.75;135.29
