Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;Alternative Hostel of Old Montreal;4.5;35.75;13;68.1;1347.5;51.75;7;4;697.3;16.00;6;5;650.2;0.00;Place d'Armes|La Guilde - Montreal|L'original Art Gallery|Notre-Dame Basilica|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Palais des Congres|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Musee Romeo's - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
2;Alternative Hostel of Old Montreal;4.5;35.75;13;67.2;1302.0;51.75;7;4;697.3;16.00;6;6;604.7;0.00;Place d'Armes|La Guilde - Montreal|L'original Art Gallery|Notre-Dame Basilica|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking|Walking;Palais des Congres|City Hall|Kondiaronk Belvedere|Leonard Cohen Mural|Complexe Desjardins|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
3;Alternative Hostel of Old Montreal;4.5;35.75;12;62.3;1332.1;35.75;6;3;677.6;0.00;6;3;654.5;0.00;Palais des Congres|Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|La Guilde - Montreal|Mount Royal Park;Walking|Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Place d'Armes|Maison Saint-Gabriel Museum and Historic Site|L'original Art Gallery|Aldred Building - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
4;Alternative Hostel of Old Montreal;4.5;35.75;12;63.2;1365.1;35.75;6;4;653.4;0.00;6;4;711.7;0.00;Aldred Building - Montreal|Belvedere Camillien-Houde - Montreal|Kondiaronk Belvedere|La Guilde - Montreal|Cathédrale Christ Church Cathedral|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;St. Patrick's Basilica|Bibliotheque et Archives Nationales du Quebec|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Montreal Street Art|Place d'Armes;Walking|Walking|Walking|Walking|Walking|Walking|Walking
5;Alternative Hostel of Old Montreal;4.5;35.75;12;62.1;1276.2;49.75;6;5;681.4;0.00;6;4;594.8;14.00;Pont Jacques-Cartier - Montreal|Complexe Desjardins|La Guilde - Montreal|Crystal Dreams St Denis - Montreal|City Hall|Kondiaronk Belvedere;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Place d'Armes|Maison Saint-Gabriel Museum and Historic Site|Maisonneuve Monument - Montreal|Notre-Dame-de-Bon-Secours Chapel|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking|Walking
6;Alternative Hostel of Old Montreal;4.5;35.75;12;61.7;1204.8;35.75;6;2;604.3;0.00;6;5;600.5;0.00;Maisonneuve Monument - Montreal|Pont Jacques-Cartier - Montreal|La Guilde - Montreal|Leonard Cohen Mural|Bibliotheque et Archives Nationales du Quebec|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Place d'Armes|Crystal Dreams St Denis - Montreal|City Hall|Palais des Congres|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
7;Alternative Hostel of Old Montreal;4.5;35.75;11;58.8;1105.4;35.75;6;3;578.3;0.00;5;4;527.0;0.00;Place d'Armes|La Guilde - Montreal|L'original Art Gallery|City Hall|Bibliotheque et Archives Nationales du Quebec|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking;Cathédrale Christ Church Cathedral|Kondiaronk Belvedere|Leonard Cohen Mural|Musee Romeo's - Montreal|Maisonneuve Monument - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
8;Alternative Hostel of Old Montreal;4.5;35.75;10;53.2;1002.9;35.75;4;3;442.9;0.00;6;5;560.0;0.00;Maisonneuve Monument - Montreal|Pont Jacques-Cartier - Montreal|L'original Art Gallery|Bibliotheque et Archives Nationales du Quebec;Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Cathédrale Christ Church Cathedral|Crystal Dreams St Denis - Montreal|Place d'Armes|City Hall|Aldred Building - Montreal;Walking|Walking|Walking|Walking|Walking|Walking|Walking
9;Auberge L'Apero;4.0;25.25;10;52.1;1179.0;25.25;5;3;551.0;0.00;5;5;628.0;0.00;Kondiaronk Belvedere|Bota Bota, Spa-sur-l'eau - Montreal|La Guilde - Montreal|Leonard Cohen Mural|Cathédrale Christ Church Cathedral;Walking|Walking|Walking|Walking|Walking|Walking;City Hall|Arsenal Art Contemporain Montréal - Montreal|Bibliotheque et Archives Nationales du Quebec|Maisonneuve Monument - Montreal|Crystal Dreams St Denis - Montreal;Walking|Walking|Walking|Walking|Walking|Walking
10;Alternative Hostel of Old Montreal;4.5;35.75;10;54.4;1079.9;35.75;5;3;433.3;0.00;5;4;646.6;0.00;Aldred Building - Montreal|Cathédrale Christ Church Cathedral|La Guilde - Montreal|Maisonneuve Monument - Montreal|L'original Art Gallery;Walking|Walking|Walking|Walking|Walking|Walking;Kondiaronk Belvedere|Bibliotheque et Archives Nationales du Quebec|St. Patrick's Basilica|Crystal Dreams St Denis - Montreal|Palais des Congres;Walking|Walking|Walking|Walking|Walking|Walking
