,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Olympic Park (Parc olympique),30.833333333333332,44.483333333333334,N,56.03333333333333,N,28.9,34.7,32.8,34.35,30.316666666666666,N,N,28.816666666666666,29.983333333333334,33.63333333333333,34.516666666666666,39.5,31.133333333333333,24.633333333333333,N,27.9,24.016666666666666,52.266666666666666,31.883333333333333,44.28333333333333,28.483333333333334,26.233333333333334,27.133333333333333,26.75,23.216666666666665,43.733333333333334,22.6,43.516666666666666,N,35.2,18.4,30.316666666666666,30.466666666666665,32.68333333333333,29.633333333333333,N,27.9,39.916666666666664,52.11666666666667,N,46.71666666666667,27.583333333333332,30.583333333333332,41.766666666666666,38.9
Montréal Insectarium,40.15,53.8,N,63.35,N,38.21666666666667,43.266666666666666,39.11666666666667,42.666666666666664,39.63333333333333,N,N,37.13333333333333,39.3,39.95,42.833333333333336,47.81666666666667,40.45,32.95,N,36.21666666666667,32.333333333333336,58.583333333333336,40.2,50.6,37.8,34.55,35.45,36.06666666666667,31.533333333333335,52.05,30.916666666666668,51.833333333333336,N,43.516666666666666,27.716666666666665,39.63333333333333,38.78333333333333,N,38.61666666666667,N,36.21666666666667,48.233333333333334,58.43333333333333,N,55.166666666666664,35.9,39.11666666666667,50.083333333333336,46.21666666666667
Musee Redpath,N,N,38.483333333333334,N,28.416666666666668,N,N,32.28333333333333,23.833333333333332,N,28.816666666666666,37.1,N,N,33.11666666666667,N,N,N,N,30.266666666666666,N,N,N,N,32.766666666666666,N,N,N,N,N,N,N,N,27.683333333333334,N,N,N,N,N,N,N,N,N,51.6,N,N,N,N,N,N
Place d'Armes,N,N,38.65,40.68333333333333,28.583333333333332,N,N,23.45,22.0,N,28.983333333333334,37.266666666666666,N,N,24.283333333333335,N,27.15,N,N,30.433333333333334,N,N,N,N,27.933333333333334,N,N,N,N,N,N,N,N,27.85,N,N,N,N,N,N,N,N,N,42.766666666666666,N,N,15.233333333333333,N,N,26.55
Parc Jean-Drapeau,27.116666666666667,46.766666666666666,43.28333333333333,55.31666666666667,33.21666666666667,31.183333333333334,30.983333333333334,N,35.63333333333333,25.583333333333332,33.61666666666667,41.9,30.1,26.266666666666666,N,32.95,35.78333333333333,26.4,25.133333333333333,35.06666666666667,27.983333333333334,25.3,N,28.383333333333333,43.56666666666667,30.766666666666666,27.516666666666666,25.366666666666667,22.016666666666666,24.5,45.016666666666666,21.566666666666666,44.8,32.483333333333334,34.03333333333333,13.666666666666666,25.583333333333332,27.25,N,25.916666666666668,N,29.183333333333334,38.766666666666666,N,N,43.0,23.866666666666667,26.866666666666667,38.63333333333333,34.18333333333333
Montréal Science Centre,N,N,44.18333333333333,46.36666666666667,34.11666666666667,N,N,32.13333333333333,27.683333333333334,N,34.516666666666666,42.8,N,N,32.96666666666667,N,N,N,N,35.96666666666667,N,N,N,N,34.61666666666667,N,N,N,N,N,N,N,N,33.38333333333333,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Musée du Montréal juif - Museum of Jewish Montreal,29.0,N,N,N,41.1,N,N,35.96666666666667,38.516666666666666,29.916666666666668,41.5,49.78333333333333,N,28.15,36.8,N,N,N,N,42.95,N,N,N,N,45.45,N,N,27.25,26.966666666666665,N,49.9,N,N,40.36666666666667,N,23.566666666666666,29.916666666666668,29.133333333333333,N,27.8,N,N,40.65,55.28333333333333,N,N,N,28.75,N,N
Chateau Ramezay Historic Site and Museum of Montreal,N,N,41.416666666666664,45.45,31.35,N,N,27.216666666666665,25.766666666666666,N,31.75,40.03333333333333,N,N,28.05,N,N,N,N,33.2,N,N,N,N,32.7,N,N,N,N,N,N,N,N,30.616666666666667,N,N,N,N,N,N,N,N,N,46.53333333333333,N,N,N,N,N,29.316666666666666
Complexe Desjardins,N,N,34.416666666666664,43.61666666666667,24.35,N,N,23.333333333333332,23.766666666666666,N,24.75,33.03333333333333,N,N,24.166666666666668,N,N,N,N,26.2,N,N,N,N,30.866666666666667,N,N,N,N,N,33.15,N,N,23.616666666666667,N,N,N,N,N,N,N,N,N,42.65,N,N,N,N,N,N
Planétarium De Montréal,33.266666666666666,46.916666666666664,N,58.46666666666667,N,31.333333333333332,36.38333333333333,34.233333333333334,35.78333333333333,32.75,N,N,30.25,32.416666666666664,35.06666666666667,35.95,42.93333333333333,33.56666666666667,26.066666666666666,N,29.333333333333332,25.45,53.7,33.31666666666667,45.71666666666667,30.916666666666668,27.666666666666668,28.566666666666666,29.183333333333334,24.65,45.166666666666664,24.033333333333335,44.95,N,36.63333333333333,20.833333333333332,32.75,31.9,34.11666666666667,31.733333333333334,N,29.333333333333332,41.35,53.55,N,48.28333333333333,31.016666666666666,32.233333333333334,43.2,41.333333333333336
