,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
Chateau Ramezay Historic Site and Museum of Montreal,5.083333333333333,15.083333333333334,17.766666666666666,20.3,15.45,8.883333333333333,4.933333333333334,12.4,9.7,3.4833333333333334,12.25,14.216666666666667,11.733333333333333,4.7,12.1,4.933333333333334,8.616666666666667,N,8.083333333333334,15.933333333333334,5.983333333333333,8.5,10.416666666666666,4.816666666666666,14.5,7.516666666666667,7.816666666666666,3.783333333333333,4.55,7.05,11.15,5.783333333333333,19.433333333333334,13.65,4.416666666666667,6.35,3.4833333333333334,6.816666666666666,14.483333333333333,4.483333333333333,13.85,9.166666666666666,8.6,14.95,12.716666666666667,10.783333333333333,6.183333333333334,4.833333333333333,6.766666666666667,11.783333333333333
Complexe Desjardins,8.616666666666667,15.016666666666667,20.316666666666666,20.2,18.15,8.466666666666667,8.683333333333334,14.616666666666667,11.833333333333334,7.833333333333333,15.466666666666667,16.5,11.316666666666666,8.233333333333333,14.316666666666666,8.416666666666666,9.083333333333334,8.45,N,18.383333333333333,6.95,8.066666666666666,12.15,8.483333333333333,16.7,7.616666666666666,8.366666666666667,5.3,7.733333333333333,7.15,13.4,6.233333333333333,19.633333333333333,14.75,7.433333333333334,8.15,7.833333333333333,8.333333333333334,16.7,6.966666666666667,14.95,8.75,11.016666666666667,17.166666666666668,12.65,13.183333333333334,7.666666666666667,8.366666666666667,10.516666666666667,12.25
Planétarium De Montréal,17.75,24.616666666666667,14.516666666666667,29.933333333333334,N,18.2,17.816666666666666,18.95,20.083333333333332,16.266666666666666,7.85,8.816666666666666,21.05,17.366666666666667,18.65,17.55,18.0,16.666666666666668,19.216666666666665,N,17.466666666666665,17.8,20.283333333333335,17.616666666666667,24.883333333333333,17.35,19.05,15.45,16.033333333333335,17.566666666666666,21.533333333333335,17.116666666666667,28.966666666666665,9.616666666666667,17.3,16.916666666666668,16.266666666666666,18.483333333333334,21.033333333333335,17.15,12.9,18.483333333333334,18.75,21.5,22.25,21.166666666666668,14.433333333333334,17.5,19.65,20.483333333333334
St. Patrick's Basilica,5.683333333333334,13.983333333333333,19.233333333333334,17.783333333333335,17.066666666666666,6.366666666666666,6.516666666666667,12.683333333333334,8.766666666666667,5.9,14.383333333333333,15.416666666666666,9.216666666666667,5.3,12.383333333333333,6.2,8.0,6.216666666666667,6.233333333333333,17.3,N,5.983333333333333,8.916666666666666,6.216666666666667,13.633333333333333,5.0,5.3,3.6333333333333333,5.8,4.533333333333333,10.166666666666666,5.166666666666667,17.266666666666666,13.666666666666666,4.45,6.9,5.9,5.55,14.766666666666667,3.9833333333333334,13.866666666666667,6.65,7.783333333333333,15.083333333333334,11.683333333333334,9.95,6.583333333333333,5.433333333333334,7.733333333333333,11.166666666666666
McCord Stewart Museum,8.2,13.383333333333333,19.1,17.183333333333334,16.933333333333334,5.45,9.033333333333333,14.266666666666667,9.95,8.583333333333334,14.25,15.283333333333333,8.3,7.816666666666666,13.966666666666667,8.716666666666667,8.133333333333333,8.733333333333333,8.7,17.166666666666668,6.55,N,10.85,8.733333333333333,15.833333333333334,4.6,6.3,6.216666666666667,8.483333333333333,5.083333333333333,12.1,7.85,16.35,13.533333333333333,6.966666666666667,8.75,8.583333333333334,8.066666666666666,16.35,6.5,13.733333333333333,5.733333333333333,8.75,16.816666666666666,11.0,11.883333333333333,6.45,7.95,9.866666666666667,11.3
Habitat 67,9.05,17.9,21.533333333333335,21.7,19.366666666666667,9.966666666666667,8.216666666666667,6.583333333333333,10.65,8.766666666666667,16.166666666666668,17.716666666666665,12.816666666666666,8.666666666666666,9.566666666666666,8.816666666666666,12.65,9.383333333333333,11.0,19.6,8.2,9.583333333333334,N,9.583333333333334,16.3,8.866666666666667,8.9,8.2,9.116666666666667,8.133333333333333,9.75,9.933333333333334,20.866666666666667,15.966666666666667,6.716666666666667,10.916666666666666,8.766666666666667,9.683333333333334,12.116666666666667,7.35,16.166666666666668,10.25,8.583333333333334,7.85,15.516666666666667,10.75,10.966666666666667,8.8,6.45,15.816666666666666
L'original Art Gallery,N,15.1,19.183333333333334,20.316666666666666,16.866666666666667,8.9,4.6,13.816666666666666,9.716666666666667,5.033333333333333,13.666666666666666,15.633333333333333,11.75,4.716666666666667,13.516666666666667,4.333333333333333,8.633333333333333,4.95,8.1,17.35,6.0,8.516666666666667,10.083333333333334,N,14.516666666666667,7.533333333333333,7.833333333333333,3.8,5.966666666666667,7.066666666666666,10.816666666666666,5.8,19.45,14.3,4.083333333333333,7.766666666666667,5.033333333333333,6.833333333333333,15.9,4.5,14.5,9.183333333333334,8.95,16.25,12.733333333333333,10.45,7.216666666666667,4.85,6.433333333333334,11.8
Musée de l'Holocauste Montréal,14.966666666666667,13.05,26.45,12.85,24.566666666666666,13.366666666666667,15.75,21.7,11.9,13.966666666666667,21.366666666666667,23.333333333333332,15.966666666666667,14.583333333333334,21.866666666666667,15.483333333333333,11.933333333333334,14.583333333333334,16.466666666666665,25.05,14.116666666666667,15.316666666666666,16.8,15.5,N,12.65,14.633333333333333,13.866666666666667,14.316666666666666,13.866666666666667,13.833333333333334,15.4,24.766666666666666,21.8,14.116666666666667,16.116666666666667,13.966666666666667,15.6,23.766666666666666,13.266666666666667,19.183333333333334,13.783333333333333,12.1,22.966666666666665,13.666666666666666,15.25,14.783333333333333,14.716666666666667,16.05,15.1
Leonard Cohen Mural,6.616666666666666,10.766666666666667,19.0,14.566666666666666,16.833333333333332,3.0,7.45,13.516666666666667,6.15,6.733333333333333,14.15,15.183333333333334,6.466666666666667,6.233333333333333,13.216666666666667,7.133333333333334,8.033333333333333,7.15,7.066666666666666,17.066666666666666,4.966666666666667,4.883333333333334,8.716666666666667,7.15,11.016666666666667,N,5.233333333333333,4.466666666666667,6.633333333333334,3.933333333333333,9.1,6.0,15.266666666666667,13.433333333333334,5.383333333333334,7.733333333333333,6.733333333333333,6.483333333333333,15.6,4.916666666666667,13.633333333333333,3.4166666666666665,4.783333333333333,14.883333333333333,11.383333333333333,7.65,6.35,6.366666666666666,7.983333333333333,11.2
Musee D'Art Contemporain De Montreal,7.65,13.783333333333333,20.133333333333333,17.583333333333332,17.966666666666665,5.85,8.483333333333333,14.55,9.516666666666667,7.766666666666667,15.283333333333333,16.316666666666666,8.7,7.266666666666667,14.25,8.166666666666666,9.166666666666666,8.183333333333334,8.1,18.2,6.0,6.1,9.4,8.183333333333334,14.383333333333333,4.7,N,5.5,7.666666666666667,4.65,10.65,7.033333333333333,17.383333333333333,14.566666666666666,6.416666666666667,8.766666666666667,7.766666666666667,7.516666666666667,16.633333333333333,5.95,14.766666666666667,6.133333333333334,7.933333333333334,15.566666666666666,12.033333333333333,10.433333333333334,7.483333333333333,7.4,8.666666666666666,12.333333333333334
