,Notre-Dame Basilica,Mount Royal Park,Montreal Botanical Garden,Saint Joseph's Oratory of Mount Royal,Biodôme De Montreal,Musée des beaux-arts de Montréal,Pointe-a-Calliere Montreal Archaeology and History Complex,Biosphere,Atwater Market,Notre-Dame-de-Bon-Secours Chapel,Olympic Park (Parc olympique),Montréal Insectarium,Musee Redpath,Place d'Armes,Parc Jean-Drapeau,Montréal Science Centre,Musée du Montréal juif - Museum of Jewish Montreal,Chateau Ramezay Historic Site and Museum of Montreal,Complexe Desjardins,Planétarium De Montréal,St. Patrick's Basilica,McCord Stewart Museum,Habitat 67,L'original Art Gallery,Musée de l'Holocauste Montréal,Leonard Cohen Mural,Musee D'Art Contemporain De Montreal,Palais des Congres,City Hall,Cathédrale Christ Church Cathedral,Maison Saint-Gabriel Museum and Historic Site,Mem – Centre Des Mémoires Montréalaises,Kondiaronk Belvedere,Chateau Dufresne (Dufresne House),Phi Centre,Bibliotheque et Archives Nationales du Quebec,Musée Marguerite-Bourgeoys,Oasis Immersion - Montreal,Pont Jacques-Cartier - Montreal,Maisonneuve Monument - Montreal,Montreal Street Art,La Guilde - Montreal,Arsenal Art Contemporain Montréal - Montreal,Aquazilla - Parc Jean-drapeau - Montreal,Belvedere Camillien-Houde - Montreal,Allez Up - Montreal,Crystal Dreams St Denis - Montreal,Aldred Building - Montreal,"Bota Bota, Spa-sur-l'eau - Montreal",Musee Romeo's - Montreal
L'original Art Gallery,1.25,47.7,83.45,76.76666666666667,80.98333333333333,31.5,4.516666666666667,58.666666666666664,43.03333333333333,7.766666666666667,74.33333333333333,83.16666666666667,28.333333333333332,2.5833333333333335,58.61666666666667,4.866666666666666,43.2,6.183333333333334,11.4,82.16666666666667,12.133333333333333,23.133333333333333,39.2,N,92.53333333333333,28.283333333333335,19.633333333333333,7.55,10.016666666666667,18.466666666666665,43.75,11.033333333333333,44.266666666666666,71.58333333333333,6.083333333333333,19.583333333333332,7.766666666666667,8.566666666666666,45.7,4.183333333333334,74.15,30.1,31.483333333333334,69.63333333333334,40.95,25.833333333333332,29.283333333333335,2.3,11.383333333333333,45.666666666666664
Musée de l'Holocauste Montréal,91.4,48.3,119.05,26.116666666666667,136.53333333333333,61.75,94.25,129.1,67.68333333333334,99.26666666666667,129.66666666666666,133.0,68.86666666666666,90.56666666666666,129.05,97.25,62.28333333333333,96.56666666666666,83.48333333333333,137.13333333333333,81.41666666666667,72.65,113.23333333333333,92.66666666666667,N,64.88333333333334,74.36666666666666,85.86666666666666,97.06666666666666,75.56666666666666,89.31666666666666,85.78333333333333,54.233333333333334,124.41666666666667,91.91666666666667,89.9,99.26666666666667,86.83333333333333,119.98333333333333,88.56666666666666,96.36666666666666,62.56666666666667,73.11666666666666,143.66666666666666,56.05,82.05,79.63333333333334,91.11666666666666,96.48333333333333,62.93333333333333
Leonard Cohen Mural,26.85,21.45,96.11666666666666,48.983333333333334,96.71666666666667,4.066666666666666,28.666666666666668,71.5,30.55,34.71666666666667,89.85,95.78333333333333,12.516666666666667,26.016666666666666,73.03333333333333,32.7,45.3,32.016666666666666,18.816666666666666,97.9,16.866666666666667,12.233333333333333,50.61666666666667,28.116666666666667,64.75,N,9.85,21.283333333333335,32.483333333333334,11.85,43.916666666666664,21.4,22.45,84.3,26.316666666666666,29.35,34.71666666666667,22.283333333333335,60.5,24.016666666666666,79.46666666666667,3.7,23.133333333333333,81.05,28.333333333333332,23.65,34.666666666666664,26.566666666666666,30.816666666666666,49.68333333333333
Musee D'Art Contemporain De Montreal,18.4,29.366666666666667,91.33333333333333,58.516666666666666,91.93333333333334,13.25,20.216666666666665,66.05,37.61666666666667,26.266666666666666,85.06666666666666,91.0,10.533333333333333,17.566666666666666,66.0,24.25,42.38333333333333,23.566666666666666,11.633333333333333,93.11666666666666,8.466666666666667,7.966666666666667,48.016666666666666,19.666666666666668,74.28333333333333,9.883333333333333,N,12.666666666666666,23.866666666666667,5.033333333333333,43.5,14.283333333333333,25.916666666666668,79.51666666666667,17.866666666666667,22.65,26.266666666666666,13.833333333333334,53.46666666666667,15.566666666666666,74.68333333333334,11.85,28.816666666666666,78.45,28.416666666666668,25.783333333333335,29.816666666666666,18.116666666666667,22.366666666666667,46.233333333333334
Palais des Congres,6.3,40.266666666666666,88.0,69.85,88.6,24.583333333333332,8.216666666666667,59.5,43.38333333333333,14.166666666666666,81.73333333333333,87.66666666666667,21.083333333333332,5.466666666666667,59.45,12.15,39.93333333333333,11.466666666666667,5.316666666666666,89.78333333333333,5.033333333333333,16.033333333333335,42.516666666666666,7.566666666666666,85.61666666666666,21.366666666666667,12.7,N,12.0,11.316666666666666,45.416666666666664,7.1,36.85,76.18333333333334,8.75,16.933333333333334,14.166666666666666,3.4166666666666665,46.53333333333333,3.466666666666667,71.35,23.183333333333334,32.78333333333333,72.95,33.7,29.016666666666666,26.483333333333334,6.016666666666667,14.9,42.85
City Hall,9.966666666666667,51.483333333333334,80.85,81.06666666666666,73.73333333333333,35.8,12.966666666666667,50.35,50.516666666666666,4.016666666666667,67.08333333333333,80.51666666666667,32.3,9.616666666666667,50.3,11.983333333333333,43.43333333333333,4.65,15.583333333333334,74.91666666666667,17.0,27.25,47.416666666666664,10.0,96.83333333333333,32.583333333333336,23.95,12.033333333333333,N,22.533333333333335,52.05,12.15,48.06666666666667,69.03333333333333,15.0,11.483333333333333,4.016666666666667,13.416666666666666,37.38333333333333,9.616666666666667,64.2,34.4,39.916666666666664,72.05,45.6,34.13333333333333,23.283333333333335,8.916666666666666,19.216666666666665,43.78333333333333
Cathédrale Christ Church Cathedral,17.183333333333334,30.05,86.7,59.85,87.3,14.583333333333334,19.0,63.31666666666667,41.25,25.05,80.43333333333334,86.36666666666666,11.0,16.35,63.266666666666666,23.033333333333335,37.75,22.35,8.966666666666667,88.48333333333333,7.25,5.566666666666666,48.45,18.45,75.61666666666666,11.85,5.033333333333333,11.433333333333334,22.633333333333333,N,47.36666666666667,11.55,26.633333333333333,74.88333333333334,16.65,19.933333333333334,25.05,12.616666666666667,50.733333333333334,14.35,70.05,13.183333333333334,33.266666666666666,78.88333333333334,24.966666666666665,29.5,25.183333333333334,16.9,21.15,41.6
Maison Saint-Gabriel Museum and Historic Site,42.86666666666667,62.11666666666667,123.73333333333333,77.63333333333334,121.26666666666667,47.0,39.13333333333333,66.18333333333334,24.933333333333334,48.06666666666667,114.61666666666666,123.45,50.766666666666666,43.88333333333333,67.28333333333333,43.416666666666664,83.46666666666667,47.583333333333336,50.2,122.45,44.55,50.46666666666667,44.833333333333336,43.4,88.96666666666667,43.81666666666667,43.31666666666667,45.18333333333333,51.45,47.233333333333334,N,52.266666666666666,63.11666666666667,111.86666666666666,37.95,61.75,48.06666666666667,43.43333333333333,81.61666666666666,43.21666666666667,113.35,47.21666666666667,24.816666666666666,75.25,67.36666666666666,26.0,70.55,43.65,35.56666666666667,87.85
Mem – Centre Des Mémoires Montréalaises,10.7,40.166666666666664,81.06666666666666,69.75,81.66666666666667,24.483333333333334,14.516666666666667,53.7,49.75,14.9,74.8,80.73333333333333,21.066666666666666,9.7,53.65,13.633333333333333,33.46666666666667,12.566666666666666,5.683333333333334,82.85,8.883333333333333,16.016666666666666,48.88333333333333,10.983333333333333,85.51666666666667,21.55,14.366666666666667,7.1,12.116666666666667,11.55,52.55,N,36.75,69.25,15.2,10.3,14.9,10.5,41.11666666666667,9.25,64.41666666666667,23.083333333333332,39.15,75.4,33.53333333333333,35.38333333333333,19.55,9.9,20.683333333333334,35.93333333333333
Kondiaronk Belvedere,43.35,6.366666666666666,96.81666666666666,39.13333333333333,100.01666666666667,19.2,45.06666666666667,82.85,46.733333333333334,51.21666666666667,93.15,97.03333333333333,18.766666666666666,42.516666666666666,82.8,49.2,34.28333333333333,48.516666666666666,34.63333333333333,101.2,33.06666666666667,22.9,70.98333333333333,44.61666666666667,54.083333333333336,22.466666666666665,26.0,37.016666666666666,48.21666666666667,26.683333333333334,63.18333333333333,36.93333333333333,N,87.6,42.71666666666667,42.46666666666667,51.21666666666667,38.11666666666667,74.51666666666667,40.516666666666666,71.76666666666667,19.783333333333335,42.31666666666667,101.41666666666667,14.066666666666666,43.68333333333333,33.78333333333333,43.06666666666667,47.21666666666667,38.6
