Solution;Hotel;TotalAttractions;TotalQuality;TotalTime;TotalCost
1;Auberge L'Apero;10;51.9;1220.2;25.25
2;Auberge L'Apero;13;65.1;1430.3;58.48
3;Hotel Monville;4;25.7;314.8;324.47
4;Warwick Le Crystal - Montréal;14;72.7;1396.7;516.12
5;The Ritz-Carlton, Montreal;13;68.3;1278.2;1088.70
6;The Ritz-Carlton, Montreal;10;53.9;994.7;1050.62
7;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;14;71.6;1306.7;647.82
8;Hyatt Centric Montreal;9;49.4;844.3;581.50
9;Hotel Monville;6;35.3;559.4;332.70
10;Auberge L'Apero;8;42.7;666.9;78.48
11;Hotel Monville;5;30.6;415.1;306.70
12;Auberge L'Apero;5;30.0;412.6;51.47
13;Hotel Monville;5;30.6;415.1;306.70
14;Auberge L'Apero;8;44.4;754.8;46.05
15;Auberge L'Apero;12;60.8;1184.7;77.85
16;Hotel Monville;7;39.3;631.5;330.00
17;Auberge L'Apero;9;48.9;962.0;67.77
18;Auberge L'Apero;9;47.2;780.2;82.78
19;Auberge L'Apero;10;52.6;1197.5;39.25
20;The Ritz-Carlton, Montreal;11;59.3;1066.0;1065.80
21;Auberge L'Apero;5;30.3;574.4;40.47
22;Auberge L'Apero;7;37.9;643.6;73.38
23;Auberge L'Apero;6;35.0;712.8;31.98
24;Warwick Le Crystal - Montréal;13;66.6;1286.8;495.00
25;Auberge L'Apero;14;68.8;1350.7;164.72
26;Auberge L'Apero;12;61.1;1181.3;82.77
27;Hotel Gite du Survenant Montreal;11;58.5;1069.0;251.52
28;Auberge L'Apero;6;34.4;618.8;61.42
29;The Ritz-Carlton, Montreal;13;68.3;1278.2;1088.70
30;The Ritz-Carlton, Montreal;11;59.3;1066.0;1065.80
31;The Ritz-Carlton, Montreal;10;54.5;952.8;1066.00
32;Hôtel Place d'Armes Old Montreal;8;45.0;735.8;432.55
33;Hotel le Coach;12;62.6;1212.0;235.63
34;Auberge L'Apero;14;68.8;1344.2;166.84
35;The Ritz-Carlton, Montreal;11;59.5;1093.4;1087.88
36;Auberge L'Apero;7;38.7;587.6;87.50
37;Auberge L'Apero;11;56.6;1113.8;73.25
38;Auberge L'Apero;7;39.5;752.2;53.23
39;Auberge L'Apero;10;51.7;1003.5;44.67
40;Hotel Monville;6;35.3;559.4;332.70
41;Auberge L'Apero;12;61.7;1105.9;123.38
42;Auberge L'Apero;7;37.9;643.6;73.38
43;Humaniti Hotel Montreal Autograph Collection;10;53.9;1000.9;574.72
44;Auberge L'Apero;9;47.6;845.9;96.08
45;W Montreal;11;57.5;1046.9;619.03
46;Auberge L'Apero;7;38.2;707.3;45.98
47;Auberge L'Apero;9;48.9;878.7;69.05
48;Warwick Le Crystal - Montréal;12;63.6;1173.4;497.42
49;Best Western Ville-Marie Montreal Hotel & Suites;13;67.1;1333.7;386.05
50;Hygie Boutique Hotel;13;62.1;1253.5;152.37
51;Hotel Monville;10;53.0;926.1;355.67
52;Warwick Le Crystal - Montréal;13;67.2;1310.1;443.25
53;Le Westin Montreal;14;70.0;1348.7;421.15
54;Hotel Monville;14;71.7;1374.8;397.32
55;Warwick Le Crystal - Montréal;12;63.1;1161.1;458.37
56;Hotel Monville;8;43.8;728.8;320.22
57;Hôtel Place d'Armes Old Montreal;12;63.2;1191.0;478.74
58;Warwick Le Crystal - Montréal;13;68.0;1227.5;533.83
59;Warwick Le Crystal - Montréal;12;63.0;1231.6;456.62
60;Hotel Monville;10;53.2;924.6;392.12
61;Warwick Le Crystal - Montréal;12;63.3;1248.0;494.63
62;Warwick Le Crystal - Montréal;13;68.0;1301.9;499.62
63;Auberge L'Apero;8;44.0;888.3;45.88
64;Auberge L'Apero;14;68.8;1350.7;164.72
65;Hotel Monville;11;57.2;1026.4;378.37
66;W Montreal;11;57.5;1046.9;619.03
67;Auberge L'Apero;13;66.5;1263.3;112.67
68;Auberge L'Apero;8;43.4;940.1;43.72
69;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;14;71.6;1306.7;647.82
70;Hotel Monville;12;62.4;1162.9;376.72
71;Honeyrose Hotel Montreal A Tribute Portfolio Hotel;14;72.3;1379.8;628.52
72;L'Appartement Hotel;14;70.8;1365.6;311.12
73;Auberge L'Apero;9;49.0;855.6;78.92
74;L'Appartement Hotel;14;70.8;1365.6;311.12
75;Auberge L'Apero;11;57.0;1021.4;73.97
76;Hotel Monville;7;39.3;572.1;339.85
77;Auberge L'Apero;13;65.7;1257.6;108.47
78;Auberge L'Apero;10;52.5;1138.2;62.18
79;Auberge L'Apero;12;62.0;1135.0;106.43
80;Auberge L'Apero;12;61.5;1166.0;105.12
