Iteration;ParetoSize;Time;MinAttr;MaxAttr;AvgAttr;MinQuality;MaxQuality;AvgQuality;MinTime;MaxTime;AvgTime;MinCost;MaxCost;AvgCost
1;11;0.82;1;9;2.00;8.6;49.7;16.98;69.8;1150.5;236.15;25.25;463.43;228.79
2;60;2.07;1;11;1.97;11.8;58.6;17.33;69.0;1386.0;217.80;25.25;451.75;150.69
3;60;4.88;1;11;3.10;12.2;58.6;22.50;67.9;1386.0;356.98;25.25;486.75;106.25
4;60;20.63;1;11;4.93;9.8;58.7;30.72;64.3;1386.0;555.00;25.25;493.58;115.70
5;60;36.34;1;12;5.10;10.0;61.0;31.41;64.3;1393.8;551.72;25.25;498.00;130.33
6;60;39.33;1;12;5.17;12.2;62.9;31.73;64.3;1393.8;506.67;25.25;517.25;151.56
7;60;38.70;1;12;5.63;12.2;62.9;33.90;64.3;1393.8;546.36;25.25;493.58;115.48
8;60;42.85;1;12;5.72;10.0;63.2;34.10;64.3;1393.8;553.30;25.25;1018.45;143.04
9;60;32.56;1;12;5.73;7.8;63.2;34.16;64.3;1373.2;556.10;25.25;495.92;131.68
10;60;33.90;1;13;5.92;10.0;66.7;34.92;64.3;1333.5;557.82;25.25;700.75;147.44
