Solution;Hotel;HotelRating;HotelPrice;TotalAttractions;TotalQuality;TotalTime;TotalCost;Day1Attractions;Day1Neighborhoods;Day1Time;Day1Cost;Day2Attractions;Day2Neighborhoods;Day2Time;Day2Cost;Day1Sequence;Day1TransportModes;Day2Sequence;Day2TransportModes
1;L'Appartement Hotel;4.1;220.25;9;47.7;1283.5;366.02;4;2;636.4;95.23;5;4;647.0;50.53;Biodôme De Montreal|Musee Redpath|La Guilde - Montreal|Planétarium De Montréal;Subway|Car|Walking|Car|Bus;Crystal Dreams St Denis - Montreal|Musée Marguerite-Bourgeoys|Musee D'Art Contemporain De Montreal|St. Patrick's Basilica|L'original Art Gallery;Walking|Car|Car|Car|Car|Walking
2;Hotel Gault;4.7;491.25;8;44.1;1200.6;643.91;4;4;598.8;42.43;4;4;601.8;110.23;Musée Marguerite-Bourgeoys|Leonard Cohen Mural|Crystal Dreams St Denis - Montreal|Chateau Dufresne (Dufresne House);Walking|Car|Car|Subway|Walking;Biosphere|Biodôme De Montreal|Arsenal Art Contemporain Montréal - Montreal|Phi Centre;Car|Car|Car|Bus|Walking
3;Hotel Zero 1;3.9;280.75;9;46.0;1232.4;455.64;5;4;646.8;100.49;4;4;585.7;74.40;Planétarium De Montréal|Cathédrale Christ Church Cathedral|City Hall|Montreal Botanical Garden|Phi Centre;Subway|Car|Car|Car|Car|Walking;Montréal Insectarium|Atwater Market|Musée Marguerite-Bourgeoys|St. Patrick's Basilica;Bus|Car|Car|Car|Walking
4;Le Sieur De Joliette;3.6;227.25;7;37.3;1123.4;392.50;4;3;569.9;75.15;3;3;553.6;90.10;L'original Art Gallery|Musée Marguerite-Bourgeoys|Biodôme De Montreal|Leonard Cohen Mural;Walking|Car|Car|Car|Bus;Biosphere|Pointe-a-Calliere Montreal Archaeology and History Complex|Planétarium De Montréal;Subway|Car|Subway|Walking
